"AttributeId","ActivityType","CycleIndex","Condition","Reward","TextImage","ParamArr1","ParamArr2","ParamArr3","ParamArr4","ParamArr5"
"136001000","0","1","(1,1)","(31110009,1)","","","","","(1)",""
"136001001","0","1","(2,3)","(31110008,1)","","","","","(2)",""
"136001002","0","1","(4,6)","(31110007,1)","","","","","(3)",""
"136001003","0","1","(7,10)","(31110006,1)","","","","","(4)",""
"136001004","0","1","(11,20)","(31110005,1)","","","","","(5)",""
"136002000","1","1","(1,1)","(31110109,1)","","","","","(6)",""
"136002001","1","1","(2,3)","(31110108,1)","","","","","(7)",""
"136002002","1","1","(4,6)","(31110107,1)","","","","","(8)",""
"136002003","1","1","(7,10)","(31110106,1)","","","","","(9)",""
"136002004","1","1","(11,20)","(31110105,1)","","","","","(10)",""
"136005001","4","1","(3,88,3,88)","(31090188,1,1)","","(0,-1)","(0)","","(19)",""
"136005002","4","1","(3,2000,3,1500)","(31090585,1,1)","","(2,3)","(0)","","(20)",""
"136005003","4","1","(3,300,3,100)","(31020003,10,1)","","(2,10)","(0)","","(21)",""
"136005004","4","1","(3,430,3,200)","(31090546,1,1)","","(2,3)","(0)","","(22)",""
"136005005","4","1","(3,740,3,500)","(31090547,1,1)","","(2,5)","(0)","","(23)",""
"136005006","4","1","(3,1220,3,700)","(31090548,1,1)","","(2,3)","(0)","","(24)",""
"136005007","4","1","(3,1820,3,1000)","(31090540,1,1)","","(2,2)","(0)","","(25)",""
"136005008","4","1","(3,180,3,120)","(31020005,3,1)","","(2,10)","(0)","","(26)",""
"136007001","6","1","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5088)",""
"136007002","6","2","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5089)",""
"136007003","6","3","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5090)",""
"136007004","6","4","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5091)",""
"136007005","6","5","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5092)",""
"136007006","6","6","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5093)",""
"136007007","6","7","(1,1,2,5000,3,1,4,1,9,1,10,1,5,1)","(10,10,10,10,10,10,10)","","(91240616,90305192,92700003,0,-1,117000095,91240612,90305193,92480009,-1,-1,117000149,-1,90305194,92800002,-1,-1,117000149,91232615,90305195,92300003,0,-1,117000013,-1,90305363,92510001,-1,-1,117000149,-1,90305364,92340010,-1,-1,117000063,91232619,90305196,92300003,5,-1,117000015)","","","(5094)",""
