"AttributeId","ActivityType","CycleParamType","CycleParamNum","CycleFirstId","OpenType","OpenServerDate","OpenSpencificDate","FirstOpenDayOfWeek","DurationDays","CycleDays","ShowType","TextImage","ParamArr1","ParamArr2","ParamArr3","ParamArr4","ParamArr5"
"135000001","0","1","(1,999)","(136001000)","2","0","(2021,4,14)","-1","3","14","","(90202895,91260410)","(38)","(91231349)","","","(1,2,3)"
"135000002","1","1","(1,999)","(136002000)","0","3","","4","3","14","","(90202896,91260407)","(39)","(91231351)","","","(1)"
"135000005","4","1","(1,999)","(136005001)","0","0","","-1","7","7","","(90305057,91260412,90305342)","(34)","(91231353)","","","(1)"
"135000007","6","1","(1,4,7,10,13,16,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,999)","(136007001,136007008,136007015,136007022,136007029,136007036,136007043,136007050,136007057,136007064,136007071,136007078,136007085,136007092,136007099,136007106,136007113,136007120,136007127,136007134,136007141,136007148,136007155,136007162,136007169,136007176,136007183,136007190,136007197,136007204,136007211,136007218)","1","7","","-1","7","7","","(90305059,91260406)","(42)","(91231341)","","","(0)"
"135000013","12","1","(1,2)","(136013001)","2","0","(2021,10,25)","-1","7","999","","(90305246,91260581)","(33)","(91231352)","","","(1,2,3)"
"135000015","14","1","(1,2)","(136015001)","0","0","(2019,7,21)","-1","3","999","","(90203318,91260786,90203320)","(36)","(91231348)","","","(1)"
"135000016","15","1","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29)","(136016000,136016010,136016020,136016030,136016040,136016050,136016060,136016070,136016080,136016090,136016100,136016110,136016120,136016130,136016140,136016150,136016160,136016170,136016180,136016190,136016200,136016210,136016220,136016230,136016240,136016250,136016260,136016270)","0","3","","-1","4","4","","(90203321,91260787,90203323)","(37)","(91231347)","","","(1)"
"135000017","16","1","(1,4,7,10,13,16,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,999)","(136017001,136017005,136017009,136017013,136017017,136017021,136017025,136017029,136017033,136017037,136017041,136017045,136017049,136017053,136017057,136017061,136017065,136017069,136017073,136017077,136017081,136017085,136017089,136017093,136017097,136017101,136017105,136017109,136017113,136017117,136017121,136017125)","1","7","","-1","7","7","","","","","","","(0)"
"135000018","17","1","(1,2,3,4,5,6,7,8,9,10,11,12,13)","(136018001,136018011,136018021,136018031,136018041,136018051,136018061,136018071,136018081,136018091,136018101,136018111)","0","0","","-1","1","1","","(90305328,91231017,90305342)","(32)","(91231335)","","","(1)"
"135000019","18","1","(1,2,999)","(136019001,136019022)","0","0","","-1","7","7","","(90305329,91231015,90305334)","(35)","(91231346)","","","(1)"
"135000020","19","1","(1,2)","(136020001)","0","0","","-1","7","7","","(90305330,91231016,90305335)","(23)","(91231354)","","","(1)"
"135000024","23","1","(1,999)","(136024001)","0","0","","-1","2","7","","(90305343,91231019)","(31)","(91231356)","","","(1)"
"135000025","24","1","(1,2)","(136025001)","0","0","","-1","7","999","","","(98)","","","","(1)"
"135000026","25","1","(1,2)","(136026001)","0","0","","-1","1","1","","","(99)","","","","(1)"
"135000029","28","1","(1,2)","(136029001)","0","0","","-1","1","1","","(90305391,91231026,90305401)","(1)","(91232701)","","","(1)"
"135000030","29","1","(1,2)","(136030001)","0","0","","-1","7","999","","(90305392,91231026,90305402)","(2)","(91232724)","","","(1)"
"135000031","30","1","(1,2)","(136031001)","0","0","","-1","1","1","","(90305393,91231026,90305403)","(3)","(91232727)","","","(1)"
"135000032","31","1","(1,2)","(136032001)","0","0","","-1","1","1","","(90305394,91231026,90305404)","(4)","(91232713)","","","(1)"
"135000033","32","1","(1,2)","(136033001)","0","0","","-1","1","1","","(90305406,91231026,90305405)","(5)","(91232730)","","","(1)"
"135000027","26","1","(1,2,3)","(136027001,136027011)","0","0","","-1","1","1","","(90203767,91231025,90203771)","(10)","(91231024)","","","(10001)"
"135000028","27","1","(1,2)","(136028001)","2","0","(2021,4,22)","-1","1","1","1","(90203767,91291244,90203770)","(10)","(91231024)","","","(10001)"
"135000034","33","1","(1,2)","(136034001)","0","0","","-1","1","1","","(90305395,91231026,90305401)","(1)","(91232701)","","","(10001)"
"135000035","34","1","(1,2)","(136035001)","0","0","","-1","1","1","","(90305396,91231026,90305402)","(2)","(91232724)","","","(10001)"
"135000036","35","1","(1,2)","(136036001)","0","0","","-1","1","1","","(90305397,91231026,90305403)","(3)","(91232727)","","","(10001)"
"135000037","36","1","(1,2)","(136037001)","0","0","","-1","1","1","","(90305398,91231026,90305404)","(4)","(91232713)","","","(10001)"
"135000038","37","1","(1,2)","(136038001)","0","0","","-1","1","1","","(90305407,91231026,90305405)","(5)","(91232730)","","","(10001)"
"135200025","24","1","(1,2)","(136225001)","0","0","","-1","7","999","","","(98)","","","","(2)"
"135200026","25","1","(1,2)","(136226001)","0","0","","-1","1","1","","","(99)","","","","(2)"
"135200026","28","1","(1,2)","(136229001)","0","0","","-1","1","1","","(90305391,91231026,90305401)","(1)","(91232701)","","","(2)"
"135200030","29","1","(1,2)","(136230001)","0","0","","-1","7","999","","(90305392,91231026,90305402)","(2)","(91232724)","","","(2)"
"135200031","30","1","(1,2)","(136231001)","0","0","","-1","1","1","","(90305393,91231026,90305403)","(3)","(91232727)","","","(2)"
"135200032","31","1","(1,2)","(136232001)","0","0","","-1","1","1","","(90305394,91231026,90305404)","(4)","(91232713)","","","(2)"
"135200033","32","1","(1,2)","(136233001)","0","0","","-1","1","1","","(90305406,91231026,90305405)","(5)","(91232730)","","","(2)"
"135400025","24","1","(1,2)","(136425001)","0","0","","-1","7","999","","","(98)","","","","(3)"
"135400026","25","1","(1,2)","(136426001)","0","0","","-1","1","1","","","(99)","","","","(3)"
"135400029","28","1","(1,2)","(136429001)","0","0","","-1","1","1","","(90305391,91231026,90305401)","(1)","(91232701)","","","(3)"
"135400030","29","1","(1,2)","(136430001)","0","0","","-1","7","999","","(90305392,91231026,90305402)","(2)","(91232724)","","","(3)"
"135400031","30","1","(1,2)","(136431001)","0","0","","-1","1","1","","(90305393,91231026,90305403)","(3)","(91232727)","","","(3)"
"135400032","31","1","(1,2)","(136432001)","0","0","","-1","1","1","","(90305394,91231026,90305404)","(4)","(91232713)","","","(3)"
"135400033","32","1","(1,2)","(136433001)","0","0","","-1","1","1","","(90305406,91231026,90305405)","(5)","(91232730)","","","(3)"
"135500044","43","1","(1,999)","(136143001)","1","0","","-1","7","7","","(90305662,91260409)","(54)","(91231354)","","","(1,2,3)"
"135000045","44","1","(1,999)","(136144001)","2","0","(2021,10,25)","-1","7","7","","(90306212,91293474)","(4401)","(91231352)","","","(1,2,3)"
"135500046","45","1","(1,999)","(136146001)","2","0","(2021,4,22)","-1","28","28","1","(90305943,91291242,90305335)","(56)","(91231354)","","","(1,2,3)"
"135500047","46","1","(1,4,7,10,13,16,22,25,28,31,34,999)","(136147001,136147008,136147015,136147022,136147029,136147036,136147043,136147050,136147057,136147064,136147071)","1","0","","-1","7","7","","(90305942,91291107)","(57)","(91231341)","","","(1,2,3)"
"135500048","47","1","(1,4,7,10,13,16,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,999)","(136148001,136148005,136148009,136148013,136148017,136148021,136148025,136148029,136148033,136148037,136148041,136148045,136148049,136148053,136148057,136148061,136148065,136148069,136148073,136148077,136148081,136148085,136148089,136148093,136148097,136148101,136148105,136148109,136148113,136148117,136148121,136148125)","1","0","","-1","7","7","","","","","","","(1,2,3)"
"135500049","48","1","(1,999)","(136145001)","1","0","","-1","28","28","","(90305891,91291100)","(55)","(91231354)","","","(1,2,3)"
"135500050","49","1","(1,999)","(136149001)","1","0","","-1","28","28","","(90305946,91291154)","(58)","(91231354)","","","(1,2,3)"
"135500072","71","1","(1,999)","(136150001)","2","0","(2021,4,22)","-1","28","28","1","(90306058,91292244)","(60)","(91231354)","","","(1,2,3)"
"135500073","72","1","(1,999)","(136151000)","2","0","(2021,8,12)","-1","1","1","","(90306086,91293388)","(87)","(91231349)","","","(10001)"
"135500074","72","1","(1,999)","(136151000)","2","0","(2021,8,12)","-1","1","1","","(90306086,91293388)","(88)","(91231349)","","","(10002)"
"135500075","72","1","(1,999)","(136151000)","2","0","(2021,8,12)","-1","1","1","","(90306086,91293388)","(89)","(91231349)","","","(10003)"
"135500080","79","1","(1,999)","(136152100)","1","0","","-1","7","7","","","(79)","","(200)","","(1,2,3)"
"135500083","82","1","(1,999)","(136152201)","2","0","(2022,4,6)","-1","7","7","1","(90203767,91291244,90203770)","(8201)","(91231024)","","","(1,2,3)"
"135500084","84","1","(1,2)","(136152300)","2","0","(2022,4,8)","-1","14","14","0","(90306379,91293600)","(8401)","(91231024)","","","(1,2,3)"
