"AttributeId","MapId","AwardNum","AwardId"
"78000001","(71220001,71220002,71220003,71220004,71220005,71220006)","(3,6,9,12,15,18)","(70003100,70003101,70003102,70003103,70003104,70003105)"
"78000002","(71220007,71220008,71220009,71220010,71220011,71220012)","(3,6,9,12,15,18)","(70003106,70003107,70003108,70003109,70003110,70003111)"
"78000003","(71220013,71220014,71220015,71220016,71220017,71220018)","(3,6,9,12,15,18)","(70003112,70003113,70003114,70003115,70003116,70003117)"
"78000004","(71220019,71220020,71220021,71220022,71220023,71220024)","(3,6,9,12,15,18)","(70003118,70003119,70003120,70003121,70003122,70003123)"
"78000005","(71220025,71220026,71220027,71220028,71220029,71220030)","(3,6,9,12,15,18)","(70003124,70003125,70003126,70003127,70003128,70003129)"
"78000006","(71220031,71220032,71220033,71220034,71220035,71220036)","(3,6,9,12,15,18)","(70003130,70003131,70003132,70003133,70003134,70003135)"
"78000007","(71220037,71220038,71220039,71220040,71220041,71220042)","(3,6,9,12,15,18)","(70003136,70003137,70003138,70003139,70003140,70003141)"
"78000008","(71220043,71220044,71220045,71220046,71220047,71220048)","(3,6,9,12,15,18)","(70003142,70003143,70003144,70003145,70003146,70003147)"
"78000009","(71220049,71220050,71220051,71220052,71220053,71220054)","(3,6,9,12,15,18)","(70003148,70003149,70003150,70003151,70003152,70003153)"
"78000010","(71220055,71220056,71220057,71220058,71220059,71220060)","(3,6,9,12,15,18)","(70003154,70003155,70003156,70003157,70003158,70003159)"
