"AttributeId","MonsterLevel","MonsterId","ItemShow","RecommendationGS","ElementalMonsterType"
"114000001","1","","(31080051,31080052,31080001,31080002,31080003)","400","0"
"114000002","2","","(31080051,31080052,31080001,31080002,31080003)","600",""
"114000003","3","","(31080051,31080052,31080001,31080002,31080003)","800",""
"114000004","4","","(31080051,31080052,31080001,31080002,31080003)","1000",""
"114000005","5","","(31080051,31080052,31080001,31080002,31080003)","1100",""
"114000006","6","","(31080051,31080052,31080001,31080002,31080003)","1400",""
"114000007","7","","(31080051,31080052,31080001,31080002,31080003)","1600",""
"114000008","8","","(31080051,31080052,31080001,31080002,31080003)","2000",""
"114000009","9","","(31080051,31080052,31080001,31080002,31080003)","2400",""
"114000010","10","","(31080051,31080052,31080001,31080002,31080003)","2800",""
"114000011","11","","(31080051,31080052,31080001,31080002,31080003)","3200",""
"114000012","12","","(31080051,31080052,31080001,31080002,31080003)","3500",""
"114000013","13","","(31080051,31080052,31080001,31080002,31080003)","3900",""
"114000014","14","","(31080051,31080052,31080001,31080002,31080003)","4300",""
"114000015","15","","(31080051,31080052,31080001,31080002,31080003)","4700",""
"114000016","16","","(31080051,31080052,31080001,31080002,31080003)","5100",""
"114000017","17","","(31080051,31080052,31080001,31080002,31080003)","5500",""
"114000018","18","","(31080051,31080052,31080001,31080002,31080003)","5800",""
"114000019","19","","(31080051,31080052,31080001,31080002,31080003)","6200",""
"114000020","20","","(31080051,31080052,31080001,31080002,31080003)","6600",""
"114000021","21","","(31080051,31080052,31080001,31080002,31080003)","6900",""
"114000022","22","","(31080051,31080052,31080001,31080002,31080003)","7300",""
"114000023","23","","(31080051,31080052,31080001,31080002,31080003)","7700",""
"114000024","24","","(31080051,31080052,31080001,31080002,31080003)","8000",""
"114000025","25","","(31080051,31080052,31080001,31080002,31080003)","8400",""
"114000026","26","","(31080051,31080052,31080001,31080002,31080003)","8800",""
"114000027","27","","(31080051,31080052,31080001,31080002,31080003)","9300",""
"114000028","28","","(31080051,31080052,31080001,31080002,31080003)","9700",""
"114000029","29","","(31080051,31080052,31080001,31080002,31080003)","10000",""
"114000030","30","","(31080051,31080052,31080001,31080002,31080003)","10400",""
"114000031","31","","(31080051,31080052,31080001,31080002,31080003)","10800",""
"114000032","32","","(31080051,31080052,31080001,31080002,31080003)","11200",""
"114000033","33","","(31080051,31080052,31080001,31080002,31080003)","11600",""
"114000034","34","","(31080051,31080052,31080001,31080002,31080003)","12000",""
"114000035","35","","(31080051,31080052,31080001,31080002,31080003)","12300",""
"114000036","36","","(31080051,31080052,31080001,31080002,31080003)","12700",""
"114000037","37","","(31080051,31080052,31080001,31080002,31080003)","13100",""
"114000038","38","","(31080051,31080052,31080001,31080002,31080003)","13500",""
"114000039","39","","(31080051,31080052,31080001,31080002,31080003)","13900",""
"114000040","40","","(31080051,31080052,31080001,31080002,31080003)","15500",""
"114000041","41","","(31080051,31080052,31080001,31080002,31080003)","16200",""
"114000042","42","","(31080051,31080052,31080001,31080002,31080003)","16800",""
"114000043","43","","(31080051,31080052,31080001,31080002,31080003)","17500",""
"114000044","44","","(31080051,31080052,31080001,31080002,31080003)","18200",""
"114000045","45","82010516","(31080051,31080052,31080001,31080002,31080003)","18900",""
"114000046","46","","(31080051,31080052,31080001,31080002,31080003)","19600",""
"114000047","47","","(31080051,31080052,31080001,31080002,31080003)","20400",""
"114000048","48","82010532","(31080051,31080052,31080001,31080002,31080003)","21100",""
"114000049","49","","(31080051,31080052,31080001,31080002,31080003)","21900",""
"114000050","50","","(31080051,31080052,31080001,31080002,31080003)","24100",""
"114000051","51","","(31080051,31080052,31080001,31080002,31080003)","24600",""
"114000052","52","","(31080051,31080052,31080001,31080002,31080003)","25100",""
"114000053","53","","(31080051,31080052,31080001,31080002,31080003)","25600",""
"114000054","54","","(31080051,31080052,31080001,31080002,31080003)","26100",""
"114000055","55","82010215","(31080051,31080052,31080001,31080002,31080003)","26600",""
"114000056","56","","(31080051,31080052,31080001,31080002,31080003)","27100",""
"114000057","57","","(31080051,31080052,31080001,31080002,31080003)","27500",""
"114000058","58","82010257","(31080051,31080052,31080001,31080002,31080003)","28000",""
"114000059","59","","(31080051,31080052,31080001,31080002,31080003)","28500",""
"114000060","60","","(31080051,31080052,31080001,31080002,31080003)","30800",""
"114000061","61","","(31080051,31080052,31080001,31080002,31080003)","31300",""
"114000062","62","","(31080051,31080052,31080001,31080002,31080003)","31800",""
"114000063","63","","(31080051,31080052,31080001,31080002,31080003)","32300",""
"114000064","64","82012091","(31080051,31080052,31080001,31080002,31080003)","32800",""
"114000065","65","","(31080051,31080052,31080001,31080002,31080003)","33400",""
"114000066","66","","(31080051,31080052,31080001,31080002,31080003)","33900",""
"114000067","67","","(31080051,31080052,31080001,31080002,31080003)","34400",""
"114000068","68","82012097","(31080051,31080052,31080001,31080002,31080003)","34900",""
"114000069","69","","(31080051,31080052,31080001,31080002,31080003)","35400",""
"114000070","70","","(31080051,31080052,31080001,31080002,31080003)","38000",""
"114000071","71","","(31080051,31080052,31080001,31080002,31080003)","38500",""
"114000072","72","","(31080051,31080052,31080001,31080002,31080003)","39100",""
"114000073","73","82010268","(31080051,31080052,31080001,31080002,31080003)","39600",""
"114000074","74","","(31080051,31080052,31080001,31080002,31080003)","40100",""
"114000075","75","","(31080051,31080052,31080001,31080002,31080003)","40700",""
"114000076","76","82010274","(31080051,31080052,31080001,31080002,31080003)","41200",""
"114000077","77","","(31080051,31080052,31080001,31080002,31080003)","41800",""
"114000078","78","","(31080051,31080052,31080001,31080002,31080003)","42300",""
"114000079","79","","(31080051,31080052,31080001,31080002,31080003)","42800",""
"114000080","80","82010280","(31080051,31080052,31080001,31080002,31080003)","45700","1"
"114000081","81","","(31080051,31080052,31080001,31080002,31080003)","46300",""
"114000082","82","","(31080051,31080052,31080001,31080002,31080003)","46800",""
"114000083","83","","(31080051,31080052,31080001,31080002,31080003)","47400",""
"114000084","84","82012103","(31080051,31080052,31080001,31080002,31080003)","48000",""
"114000085","85","","(31080051,31080052,31080001,31080002,31080003)","48500",""
"114000086","86","","(31080051,31080052,31080001,31080002,31080003)","49100",""
"114000087","87","","(31080051,31080052,31080001,31080002,31080003)","49700",""
"114000088","88","82010286","(31080051,31080052,31080001,31080002,31080003)","50200",""
"114000089","89","","(31080051,31080052,31080001,31080002,31080003)","50800",""
"114000090","90","","(31080051,31080052,31080001,31080002,31080003)","53900",""
"114000091","91","","(31080051,31080052,31080001,31080002,31080003)","54500",""
"114000092","92","82010292","(31080051,31080052,31080001,31080002,31080003)","55100",""
"114000093","93","","(31080051,31080052,31080001,31080002,31080003)","55700",""
"114000094","94","","(31080051,31080052,31080001,31080002,31080003)","56300",""
"114000095","95","","(31080051,31080052,31080001,31080002,31080003)","56900",""
"114000096","96","82010304","(31080051,31080052,31080001,31080002,31080003)","57500",""
"114000097","97","","(31080051,31080052,31080001,31080002,31080003)","58100",""
"114000098","98","","(31080051,31080052,31080001,31080002,31080003)","58700",""
"114000099","99","","(31080051,31080052,31080001,31080002,31080003)","59300",""
"114000100","100","82010298","(31080051,31080052,31080001,31080002,31080003)","59900","1"
"114000101","101","","(31080051,31080052,31080004,31080005,31080006)","61000",""
"114000102","102","","(31080051,31080052,31080004,31080005,31080006)","62500",""
"114000103","103","","(31080051,31080052,31080004,31080005,31080006)","63900",""
"114000104","104","82010310","(31080051,31080052,31080004,31080005,31080006)","65300",""
"114000105","105","","(31080051,31080052,31080004,31080005,31080006)","66800",""
"114000106","106","","(31080051,31080052,31080004,31080005,31080006)","68200",""
"114000107","107","","(31080051,31080052,31080004,31080005,31080006)","69600",""
"114000108","108","82010316","(31080051,31080052,31080004,31080005,31080006)","71000",""
"114000109","109","","(31080051,31080052,31080004,31080005,31080006)","72500",""
"114000110","110","","(31080051,31080052,31080004,31080005,31080006)","73900",""
"114000111","111","","(31080051,31080052,31080004,31080005,31080006)","75300",""
"114000112","112","82010328","(31080051,31080052,31080004,31080005,31080006)","76800",""
"114000113","113","","(31080051,31080052,31080004,31080005,31080006)","78200",""
"114000114","114","","(31080051,31080052,31080004,31080005,31080006)","79600",""
"114000115","115","","(31080051,31080052,31080004,31080005,31080006)","81100",""
"114000116","116","82012140","(31080051,31080052,31080004,31080005,31080006)","82500",""
"114000117","117","","(31080051,31080052,31080004,31080005,31080006)","83900",""
"114000118","118","","(31080051,31080052,31080004,31080005,31080006)","85300",""
"114000119","119","","(31080051,31080052,31080004,31080005,31080006)","86800",""
"114000120","120","82012134","(31080051,31080052,31080004,31080005,31080006)","94100","1"
"114000121","121","","(31080051,31080052,31080004,31080005,31080006)","95600",""
"114000122","122","","(31080051,31080052,31080004,31080005,31080006)","97200",""
"114000123","123","","(31080051,31080052,31080004,31080005,31080006)","98700",""
"114000124","124","82012322","(31080051,31080052,31080004,31080005,31080006)","100200",""
"114000125","125","","(31080051,31080052,31080004,31080005,31080006)","101700",""
"114000126","126","","(31080051,31080052,31080004,31080005,31080006)","103300",""
"114000127","127","","(31080051,31080052,31080004,31080005,31080006)","104800",""
"114000128","128","82010322","(31080051,31080052,31080004,31080005,31080006)","106300",""
"114000129","129","","(31080051,31080052,31080004,31080005,31080006)","107800",""
"114000130","130","","(31080051,31080052,31080004,31080005,31080006)","109400",""
"114000131","131","","(31080051,31080052,31080004,31080005,31080006)","110900",""
"114000132","132","82010334","(31080051,31080052,31080004,31080005,31080006)","112400",""
"114000133","133","","(31080051,31080052,31080004,31080005,31080006)","113900",""
"114000134","134","","(31080051,31080052,31080004,31080005,31080006)","115500",""
"114000135","135","","(31080051,31080052,31080004,31080005,31080006)","117000",""
"114000136","136","82010345","(31080051,31080052,31080004,31080005,31080006)","118500",""
"114000137","137","","(31080051,31080052,31080004,31080005,31080006)","120000",""
"114000138","138","","(31080051,31080052,31080004,31080005,31080006)","121600",""
"114000139","139","","(31080051,31080052,31080004,31080005,31080006)","123100",""
"114000140","140","82010351","(31080051,31080052,31080004,31080005,31080006)","132400","1"
"114000141","141","","(31080051,31080052,31080004,31080005,31080006)","134000",""
"114000142","142","","(31080051,31080052,31080004,31080005,31080006)","135700",""
"114000143","143","","(31080051,31080052,31080004,31080005,31080006)","137300",""
"114000144","144","","(31080051,31080052,31080004,31080005,31080006)","138900",""
"114000145","145","82012335","(31080051,31080052,31080004,31080005,31080006)","140500",""
"114000146","146","","(31080051,31080052,31080004,31080005,31080006)","142100",""
"114000147","147","","(31080051,31080052,31080004,31080005,31080006)","143700",""
"114000148","148","","(31080051,31080052,31080004,31080005,31080006)","145400",""
"114000149","149","","(31080051,31080052,31080004,31080005,31080006)","147000",""
"114000150","150","82010370","(31080051,31080052,31080004,31080005,31080006)","148600",""
"114000151","151","","(31080051,31080052,31080004,31080005,31080006)","150200",""
"114000152","152","","(31080051,31080052,31080004,31080005,31080006)","151800",""
"114000153","153","","(31080051,31080052,31080004,31080005,31080006)","153500",""
"114000154","154","","(31080051,31080052,31080004,31080005,31080006)","155100",""
"114000155","155","82010394","(31080051,31080052,31080004,31080005,31080006)","156700",""
"114000156","156","","(31080051,31080052,31080004,31080005,31080006)","158300",""
"114000157","157","","(31080051,31080052,31080004,31080005,31080006)","159900",""
"114000158","158","","(31080051,31080052,31080004,31080005,31080006)","161500",""
"114000159","159","","(31080051,31080052,31080004,31080005,31080006)","163200",""
"114000160","160","82010411","(31080051,31080052,31080004,31080005,31080006)","174500","1"
"114000161","161","","(31080051,31080052,31080004,31080005,31080006)","176200",""
"114000162","162","","(31080051,31080052,31080004,31080005,31080006)","177900",""
"114000163","163","","(31080051,31080052,31080004,31080005,31080006)","179600",""
"114000164","164","","(31080051,31080052,31080004,31080005,31080006)","181300",""
"114000165","165","82010454","(31080051,31080052,31080004,31080005,31080006)","183100",""
"114000166","166","","(31080051,31080052,31080004,31080005,31080006)","184800",""
"114000167","167","","(31080051,31080052,31080004,31080005,31080006)","186500",""
"114000168","168","","(31080051,31080052,31080004,31080005,31080006)","188200",""
"114000169","169","","(31080051,31080052,31080004,31080005,31080006)","189900",""
"114000170","170","82010435","(31080051,31080052,31080004,31080005,31080006)","202300",""
"114000171","171","","(31080051,31080052,31080004,31080005,31080006)","204100",""
"114000172","172","","(31080051,31080052,31080004,31080005,31080006)","205900",""
"114000173","173","","(31080051,31080052,31080004,31080005,31080006)","207700",""
"114000174","174","","(31080051,31080052,31080004,31080005,31080006)","209500",""
"114000175","175","82010448","(31080051,31080052,31080004,31080005,31080006)","211300",""
"114000176","176","","(31080051,31080052,31080004,31080005,31080006)","213100",""
"114000177","177","","(31080051,31080052,31080004,31080005,31080006)","214900",""
"114000178","178","","(31080051,31080052,31080004,31080005,31080006)","216700",""
"114000179","179","","(31080051,31080052,31080004,31080005,31080006)","218500",""
"114000180","180","82010581","(31080051,31080052,31080004,31080005,31080006)","231900","1"
"114000181","181","","(31080051,31080052,31080004,31080005,31080006)","233800",""
"114000182","182","","(31080051,31080052,31080004,31080005,31080006)","235700",""
"114000183","183","","(31080051,31080052,31080004,31080005,31080006)","237600",""
