"AttributeId","Series","Type","Level","LevelMax","Name","Icon","Describe","OpenMoney","OpenItem","BuffArray","FeatherArray","AttArray","AttAddArray","BuffAddType","GSAddValue","ShowCD","ObtainDescription","WidgetJumpId","RegionArr","OpenTipStr","NoOpenTipStr","NewGetTip","SkillVedio"
"26010001","1001","","1","3","90100519","91211752","90100126","","","(10270001,0)","","","","0","","","","","","","","",""
"26010002","1001","","2","3","90100520","91211753","90100127","","","(10270002,0)","","","","","","","","","","","","",""
"26010003","1001","","3","3","90100521","91211754","90100128","","","(10270003,0)","","","","","","","","","","","","",""
"26010004","1004","","1","3","90100522","91211755","90100129","","","(10270004,0)","","","","","","","","","","","","",""
"26010005","1004","","2","3","90100523","91211756","90100130","","","(10270005,0)","","","","","","","","","","","","",""
"26010006","1004","","3","3","90100524","91211757","90100131","","","(10270006,0)","","","","","","","","","","","","",""
"26010007","1007","","1","3","90100525","91211758","90100132","","","(10270007,0)","","","","","","","","","","","","",""
"26010008","1007","","2","3","90100526","91211759","90100133","","","(10270008,0)","","","","","","","","","","","","",""
"26010009","1007","","3","3","90100527","91211760","90100134","","","(10270009,0)","","","","","","","","","","","","",""
"26010010","1010","","1","3","90100528","91211761","90100135","","","(10270010,0)","","","","","","","","","","","","",""
"26010011","1010","","2","3","90100529","91211762","90100136","","","(10270011,0)","","","","","","","","","","","","",""
"26010012","1010","","3","3","90100530","91211763","90100137","","","(10270012,0)","","","","","","","","","","","","",""
"26010013","1013","","1","3","90100531","91211764","90100138","","","(10270013,0)","","","","","","","","","","","","",""
"26010014","1013","","2","3","90100532","91211765","90100139","","","(10270014,0)","","","","","","","","","","","","",""
"26010015","1013","","3","3","90100533","91211766","90100140","","","(10270015,0)","","","","","","","","","","","","",""
"26010016","1016","","1","3","90100534","91211767","90100141","","","(10270016,0)","","","","","","","","","","","","",""
"26010017","1016","","2","3","90100535","91211768","90100142","","","(10270017,0)","","","","","","","","","","","","",""
"26010018","1016","","3","3","90100536","91211769","90100143","","","(10270018,0)","","","","","","","","","","","","",""
"26010019","1019","","1","3","90100537","91211770","90100144","","","(10270019,0)","","","","","","","","","","","","",""
"26010020","1019","","2","3","90100538","91211771","90100145","","","(10270020,0)","","","","","","","","","","","","",""
"26010021","1019","","3","3","90100539","91211772","90100146","","","(10270021,0)","","","","","","","","","","","","",""
"26010022","1022","","1","3","90100540","91211773","90100147","","","(10270022,0)","","","","","","","","","","","","",""
"26010023","1022","","2","3","90100541","91211774","90100148","","","(10270023,0)","","","","","","","","","","","","",""
"26010024","1022","","3","3","90100542","91211775","90100149","","","(10270024,0)","","","","","","","","","","","","",""
"26010025","1025","","1","3","90100555","91211776","90100162","","","(10270025,0)","","","","","","","","","","","","",""
"26010026","1025","","2","3","90100556","91211777","90100163","","","(10270026,0)","","","","","","","","","","","","",""
"26010027","1025","","3","3","90100557","91211778","90100164","","","(10270027,0)","","","","","","","","","","","","",""
"26010028","1028","","1","3","90100558","91211779","90100165","","","(10270028,0)","","","","","","","","","","","","",""
"26010029","1028","","2","3","90100559","91211780","90100166","","","(10270029,0)","","","","","","","","","","","","",""
"26010030","1028","","3","3","90100560","91211781","90100167","","","(10270030,0)","","","","","","","","","","","","",""
"26010031","1031","","1","3","90100561","91211782","90100168","","","(10270031,0)","","","","","","","","","","","","",""
"26010032","1031","","2","3","90100562","91211783","90100169","","","(10270032,0)","","","","","","","","","","","","",""
"26010033","1031","","3","3","90100563","91211784","90100170","","","(10270033,0)","","","","","","","","","","","","",""
"26010034","1034","","1","3","90100564","91211785","90100171","","","(10270034,0)","","","","","","","","","","","","",""
"26010035","1034","","2","3","90100565","91211786","90100172","","","(10270035,0)","","","","","","","","","","","","",""
"26010036","1034","","3","3","90100566","91211787","90100173","","","(10270036,0)","","","","","","","","","","","","",""
"26010037","1037","","1","3","90100567","91211788","90100174","","","(10270037,0)","","","","","","","","","","","","",""
"26010038","1037","","2","3","90100568","91211789","90100175","","","(10270038,0)","","","","","","","","","","","","",""
