"AttributeId","Type","Sort","StringID","answer"
"152000000","1","1","90140000","(152000020,152000022,152000003,152000000)"
"152000001","1","2","90140001","(152000015,152000001,152000002)"
"152000002","1","3","90140002","(152000015,152000001,152000002)"
"152000003","1","4","90140003","(152000020,152000022,152000003,152000000)"
"152000004","1","5","90140004","(152000004,152000005,152000016,152000024)"
"152000005","1","6","90140005","(152000004,152000005,152000016,152000024)"
"152000006","1","7","90140006","(152000006,152000025)"
"152000007","1","8","90140007","(152000007,152000008)"
"152000008","1","9","90140008","(152000007,152000008)"
"152000009","1","10","90140009","(152000009,152000011,152000021)"
"152000010","1","11","90140010","(152000019,152000023,152000010)"
"152000011","1","12","90140011","(152000009,152000011,152000021)"
"152000012","1","13","90140012","(152000012,152000027,152000014)"
"152000013","1","14","90140013","(152000028,152000029,152000013)"
"152000014","1","15","90140014","(152000012,152000027,152000014)"
"152000015","1","16","90140015","(152000015,152000001,152000002)"
"152000016","1","17","90140016","(152000004,152000005,152000016,152000024)"
"152000017","1","18","90140017","(152000017,152000018,152000026)"
"152000018","1","19","90140018","(152000017,152000018,152000026)"
"152000019","1","20","90140019","(152000019,152000023,152000010)"
"152000020","1","21","90140020","(152000020,152000022,152000003,152000000)"
"152000021","1","22","90140021","(152000009,152000011,152000021)"
"152000022","1","23","90140022","(152000020,152000022,152000003,152000000)"
"152000023","1","24","90140023","(152000019,152000023,152000010)"
"152000024","1","25","90140024","(152000004,152000005,152000016,152000024)"
"152000025","1","26","90140025","(152000006,152000025)"
"152000026","1","27","90140026","(152000017,152000018,152000026)"
"152000027","1","28","90140027","(152000012,152000027,152000014)"
"152000028","1","29","90140028","(152000028,152000029,152000013)"
"152000029","1","30","90140029","(152000028,152000029,152000013)"
"152000030","2","1","90140100","(152000030,152000052,152000059)"
"152000031","2","2","90140101","(152000031,152000054)"
"152000032","2","3","90140102","(152000032,152000055)"
"152000033","2","4","90140103","(152000033,152000056)"
"152000034","2","5","90140104","(152000043,152000034,152000059)"
"152000035","2","6","90140105","(152000035,152000054,152000058)"
"152000036","2","7","90140106","(152000047,152000036,152000050)"
"152000037","2","8","90140107","(152000037,152000042,152000051)"
"152000038","2","9","90140108","(152000051,152000038,152000039)"
"152000039","2","10","90140109","(152000051,152000038,152000039)"
"152000040","2","11","90140110","(152000053,152000040)"
"152000041","2","12","90140111","(152000048,152000049,152000041)"
"152000042","2","13","90140112","(152000035,152000042,152000058)"
"152000043","2","14","90140113","(152000043,152000052,152000035)"
"152000044","2","15","90140114","(152000044,152000045,152000046)"
"152000045","2","16","90140115","(152000044,152000045,152000046)"
"152000046","2","17","90140116","(152000044,152000045,152000046)"
"152000047","2","18","90140117","(152000047,152000036,152000050)"
"152000048","2","19","90140118","(152000048,152000049,152000041)"
"152000049","2","20","90140119","(152000048,152000049)"
