"AttributeId","ClassType","Level","NextLevelExp","MoveSpeedForce","MaxBagCount","EnergyBackValue","EnergyBackTime","EnergyMax","RandomItem","SpecialRandomItem","RandomTreasure","AttPermanent","SkillCount","PassiveSkillCount","SpriteCount","AttArray","BaseExp","BaseCoin","DailyMissionLibrary","AgainstMissionLibrary","TargetGsValue","TalentNum","AddPoints","MeditationExpAddition","MeditationStandardGs","PureHurtAttArray","MarryMissionLibrary","ReplyEnergy"
"21000001","1","1","50","1000","100","6","3600","100","(70505001,70505002,70505003,70505004,70505005,70505006,70505007,70505008,70505009,70505010,70505011,70505012,70505013,70505014,70505015,70505016,70505017,70505018,70505019,70505020,70505021,70505022,70505023,70505024,70505025,70505026,70505027,70505028,70505029,70505030)","(70505001,70505002,70505003,70505004,70505005,70505006,70505007,70505008,70505009,70505010,70505011,70505012,70505013,70505014,70505015,70505016,70505017,70505018,70505019,70505020,70505021,70505022,70505023,70505024,70505025,70505026,70505027,70505028,70505029,70505030)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","0","0","1","(4,31,600,0,1,4,8,100,0,1,4,5,10,0,1,4,6,12,0,1,4,7,30,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","30","16000001","16000066","320","1","0","0.6","320","(3,43,0,0.0002,1)","16002000","10"
"21000002","1","2","60","1000","100","6","3600","100","(70505101,70505102,70505103,70505104,70505105,70505106,70505107,70505108,70505109,70505110,70505111,70505112,70505113,70505114,70505115,70505116,70505117,70505118,70505119,70505120,70505121,70505122,70505123,70505124,70505125,70505126,70505127,70505128,70505129,70505130)","(70505101,70505102,70505103,70505104,70505105,70505106,70505107,70505108,70505109,70505110,70505111,70505112,70505113,70505114,70505115,70505116,70505117,70505118,70505119,70505120,70505121,70505122,70505123,70505124,70505125,70505126,70505127,70505128,70505129,70505130)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","1","0","2","(4,31,600,0,1,4,8,116,0,1,4,5,12,0,1,4,6,14,0,1,4,7,35,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","540","1","0","0.6","530","(3,43,0,0.0002,1)","16002000","10"
"21000003","1","3","70","1000","100","6","3600","100","(70505201,70505202,70505203,70505204,70505205,70505206,70505207,70505208,70505209,70505210,70505211,70505212,70505213,70505214,70505215,70505216,70505217,70505218,70505219,70505220,70505221,70505222,70505223,70505224,70505225,70505226,70505227,70505228,70505229,70505230)","(70505201,70505202,70505203,70505204,70505205,70505206,70505207,70505208,70505209,70505210,70505211,70505212,70505213,70505214,70505215,70505216,70505217,70505218,70505219,70505220,70505221,70505222,70505223,70505224,70505225,70505226,70505227,70505228,70505229,70505230)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","1","1","3","(4,31,600,0,1,4,8,132,0,1,4,5,14,0,1,4,6,16,0,1,4,7,40,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","790","1","0","0.6","770","(3,43,0,0.0002,1)","16002000","10"
"21000004","1","4","80","1000","100","6","3600","100","(70505301,70505302,70505303,70505304,70505305,70505306,70505307,70505308,70505309,70505310,70505311,70505312,70505313,70505314,70505315,70505316,70505317,70505318,70505319,70505320,70505321,70505322,70505323,70505324,70505325,70505326,70505327,70505328,70505329,70505330)","(70505301,70505302,70505303,70505304,70505305,70505306,70505307,70505308,70505309,70505310,70505311,70505312,70505313,70505314,70505315,70505316,70505317,70505318,70505319,70505320,70505321,70505322,70505323,70505324,70505325,70505326,70505327,70505328,70505329,70505330)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","1","1","4","(4,31,600,0,1,4,8,148,0,1,4,5,16,0,1,4,6,18,0,1,4,7,45,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","1150","1","0","0.6","1110","(3,43,0,0.0002,1)","16002000","10"
"21000005","1","5","90","1000","100","6","3600","100","(70505401,70505402,70505403,70505404,70505405,70505406,70505407,70505408,70505409,70505410,70505411,70505412,70505413,70505414,70505415,70505416,70505417,70505418,70505419,70505420,70505421,70505422,70505423,70505424,70505425,70505426,70505427,70505428,70505429,70505430)","(70505401,70505402,70505403,70505404,70505405,70505406,70505407,70505408,70505409,70505410,70505411,70505412,70505413,70505414,70505415,70505416,70505417,70505418,70505419,70505420,70505421,70505422,70505423,70505424,70505425,70505426,70505427,70505428,70505429,70505430)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","2","1","5","(4,31,600,0,1,4,8,164,0,1,4,5,18,0,1,4,6,20,0,1,4,7,50,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","1370","1","0","0.6","1300","(3,43,0,0.0002,1)","16002000","10"
"21000006","1","6","100","1000","100","6","3600","100","(70505501,70505502,70505503,70505504,70505505,70505506,70505507,70505508,70505509,70505510,70505511,70505512,70505513,70505514,70505515,70505516,70505517,70505518,70505519,70505520,70505521,70505522,70505523,70505524,70505525,70505526,70505527,70505528,70505529,70505530)","(70505501,70505502,70505503,70505504,70505505,70505506,70505507,70505508,70505509,70505510,70505511,70505512,70505513,70505514,70505515,70505516,70505517,70505518,70505519,70505520,70505521,70505522,70505523,70505524,70505525,70505526,70505527,70505528,70505529,70505530)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","2","1","5","(4,31,600,0,1,4,8,180,0,1,4,5,20,0,1,4,6,22,0,1,4,7,55,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","1610","1","0","0.6","1490","(3,43,0,0.0002,1)","16002000","10"
"21000007","1","7","110","1000","100","6","3600","100","(70505601,70505602,70505603,70505604,70505605,70505606,70505607,70505608,70505609,70505610,70505611,70505612,70505613,70505614,70505615,70505616,70505617,70505618,70505619,70505620,70505621,70505622,70505623,70505624,70505625,70505626,70505627,70505628,70505629,70505630)","(70505601,70505602,70505603,70505604,70505605,70505606,70505607,70505608,70505609,70505610,70505611,70505612,70505613,70505614,70505615,70505616,70505617,70505618,70505619,70505620,70505621,70505622,70505623,70505624,70505625,70505626,70505627,70505628,70505629,70505630)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","2","2","5","(4,31,600,0,1,4,8,196,0,1,4,5,22,0,1,4,6,24,0,1,4,7,60,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","1880","1","0","0.6","1720","(3,43,0,0.0002,1)","16002000","10"
"21000008","1","8","120","1000","100","6","3600","100","(70505701,70505702,70505703,70505704,70505705,70505706,70505707,70505708,70505709,70505710,70505711,70505712,70505713,70505714,70505715,70505716,70505717,70505718,70505719,70505720,70505721,70505722,70505723,70505724,70505725,70505726,70505727,70505728,70505729,70505730)","(70505701,70505702,70505703,70505704,70505705,70505706,70505707,70505708,70505709,70505710,70505711,70505712,70505713,70505714,70505715,70505716,70505717,70505718,70505719,70505720,70505721,70505722,70505723,70505724,70505725,70505726,70505727,70505728,70505729,70505730)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","2","2","5","(4,31,600,0,1,4,8,212,0,1,4,5,24,0,1,4,6,26,0,1,4,7,65,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","2210","1","0","0.6","2000","(3,43,0,0.0002,1)","16002000","10"
"21000009","1","9","130","1000","100","6","3600","100","(70505801,70505802,70505803,70505804,70505805,70505806,70505807,70505808,70505809,70505810,70505811,70505812,70505813,70505814,70505815,70505816,70505817,70505818,70505819,70505820,70505821,70505822,70505823,70505824,70505825,70505826,70505827,70505828,70505829,70505830)","(70505801,70505802,70505803,70505804,70505805,70505806,70505807,70505808,70505809,70505810,70505811,70505812,70505813,70505814,70505815,70505816,70505817,70505818,70505819,70505820,70505821,70505822,70505823,70505824,70505825,70505826,70505827,70505828,70505829,70505830)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","2","2","5","(4,31,600,0,1,4,8,228,0,1,4,5,26,0,1,4,6,28,0,1,4,7,70,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","2520","1","0","0.6","2250","(3,43,0,0.0004,1)","16002000","10"
"21000010","1","10","185","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","3","2","5","(4,31,600,0,1,4,8,244,0,1,4,5,28,0,1,4,6,30,0,1,4,7,75,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","2940","1","0","0.6","2590","(3,43,0,0.0004,1)","16002000","10"
"21000011","1","11","200","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","3","2","5","(4,31,600,0,1,4,8,260,0,1,4,5,30,0,1,4,6,32,0,1,4,7,80,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","3350","1","0","0.6","2910","(3,43,0,0.0004,1)","16002000","10"
"21000012","1","12","215","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","3","3","5","(4,31,600,0,1,4,8,276,0,1,4,5,32,0,1,4,6,34,0,1,4,7,85,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","3740","1","0","0.6","3210","(3,43,0,0.0004,1)","16002000","10"
"21000013","1","13","230","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","3","3","5","(4,31,600,0,1,4,8,292,0,1,4,5,34,0,1,4,6,36,0,1,4,7,90,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","4130","1","0","0.6","3500","(3,43,0,0.0004,1)","16002000","10"
"21000014","1","14","245","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","3","3","5","(4,31,600,0,1,4,8,308,0,1,4,5,36,0,1,4,6,38,0,1,4,7,95,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","4510","1","0","0.6","3770","(3,43,0,0.0004,1)","16002000","10"
"21000015","1","15","260","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","4","3","5","(4,31,600,0,1,4,8,324,0,1,4,5,38,0,1,4,6,40,0,1,4,7,100,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","4870","1","0","0.6","4030","(3,43,0,0.0006,1)","16002000","10"
"21000016","1","16","275","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","4","3","5","(4,31,600,0,1,4,8,340,0,1,4,5,40,0,1,4,6,42,0,1,4,7,105,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","5230","1","0","0.6","4270","(3,43,0,0.0006,1)","16002000","10"
"21000017","1","17","290","1000","100","6","3600","100","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(70505901,70505902,70505903,70505904,70505905,70505906,70505907,70505908,70505909,70505910,70505911,70505912,70505913,70505914,70505915,70505916,70505917,70505918,70505919,70505920,70505921,70505922,70505923,70505924,70505925,70505926,70505927,70505928,70505929,70505930)","(19000001,19000002,19000003,19000004,19000005,19000006)","(1,100,2,100,3,100,4,100)","4","3","5","(4,31,600,0,1,4,8,356,0,1,4,5,42,0,1,4,6,44,0,1,4,7,110,0,1,4,9,20,0,1,4,10,0,0,1,4,11,0,0,1,4,12,0,0,1,4,13,2,0,1,4,14,0.5,0,1,4,15,0,0,1,4,16,0,0,1,4,17,0,0,1,4,18,0,0,1,4,19,0,0,1,4,20,0,0,1,4,21,0,0,1,4,22,0,0,1,4,23,0,0,1,4,24,0,0,1,4,25,1,0,1,4,26,0,0,1,4,27,1,0,1,4,36,100,0,1)","1","31","16000001","16000066","5570","1","0","0.6","4490","(3,43,0,0.0006,1)","16002000","10"
