"AttributeId","PokedexName","PokedexIcon","Describe","OpenLevel","UnLockMissionID","NpcID","Color","Type","SubType","UpgradeLevel","MaxLevel","UnlockCost","UpgradeCost","AttArray","FetterArr","PsycheIdArray","ProtectId"
"60000000","90052009","91240000","90203081","0","","","3","2","1","0","20","","(8,3000)","(4,8,2475,0,1,4,5,350,0,1,4,6,425,0,1,4,7,1200,0,1,4,9,200,0,1,4,10,200,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000001","90052009","91240000","90203081","0","","","3","2","1","1","20","","(8,3500)","(4,8,2970,0,1,4,5,420,0,1,4,6,510,0,1,4,7,1440,0,1,4,9,240,0,1,4,10,240,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000002","90052009","91240000","90203081","0","","","3","2","1","2","20","","(8,4000)","(4,8,3465,0,1,4,5,490,0,1,4,6,595,0,1,4,7,1680,0,1,4,9,280,0,1,4,10,280,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000003","90052009","91240000","90203081","0","","","3","2","1","3","20","","(8,4500)","(4,8,3960,0,1,4,5,560,0,1,4,6,680,0,1,4,7,1920,0,1,4,9,320,0,1,4,10,320,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000004","90052009","91240000","90203081","0","","","3","2","1","4","20","","(8,5000)","(4,8,4455,0,1,4,5,630,0,1,4,6,765,0,1,4,7,2160,0,1,4,9,360,0,1,4,10,360,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000005","90052009","91240000","90203081","0","","","3","2","1","5","20","","(8,5500)","(4,8,4950,0,1,4,5,700,0,1,4,6,850,0,1,4,7,2400,0,1,4,9,400,0,1,4,10,400,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000006","90052009","91240000","90203081","0","","","3","2","1","6","20","","(8,6000)","(4,8,5445,0,1,4,5,770,0,1,4,6,935,0,1,4,7,2640,0,1,4,9,440,0,1,4,10,440,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000007","90052009","91240000","90203081","0","","","3","2","1","7","20","","(8,6500)","(4,8,5940,0,1,4,5,840,0,1,4,6,1020,0,1,4,7,2880,0,1,4,9,480,0,1,4,10,480,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000008","90052009","91240000","90203081","0","","","3","2","1","8","20","","(8,7000)","(4,8,6435,0,1,4,5,910,0,1,4,6,1105,0,1,4,7,3120,0,1,4,9,520,0,1,4,10,520,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000009","90052009","91240000","90203081","0","","","3","2","1","9","20","","(8,7500)","(4,8,6930,0,1,4,5,980,0,1,4,6,1190,0,1,4,7,3360,0,1,4,9,560,0,1,4,10,560,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000010","90052009","91240000","90203081","0","","","3","2","1","10","20","","(8,8000)","(4,8,7425,0,1,4,5,1050,0,1,4,6,1275,0,1,4,7,3600,0,1,4,9,600,0,1,4,10,600,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000011","90052009","91240000","90203081","0","","","3","2","1","11","20","","(8,8500)","(4,8,7920,0,1,4,5,1120,0,1,4,6,1360,0,1,4,7,3840,0,1,4,9,640,0,1,4,10,640,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000012","90052009","91240000","90203081","0","","","3","2","1","12","20","","(8,9000)","(4,8,8415,0,1,4,5,1190,0,1,4,6,1445,0,1,4,7,4080,0,1,4,9,680,0,1,4,10,680,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000013","90052009","91240000","90203081","0","","","3","2","1","13","20","","(8,9500)","(4,8,8910,0,1,4,5,1260,0,1,4,6,1530,0,1,4,7,4320,0,1,4,9,720,0,1,4,10,720,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000014","90052009","91240000","90203081","0","","","3","2","1","14","20","","(8,10000)","(4,8,9405,0,1,4,5,1330,0,1,4,6,1615,0,1,4,7,4560,0,1,4,9,760,0,1,4,10,760,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000015","90052009","91240000","90203081","0","","","3","2","1","15","20","","(8,10500)","(4,8,9900,0,1,4,5,1400,0,1,4,6,1700,0,1,4,7,4800,0,1,4,9,800,0,1,4,10,800,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000016","90052009","91240000","90203081","0","","","3","2","1","16","20","","(8,11000)","(4,8,10395,0,1,4,5,1470,0,1,4,6,1785,0,1,4,7,5040,0,1,4,9,840,0,1,4,10,840,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000017","90052009","91240000","90203081","0","","","3","2","1","17","20","","(8,11500)","(4,8,10890,0,1,4,5,1540,0,1,4,6,1870,0,1,4,7,5280,0,1,4,9,880,0,1,4,10,880,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000018","90052009","91240000","90203081","0","","","3","2","1","18","20","","(8,12000)","(4,8,11385,0,1,4,5,1610,0,1,4,6,1955,0,1,4,7,5520,0,1,4,9,920,0,1,4,10,920,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000019","90052009","91240000","90203081","0","","","3","2","1","19","20","","(8,12500)","(4,8,11880,0,1,4,5,1680,0,1,4,6,2040,0,1,4,7,5760,0,1,4,9,960,0,1,4,10,960,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000020","90052009","91240000","90203081","0","","","3","2","1","20","20","","","(4,8,12375,0,1,4,5,1750,0,1,4,6,2125,0,1,4,7,6000,0,1,4,9,1000,0,1,4,10,1000,0,1)","","(31070111,5,31070120,5,31070121,5,31070122,5,31070114,5,31070110,5,31070113,5,31070112,5,31070115,5,31070116,5,31070117,5,31070118,5)",""
"60000100","90052014","91240001","90203082","0","","","3","2","1","0","20","","(8,5500)","(4,8,2725,0,1,4,5,400,0,1,4,6,475,0,1,4,7,1325,0,1,4,9,225,0,1,4,10,225,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000101","90052014","91240001","90203082","0","","","3","2","1","1","20","","(8,6000)","(4,8,3270,0,1,4,5,480,0,1,4,6,570,0,1,4,7,1590,0,1,4,9,270,0,1,4,10,270,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000102","90052014","91240001","90203082","0","","","3","2","1","2","20","","(8,6500)","(4,8,3815,0,1,4,5,560,0,1,4,6,665,0,1,4,7,1855,0,1,4,9,315,0,1,4,10,315,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000103","90052014","91240001","90203082","0","","","3","2","1","3","20","","(8,7000)","(4,8,4360,0,1,4,5,640,0,1,4,6,760,0,1,4,7,2120,0,1,4,9,360,0,1,4,10,360,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000104","90052014","91240001","90203082","0","","","3","2","1","4","20","","(8,7500)","(4,8,4905,0,1,4,5,720,0,1,4,6,855,0,1,4,7,2385,0,1,4,9,405,0,1,4,10,405,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000105","90052014","91240001","90203082","0","","","3","2","1","5","20","","(8,8000)","(4,8,5450,0,1,4,5,800,0,1,4,6,950,0,1,4,7,2650,0,1,4,9,450,0,1,4,10,450,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000106","90052014","91240001","90203082","0","","","3","2","1","6","20","","(8,8500)","(4,8,5995,0,1,4,5,880,0,1,4,6,1045,0,1,4,7,2915,0,1,4,9,495,0,1,4,10,495,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000107","90052014","91240001","90203082","0","","","3","2","1","7","20","","(8,9000)","(4,8,6540,0,1,4,5,960,0,1,4,6,1140,0,1,4,7,3180,0,1,4,9,540,0,1,4,10,540,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000108","90052014","91240001","90203082","0","","","3","2","1","8","20","","(8,9500)","(4,8,7085,0,1,4,5,1040,0,1,4,6,1235,0,1,4,7,3445,0,1,4,9,585,0,1,4,10,585,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
"60000109","90052014","91240001","90203082","0","","","3","2","1","9","20","","(8,10000)","(4,8,7630,0,1,4,5,1120,0,1,4,6,1330,0,1,4,7,3710,0,1,4,9,630,0,1,4,10,630,0,1)","","(31070123,10,31070124,10,31070125,10,31070126,10,31070128,10,31070129,10,31070130,10,31070131,10,31070127,10)",""
