"AttributeId","ActivityType","TipStringID","RickStringID","ButtonStringID","ResID","GetWayWidgetJumpArray","TaskID","GoodsID","StoreType","IsActivityOpen","MapId"
"146000000","0","90202890","90202826","90200139","91240705","(-1,90200139,92600001,10,-1)","","35020023","","0",""
"146000001","1","90202890","90200608","90200139","91240704","(-1,90200139,92480002,2,-1)","","","","1",""
"146000002","2","90202823","90202824","90202828","91222732","(-1,90200139,92170004,-1,-1)","","","","1",""
"146000003","3","90202823","90202825","90202828","91222733","(-1,90200139,92150005,-1,-1)","","","","1",""
"146000004","4","90202890","90202827","90209258","91240703","(-1,90200139,92520013,-1,-1)","","","","1",""
"146000005","5","","","","","","","","","1",""
"146000006","6","90202890","90202928","90209259","91240703","(-1,90200139,92510001,-1,-1)","15000677","","","0",""
"146000007","7","90202890","90201454","90200139","91240085","(-1,90200139,92600001,0,0)","15000733","35000003","1","0",""
"146000008","8","90202890","90201453","90200139","91240084","(-1,90200139,92600001,0,0)","15000696","35000002","1","0",""
"146000009","9","90202890","90201654","90200139","91260487","(-1,90200139,92520016,-1,-1)","","","","1","71211003"
"146000010","10","90202890","90202594","90200139","91260486","(-1,90200139,92540001,-1,-1)","","","","1","71020004"
"146000011","11","90202890","90203369","90200139","91222826","(-1,90200139,92520017,-1,-1)","","","","0",""
"146000012","12","90305984","90305986","90200139","91290891","(-1,90305679,92710001,50,-1)","15000759","","","1",""
"146000013","13","90202890","90209284","90200139","91240673","(-1,90095026,92380001,0,-1)","15000766","","","1",""
