"AttributeId","UseType","MoneyChange","ItemGet","RoleAttributeChange","UseCD","WidgetJumpArray","SpawnNpcId","TitleGet","BagSendInType","FriendlinessAdd","OtherRecvItemID","LevelUp","FuncLevelLimit","UpgradeProtectInfoArray","ReducePkValue","GetRechargeNum","logic_id","NeedRedTip","EffectiveTime","ExperienceVipLevel","AddMapCount","ExpNum","ChooseItem","MeditationMedicineTime","OnlyUseInSelfServer","AddHeartValue","SummonNpcID","AddMapTimeArr"
"32000001","1","0","0","0","5","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000002","1","0","0","0","5","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000003","1","0","0","0","5","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000004","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000005","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000006","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000007","1","0","0","0","5","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000008","1","0","0","0","5","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000009","3","0","0","0","0","(-1,90090469,92500001,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000010","3","0","0","0","0","(-1,90090496,92180004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000011","0","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000012","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000013","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000014","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000015","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000016","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000017","1","0","0","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000018","2","0","0","(4,1,1,0,1)","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000019","2","0","0","(4,2,1,0,1)","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000020","2","0","0","(4,3,1,0,1)","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000021","2","0","0","(4,4,1,0,1)","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000022","2","0","70980001","0","0","","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000023","3","0","0","0","0","(-1,90095016,92330003,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000024","3","0","0","0","0","(-1,90095016,92330003,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000025","3","0","0","0","0","(-1,90095016,92330003,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000026","3","0","0","0","0","(-1,90095016,92330003,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000027","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000028","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000029","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000030","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000031","3","0","0","0","0","(-1,90090497,92170004,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
"32000032","3","0","0","0","0","(-1,90090497,92150005,-1,-1)","","0","2","0","","0","0","","0","","","","","","","","","","","","",""
