"AttributeId","Type","CurLevel","UpgradeTargetValue","UpgradeCostArray","ItemColor","MaxLevel","WarriorPropertyArray","KnightPropertyArray","WizardPropertyArray","AssassinPropertyArray","NeedTinderOrder","SkillId","NeedStarLevel","RegionArr"
"63000001","0","0","3","(31130420,1)","","6","","","","","1","26020001","1",""
"63000002","0","1","7","(31130421,1)","","6","(4,5,235,0,1,4,6,282,0,1,4,12,94,0,1)","(4,5,235,0,1,4,6,282,0,1,4,12,94,0,1)","(4,5,235,0,1,4,6,282,0,1,4,12,94,0,1)","(4,5,235,0,1,4,6,282,0,1,4,12,94,0,1)","2","26020002","10",""
"63000003","0","2","10","(31130422,1)","","6","(4,5,470,0,1,4,6,564,0,1,4,12,188,0,1)","(4,5,470,0,1,4,6,564,0,1,4,12,188,0,1)","(4,5,470,0,1,4,6,564,0,1,4,12,188,0,1)","(4,5,470,0,1,4,6,564,0,1,4,12,188,0,1)","3","26020003","15",""
"63000004","0","3","12","(31130423,1)","","6","(4,5,822,0,1,4,6,986,0,1,4,12,329,0,1)","(4,5,822,0,1,4,6,986,0,1,4,12,329,0,1)","(4,5,822,0,1,4,6,986,0,1,4,12,329,0,1)","(4,5,822,0,1,4,6,986,0,1,4,12,329,0,1)","4","26020004","15",""
"63000005","0","4","14","(31130424,1)","","6","(4,5,1291,0,1,4,6,1549,0,1,4,12,517,0,1)","(4,5,1291,0,1,4,6,1549,0,1,4,12,517,0,1)","(4,5,1291,0,1,4,6,1549,0,1,4,12,517,0,1)","(4,5,1291,0,1,4,6,1549,0,1,4,12,517,0,1)","5","26020005","20",""
"63000006","0","5","15","(31130425,1)","","6","(4,5,1994,0,1,4,6,2393,0,1,4,12,798,0,1)","(4,5,1994,0,1,4,6,2393,0,1,4,12,798,0,1)","(4,5,1994,0,1,4,6,2393,0,1,4,12,798,0,1)","(4,5,1994,0,1,4,6,2393,0,1,4,12,798,0,1)","6","26020006","20",""
"63000007","0","6","","(31130426,1)","","6","(4,5,2816,0,1,4,6,3379,0,1,4,12,1127,0,1)","(4,5,2816,0,1,4,6,3379,0,1,4,12,1127,0,1)","(4,5,2816,0,1,4,6,3379,0,1,4,12,1127,0,1)","(4,5,2816,0,1,4,6,3379,0,1,4,12,1127,0,1)","7","26020007","25",""
"63000008","1","0","30","(31130427,1)","","6","","","","","8","26020008","25",""
"63000009","1","1","50","(31130428,1)","","6","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","9","26020009","30",""
"63000010","1","2","80","(31130429,1)","","6","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","(4,8,7038,0,1,4,9,251,0,1)","10","26020010","30",""
"63000011","1","3","100","(31130430,1)","","6","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","(4,8,12316,0,1,4,9,438,0,1)","11","26020011","35",""
"63000012","1","4","110","(31130431,1)","","6","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","(4,8,19354,0,1,4,9,689,0,1)","12","26020012","35",""
"63000013","1","5","120","(31130432,1)","","6","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","(4,8,29910,0,1,4,9,1064,0,1)","13","26020013","40",""
"63000014","1","6","","(31130433,1)","","6","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","(4,8,42226,0,1,4,9,1502,0,1)","14","26020014","40",""
"63000015","2","0","30","(31130434,1)","","7","","","","","15","26020015","45",""
"63000016","2","1","100","(31130435,1)","","7","(4,7,1877,0,1,4,11,188,0,1)","(4,7,1877,0,1,4,11,188,0,1)","(4,7,1877,0,1,4,11,188,0,1)","(4,7,1877,0,1,4,11,188,0,1)","16","26020016","45",""
"63000017","2","2","200","(31130436,1)","","7","(4,7,3754,0,1,4,11,376,0,1)","(4,7,3754,0,1,4,11,376,0,1)","(4,7,3754,0,1,4,11,376,0,1)","(4,7,3754,0,1,4,11,376,0,1)","17","26020017","50",""
"63000018","2","3","300","(31130437,1)","","7","(4,7,6100,0,1,4,11,610,0,1)","(4,7,6100,0,1,4,11,610,0,1)","(4,7,6100,0,1,4,11,610,0,1)","(4,7,6100,0,1,4,11,610,0,1)","18","26020018","50",""
"63000019","2","4","500","(31130438,1)","","7","(4,7,8915,0,1,4,11,892,0,1)","(4,7,8915,0,1,4,11,892,0,1)","(4,7,8915,0,1,4,11,892,0,1)","(4,7,8915,0,1,4,11,892,0,1)","19","26020019","60",""
"63000020","2","5","700","(31130439,1)","","7","(4,7,12199,0,1,4,11,1220,0,1)","(4,7,12199,0,1,4,11,1220,0,1)","(4,7,12199,0,1,4,11,1220,0,1)","(4,7,12199,0,1,4,11,1220,0,1)","20","26020020","60",""
"63000021","2","6","900","(31130440,1)","","7","(4,7,15952,0,1,4,11,1596,0,1)","(4,7,15952,0,1,4,11,1596,0,1)","(4,7,15952,0,1,4,11,1596,0,1)","(4,7,15952,0,1,4,11,1596,0,1)","21","26020021","70",""
"63000022","2","7","","(31130441,1)","","7","(4,7,20175,0,1,4,11,2018,0,1)","(4,7,20175,0,1,4,11,2018,0,1)","(4,7,20175,0,1,4,11,2018,0,1)","(4,7,20175,0,1,4,11,2018,0,1)","22","26020022","70",""
"63000023","3","0","1","(31130442,1)","","7","","","","","23","26020023","80",""
"63000024","3","1","2","(31130443,1)","","7","(4,7,1877,0,1,4,9,251,0,1)","(4,7,1877,0,1,4,9,251,0,1)","(4,7,1877,0,1,4,9,251,0,1)","(4,7,1877,0,1,4,9,251,0,1)","24","26020024","80",""
"63000025","3","2","3","(31130484,1)","","8","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","(4,8,3519,0,1,4,9,126,0,1)","25","26020801","90",""
