"AttributeId","NameId","CurrentOrder","CurrentStar","NextGradeStartId","OperateType","MoneyConsume","ItemID","ItemNum","PropertyRaisePercentage","AnimBP","Mesh","SelfAtt","Notice_id"
"62010001","90090619","1","0","62020001","1","(11,200,2,2000)","","0","0","91053402","91053401","(4,8,840,0,1,4,5,70,0,1,4,6,84,0,1,4,7,210,0,1,4,9,28,0,1,4,10,28,0,1)",""
"62010002","90090619","1","1","62020001","1","(11,400,2,4000)","","0","0","91053402","91053401","(4,8,1680,0,1,4,5,140,0,1,4,6,168,0,1,4,7,420,0,1,4,9,56,0,1,4,10,56,0,1)",""
"62010003","90090619","1","2","62020001","1","(11,600,2,6000)","","0","0","91053402","91053401","(4,8,2520,0,1,4,5,210,0,1,4,6,252,0,1,4,7,630,0,1,4,9,84,0,1,4,10,84,0,1)",""
"62010004","90090619","1","3","62020001","1","(11,800,2,8000)","","0","0","91053402","91053401","(4,8,3360,0,1,4,5,280,0,1,4,6,336,0,1,4,7,840,0,1,4,9,112,0,1,4,10,112,0,1)",""
"62010005","90090619","1","4","62020001","1","(11,1000,2,10000)","","0","0","91053402","91053401","(4,8,4200,0,1,4,5,350,0,1,4,6,420,0,1,4,7,1050,0,1,4,9,140,0,1,4,10,140,0,1)",""
"62010006","90090619","1","5","62020001","1","(11,1200,2,12000)","","0","0","91053402","91053401","(4,8,5040,0,1,4,5,420,0,1,4,6,504,0,1,4,7,1260,0,1,4,9,168,0,1,4,10,168,0,1)",""
"62010007","90090619","1","6","62020001","1","(11,1400,2,14000)","","0","0","91053402","91053401","(4,8,5880,0,1,4,5,490,0,1,4,6,588,0,1,4,7,1470,0,1,4,9,196,0,1,4,10,196,0,1)",""
"62010008","90090619","1","7","62020001","1","(11,1600,2,16000)","","0","0","91053402","91053401","(4,8,6720,0,1,4,5,560,0,1,4,6,672,0,1,4,7,1680,0,1,4,9,224,0,1,4,10,224,0,1)",""
"62010009","90090619","1","8","62020001","1","(11,1800,2,18000)","","0","0","91053402","91053401","(4,8,7560,0,1,4,5,630,0,1,4,6,756,0,1,4,7,1890,0,1,4,9,252,0,1,4,10,252,0,1)",""
"62010010","90090619","1","9","62020001","1","(11,2000,2,20000)","","0","0","91053402","91053401","(4,8,8400,0,1,4,5,700,0,1,4,6,840,0,1,4,7,2100,0,1,4,9,280,0,1,4,10,280,0,1)",""
"62010011","90090619","1","10","62020001","2","(11,2200,2,22000)","","0","0","91053402","91053401","(4,8,9240,0,1,4,5,770,0,1,4,6,924,0,1,4,7,2310,0,1,4,9,308,0,1,4,10,308,0,1)",""
"62010012","90090620","2","0","62030001","1","(11,2500,2,25000)","","0","0","91053402","91053416","(4,8,14400,0,1,4,5,1200,0,1,4,6,1440,0,1,4,7,3600,0,1,4,9,480,0,1,4,10,480,0,1,4,23,0.06,0,1)","93000154"
"62010013","90090620","2","1","62030001","1","(11,2800,2,28000)","","0","0","91053402","91053416","(4,8,15840,0,1,4,5,1320,0,1,4,6,1584,0,1,4,7,3960,0,1,4,9,528,0,1,4,10,528,0,1,4,23,0.06,0,1)",""
"62010014","90090620","2","2","62030001","1","(11,3100,2,31000)","","0","0","91053402","91053416","(4,8,17280,0,1,4,5,1440,0,1,4,6,1728,0,1,4,7,4320,0,1,4,9,576,0,1,4,10,576,0,1,4,23,0.06,0,1)",""
"62010015","90090620","2","3","62030001","1","(11,3400,2,34000)","","0","0","91053402","91053416","(4,8,18720,0,1,4,5,1560,0,1,4,6,1872,0,1,4,7,4680,0,1,4,9,624,0,1,4,10,624,0,1,4,23,0.06,0,1)",""
"62010016","90090620","2","4","62030001","1","(11,3700,2,37000)","","0","0","91053402","91053416","(4,8,20160,0,1,4,5,1680,0,1,4,6,2016,0,1,4,7,5040,0,1,4,9,672,0,1,4,10,672,0,1,4,23,0.06,0,1)",""
"62010017","90090620","2","5","62030001","1","(11,4000,2,40000)","","0","0","91053402","91053416","(4,8,21600,0,1,4,5,1800,0,1,4,6,2160,0,1,4,7,5400,0,1,4,9,720,0,1,4,10,720,0,1,4,23,0.06,0,1)",""
"62010018","90090620","2","6","62030001","1","(11,4300,2,43000)","","0","0","91053402","91053416","(4,8,23040,0,1,4,5,1920,0,1,4,6,2304,0,1,4,7,5760,0,1,4,9,768,0,1,4,10,768,0,1,4,23,0.06,0,1)",""
"62010019","90090620","2","7","62030001","1","(11,4600,2,46000)","","0","0","91053402","91053416","(4,8,24480,0,1,4,5,2040,0,1,4,6,2448,0,1,4,7,6120,0,1,4,9,816,0,1,4,10,816,0,1,4,23,0.06,0,1)",""
"62010020","90090620","2","8","62030001","1","(11,4900,2,49000)","","0","0","91053402","91053416","(4,8,25920,0,1,4,5,2160,0,1,4,6,2592,0,1,4,7,6480,0,1,4,9,864,0,1,4,10,864,0,1,4,23,0.06,0,1)",""
"62010021","90090620","2","9","62030001","1","(11,5200,2,52000)","","0","0","91053402","91053416","(4,8,27360,0,1,4,5,2280,0,1,4,6,2736,0,1,4,7,6840,0,1,4,9,912,0,1,4,10,912,0,1,4,23,0.06,0,1)",""
"62010022","90090620","2","10","62030001","2","(11,5500,2,55000)","","0","0","91053402","91053416","(4,8,28800,0,1,4,5,2400,0,1,4,6,2880,0,1,4,7,7200,0,1,4,9,960,0,1,4,10,960,0,1,4,23,0.06,0,1)",""
"62010023","90090621","3","0","62040001","1","(11,6000,2,60000)","","0","0","91053402","91053417","(4,8,34800,0,1,4,5,2900,0,1,4,6,3480,0,1,4,7,8700,0,1,4,9,1160,0,1,4,10,1160,0,1,4,23,0.12,0,1)","93000155"
"62010024","90090621","3","1","62040001","1","(11,6500,2,65000)","","0","0","91053402","91053417","(4,8,36720,0,1,4,5,3060,0,1,4,6,3672,0,1,4,7,9180,0,1,4,9,1224,0,1,4,10,1224,0,1,4,23,0.12,0,1)",""
"62010025","90090621","3","2","62040001","1","(11,7000,2,70000)","","0","0","91053402","91053417","(4,8,38640,0,1,4,5,3220,0,1,4,6,3864,0,1,4,7,9660,0,1,4,9,1288,0,1,4,10,1288,0,1,4,23,0.12,0,1)",""
"62010026","90090621","3","3","62040001","1","(11,7500,2,75000)","","0","0","91053402","91053417","(4,8,40560,0,1,4,5,3380,0,1,4,6,4056,0,1,4,7,10140,0,1,4,9,1352,0,1,4,10,1352,0,1,4,23,0.12,0,1)",""
"62010027","90090621","3","4","62040001","1","(11,8000,2,80000)","","0","0","91053402","91053417","(4,8,42480,0,1,4,5,3540,0,1,4,6,4248,0,1,4,7,10620,0,1,4,9,1416,0,1,4,10,1416,0,1,4,23,0.12,0,1)",""
"62010028","90090621","3","5","62040001","1","(11,8500,2,85000)","","0","0","91053402","91053417","(4,8,44400,0,1,4,5,3700,0,1,4,6,4440,0,1,4,7,11100,0,1,4,9,1480,0,1,4,10,1480,0,1,4,23,0.12,0,1)",""
"62010029","90090621","3","6","62040001","1","(11,9000,2,90000)","","0","0","91053402","91053417","(4,8,46320,0,1,4,5,3860,0,1,4,6,4632,0,1,4,7,11580,0,1,4,9,1544,0,1,4,10,1544,0,1,4,23,0.12,0,1)",""
"62010030","90090621","3","7","62040001","1","(11,9500,2,95000)","","0","0","91053402","91053417","(4,8,48240,0,1,4,5,4020,0,1,4,6,4824,0,1,4,7,12060,0,1,4,9,1608,0,1,4,10,1608,0,1,4,23,0.12,0,1)",""
"62010031","90090621","3","8","62040001","1","(11,10000,2,100000)","","0","0","91053402","91053417","(4,8,50160,0,1,4,5,4180,0,1,4,6,5016,0,1,4,7,12540,0,1,4,9,1672,0,1,4,10,1672,0,1,4,23,0.12,0,1)",""
