"AttributeId","Describe","FetterAttArray","FetterActivateNeedArray","Psyche","PsycheNum","AttArray","SpawnNpcId","ProtectPoint","PokedexTemplateId","WidgetJumpArray"
"61010001","90203299","(4,5,1840,0,1)","(60014000,60010000)","31070111","5","(4,8,520,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010002","90203301","(4,8,10000,0,1)","(60014100,60010200)","31070120","5","(4,5,75,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010003","90203303","(4,9,750,0,1)","(60014200,60012300)","31070121","5","(4,6,90,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010004","90203305","(4,9,590,0,1)","(60012000,60010100)","31070122","5","(4,7,250,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010005","90203307","(4,7,3000,0,1)","(60012100,60012000)","31070114","5","(4,9,40,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010006","90203309","(4,10,420,0,1)","(60012200,60010000)","31070110","5","(4,11,60,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010007","90203311","(4,6,500,0,1)","(60010000,60012000)","31070113","5","(4,10,40,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010008","90203313","(4,7,1250,0,1)","(60010100,60014100)","31070112","5","(4,12,60,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010009","90203315","(4,10,170,0,1)","(60010200,60010000)","31070115","5","(4,8,520,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010010","90203300","(4,6,1840,0,1)","(60014000,60014200)","31070116","5","(4,5,75,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010011","90203302","(4,10,840,0,1)","(60014100,60012200)","31070117","5","(4,6,90,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010012","90203304","(4,7,4500,0,1)","(60014200,60012000)","31070118","5","(4,7,250,0,1)","","10","60000001","(-1,-1,92680001,-1,-1)"
"61010013","90203306","(4,11,1170,0,1)","(60012000,60014000)","31070123","10","(4,8,690,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010014","90203308","(4,8,6000,0,1)","(60012100,60012200)","31070124","10","(4,5,100,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010015","90203310","(4,12,840,0,1)","(60012200,60014200)","31070125","10","(4,6,120,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010016","90203312","(4,8,3000,0,1)","(60010000,60014000)","31070126","10","(4,7,330,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010017","90203314","(4,9,210,0,1)","(60010100,60012100)","31070128","10","(4,9,55,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010018","90203316","(4,5,340,0,1)","(60010200,60012000)","31070129","10","(4,11,80,0,1)","","10","60000002","(-1,-1,92680001,-1,-1)"
"61010019","90209504","(4,8,2500,0,1)","(60010300,60010600)","","10","","","10","","(-1,-1,92680001,-1,-1)"
"61010020","90209505","(4,5,417,0,1)","(60010300,60010500)","","10","","","10","","(-1,-1,92680001,-1,-1)"
"61010021","90209506","(4,6,500,0,1)","(60010400,60010300)","","10","","","10","","(-1,-1,92680001,-1,-1)"
"61010022","90209508","(4,9,250,0,1)","(60010500,60010600)","","10","","","10","","(-1,-1,92680001,-1,-1)"
"61010023","90209510","(4,10,292,0,1)","(60010500,60012400)","","10","","","10","","(-1,-1,92680001,-1,-1)"
"61010024","90209512","(4,7,3000,0,1)","(60012300,60014300)","","10","","","10","","(-1,-1,92680001,-1,-1)"
