"AttributeId"," topic"," answer"," ItemRewardArray","BattleRewardArray"
"144000000","90110000","90111000","100","(15,100)"
"144000001","90110001","90111001","100","(15,100)"
"144000002","90110002","90111002","100","(15,100)"
"144000003","90110003","90111003","100","(15,100)"
"144000004","90110004","90111004","100","(15,100)"
"144000005","90110005","90111005","100","(15,100)"
"144000006","90110006","90111006","100","(15,100)"
"144000007","90110007","90111007","100","(15,100)"
"144000008","90110008","90111008","100","(15,100)"
"144000009","90110009","90111009","100","(15,100)"
"144000010","90110010","90111010","100","(15,100)"
"144000011","90110011","90111011","100","(15,100)"
"144000012","90110012","90111012","100","(15,100)"
"144000013","90110013","90111013","100","(15,100)"
"144000014","90110014","90111014","100","(15,100)"
"144000015","90110015","90111015","100","(15,100)"
"144000016","90110016","90111016","100","(15,100)"
"144000017","90110017","90111017","100","(15,100)"
"144000018","90110018","90111018","100","(15,100)"
"144000019","90110019","90111019","100","(15,100)"
"144000020","90110020","90111020","100","(15,100)"
"144000021","90110021","90111021","100","(15,100)"
"144000022","90110022","90111022","100","(15,100)"
"144000023","90110023","90111023","100","(15,100)"
"144000024","90110024","90111024","100","(15,100)"
"144000025","90110025","90111025","100","(15,100)"
"144000026","90110026","90111026","100","(15,100)"
"144000027","90110027","90111027","100","(15,100)"
"144000028","90110028","90111028","100","(15,100)"
"144000029","90110029","90111029","100","(15,100)"
"144000030","90110030","90111030","100","(15,100)"
"144000031","90110031","90111031","100","(15,100)"
"144000032","90110032","90111032","100","(15,100)"
"144000033","90110033","90111033","100","(15,100)"
"144000034","90110034","90111034","100","(15,100)"
"144000035","90110035","90111035","100","(15,100)"
"144000036","90110036","90111036","100","(15,100)"
"144000037","90110037","90111037","100","(15,100)"
"144000038","90110038","90111038","100","(15,100)"
"144000039","90110039","90111039","100","(15,100)"
"144000040","90110040","90111040","100","(15,100)"
"144000041","90110041","90111041","100","(15,100)"
"144000042","90110042","90111042","100","(15,100)"
"144000043","90110043","90111043","100","(15,100)"
"144000044","90110044","90111044","100","(15,100)"
"144000045","90110045","90111045","100","(15,100)"
"144000046","90110046","90111046","100","(15,100)"
"144000047","90110047","90111047","100","(15,100)"
"144000048","90110048","90111048","100","(15,100)"
"144000049","90110049","90111049","100","(15,100)"
"144000050","90110050","90111050","100","(15,100)"
"144000051","90110051","90111051","100","(15,100)"
"144000052","90110052","90111052","100","(15,100)"
"144000053","90110053","90111053","100","(15,100)"
"144000054","90110054","90111054","100","(15,100)"
"144000055","90110055","90111055","100","(15,100)"
"144000056","90110056","90111056","100","(15,100)"
"144000057","90110057","90111057","100","(15,100)"
"144000058","90110058","90111058","100","(15,100)"
"144000059","90110059","90111059","100","(15,100)"
"144000060","90110060","90111060","100","(15,100)"
"144000061","90110061","90111061","100","(15,100)"
"144000062","90110062","90111062","100","(15,100)"
"144000063","90110063","90111063","100","(15,100)"
"144000064","90110064","90111064","100","(15,100)"
"144000065","90110065","90111065","100","(15,100)"
"144000066","90110066","90111066","100","(15,100)"
"144000067","90110067","90111067","100","(15,100)"
"144000068","90110068","90111068","100","(15,100)"
"144000069","90110069","90111069","100","(15,100)"
"144000070","90110070","90111070","100","(15,100)"
"144000071","90110071","90111071","100","(15,100)"
"144000072","90110072","90111072","100","(15,100)"
"144000073","90110073","90111073","100","(15,100)"
"144000074","90110074","90111074","100","(15,100)"
"144000075","90110075","90111075","100","(15,100)"
"144000076","90110076","90111076","100","(15,100)"
"144000077","90110077","90111077","100","(15,100)"
"144000078","90110078","90111078","100","(15,100)"
"144000079","90110079","90111079","100","(15,100)"
"144000080","90110080","90111080","100","(15,100)"
"144000081","90110081","90111081","100","(15,100)"
"144000082","90110082","90111082","100","(15,100)"
"144000083","90110083","90111083","100","(15,100)"
"144000084","90110084","90111084","100","(15,100)"
"144000085","90110085","90111085","100","(15,100)"
"144000086","90110086","90111086","100","(15,100)"
"144000087","90110087","90111087","100","(15,100)"
"144000088","90110088","90111088","100","(15,100)"
"144000089","90110089","90111089","100","(15,100)"
"144000090","90110090","90111090","100","(15,100)"
"144000091","90110091","90111091","100","(15,100)"
"144000092","90110092","90111092","100","(15,100)"
"144000093","90110093","90111093","100","(15,100)"
"144000094","90110094","90111094","100","(15,100)"
"144000095","90110095","90111095","100","(15,100)"
"144000096","90110096","90111096","100","(15,100)"
"144000097","90110097","90111097","100","(15,100)"
"144000098","90110098","90111098","100","(15,100)"
"144000099","90110099","90111099","100","(15,100)"
"144000100","90110100","90111100","100","(15,100)"
"144000101","90110101","90111101","100","(15,100)"
"144000102","90110102","90111102","100","(15,100)"
"144000103","90110103","90111103","100","(15,100)"
"144000104","90110104","90111104","100","(15,100)"
"144000105","90110105","90111105","100","(15,100)"
"144000106","90110106","90111106","100","(15,100)"
"144000107","90110107","90111107","100","(15,100)"
"144000108","90110108","90111108","100","(15,100)"
"144000109","90110109","90111109","100","(15,100)"
"144000110","90110110","90111110","100","(15,100)"
"144000111","90110111","90111111","100","(15,100)"
"144000112","90110112","90111112","100","(15,100)"
"144000113","90110113","90111113","100","(15,100)"
"144000114","90110114","90111114","100","(15,100)"
"144000115","90110115","90111115","100","(15,100)"
"144000116","90110116","90111116","100","(15,100)"
"144000117","90110117","90111117","100","(15,100)"
"144000118","90110118","90111118","100","(15,100)"
"144000119","90110119","90111119","100","(15,100)"
"144000120","90110120","90111120","100","(15,100)"
"144000121","90110121","90111121","100","(15,100)"
"144000122","90110122","90111122","100","(15,100)"
"144000123","90110123","90111123","100","(15,100)"
"144000124","90110124","90111124","100","(15,100)"
"144000125","90110125","90111125","100","(15,100)"
"144000126","90110126","90111126","100","(15,100)"
"144000127","90110127","90111127","100","(15,100)"
"144000128","90110128","90111128","100","(15,100)"
"144000129","90110129","90111129","100","(15,100)"
"144000130","90110130","90111130","100","(15,100)"
"144000131","90110131","90111131","100","(15,100)"
"144000132","90110132","90111132","100","(15,100)"
"144000133","90110133","90111133","100","(15,100)"
"144000134","90110134","90111134","100","(15,100)"
"144000135","90110135","90111135","100","(15,100)"
"144000136","90110136","90111136","100","(15,100)"
"144000137","90110137","90111137","100","(15,100)"
"144000138","90110138","90111138","100","(15,100)"
"144000139","90110139","90111139","100","(15,100)"
"144000140","90110140","90111140","100","(15,100)"
"144000141","90110141","90111141","100","(15,100)"
"144000142","90110142","90111142","100","(15,100)"
"144000143","90110143","90111143","100","(15,100)"
"144000144","90110144","90111144","100","(15,100)"
"144000145","90110145","90111145","100","(15,100)"
"144000146","90110146","90111146","100","(15,100)"
"144000147","90110147","90111147","100","(15,100)"
"144000148","90110148","90111148","100","(15,100)"
"144000149","90110149","90111149","100","(15,100)"
"144000150","90110150","90111150","100","(15,100)"
"144000151","90110151","90111151","100","(15,100)"
"144000152","90110152","90111152","100","(15,100)"
"144000153","90110153","90111153","100","(15,100)"
"144000154","90110154","90111154","100","(15,100)"
"144000155","90110155","90111155","100","(15,100)"
"144000156","90110156","90111156","100","(15,100)"
"144000157","90110157","90111157","100","(15,100)"
"144000158","90110158","90111158","100","(15,100)"
"144000159","90110159","90111159","100","(15,100)"
"144000160","90110160","90111160","100","(15,100)"
"144000161","90110161","90111161","100","(15,100)"
"144000162","90110162","90111162","100","(15,100)"
"144000163","90110163","90111163","100","(15,100)"
"144000164","90110165","90111165","100","(15,100)"
"144000165","90110166","90111166","100","(15,100)"
"144000166","90110167","90111167","100","(15,100)"
"144000167","90110168","90111168","100","(15,100)"
"144000168","90110169","90111169","100","(15,100)"
"144000169","90110170","90111170","100","(15,100)"
"144000170","90110171","90111171","100","(15,100)"
