"AttributeId","topic","answer","RightAnswer","ItemRewardArray","BattleRewardArray","ItemRewardArray1","BattleRewardArray1"
"151000000","90120000","(90130000,90130001,90130002,90130003)","90111000","(31041036,1)","","(31041035,1)",""
"151000001","90120001","(90130004,90130005,90130006,90130007)","90111001","(31041036,1)","","(31041035,1)",""
"151000002","90120002","(90130008,90130009,90130010,90130011)","90111002","(31041036,1)","","(31041035,1)",""
"151000003","90120003","(90130012,90130013,90130014,90130015)","","(31041036,1)","","(31041035,1)",""
"151000004","90120004","(90130016,90130017,90130018,90130019)","","(31041036,1)","","(31041035,1)",""
"151000005","90120005","(90130020,90130021,90130022,90130023)","","(31041036,1)","","(31041035,1)",""
"151000006","90120006","(90130024,90130025,90130026,90130027)","","(31041036,1)","","(31041035,1)",""
"151000007","90120007","(90130028,90130029,90130030,90130031)","","(31041036,1)","","(31041035,1)",""
"151000008","90120008","(90130032,90130033,90130034,90130035)","","(31041036,1)","","(31041035,1)",""
"151000009","90120009","(90130036,90130037,90130038,90130039)","","(31041036,1)","","(31041035,1)",""
"151000010","90120010","(90130040,90130041,90130042,90130043)","","(31041036,1)","","(31041035,1)",""
"151000011","90120011","(90130044,90130045,90130046,90130047)","","(31041036,1)","","(31041035,1)",""
"151000012","90120012","(90130048,90130049,90130050,90130051)","","(31041036,1)","","(31041035,1)",""
"151000013","90120013","(90130052,90130053,90130054,90130055)","","(31041036,1)","","(31041035,1)",""
"151000014","90120014","(90130056,90130057,90130058,90130059)","","(31041036,1)","","(31041035,1)",""
"151000015","90120015","(90130060,90130061,90130062,90130063)","","(31041036,1)","","(31041035,1)",""
"151000016","90120016","(90130060,90130061,90130066,90130067)","","(31041036,1)","","(31041035,1)",""
"151000017","90120017","(90130068,90130069,90130070,90130071)","","(31041036,1)","","(31041035,1)",""
"151000018","90120018","(90130072,90130073,90130074,90130075)","","(31041036,1)","","(31041035,1)",""
"151000019","90120019","(90130076,90130077,90130078,90130079)","","(31041036,1)","","(31041035,1)",""
"151000020","90120020","(90130080,90130081,90130082,90130083)","","(31041036,1)","","(31041035,1)",""
"151000021","90120021","(90130084,90130085,90130086,90130087)","","(31041036,1)","","(31041035,1)",""
"151000022","90120022","(90130088,90130089,90130090,90130091)","","(31041036,1)","","(31041035,1)",""
"151000023","90120023","(90130092,90130093,90130094,90130095)","","(31041036,1)","","(31041035,1)",""
"151000024","90120024","(90130096,90130097,90130098,90130099)","","(31041036,1)","","(31041035,1)",""
"151000025","90120025","(90130100,90130101,90130102,90130103)","","(31041036,1)","","(31041035,1)",""
"151000026","90120026","(90130104,90130105,90130106,90130107)","","(31041036,1)","","(31041035,1)",""
"151000027","90120027","(90130108,90130109,90130110,90130111)","","(31041036,1)","","(31041035,1)",""
"151000028","90120028","(90130112,90130113,90130114,90130115)","","(31041036,1)","","(31041035,1)",""
"151000029","90120029","(90130116,90130117,90130118,90130119)","","(31041036,1)","","(31041035,1)",""
"151000030","90120030","(90130120,90130121,90130122,90130123)","","(31041036,1)","","(31041035,1)",""
"151000031","90120031","(90130124,90130125,90130126,90130127)","","(31041036,1)","","(31041035,1)",""
"151000032","90120032","(90130128,90130129,90130130,90130131)","","(31041036,1)","","(31041035,1)",""
"151000033","90120033","(90130132,90130133,90130134,90130135)","","(31041036,1)","","(31041035,1)",""
"151000034","90120034","(90130136,90130137,90130138,90130139)","","(31041036,1)","","(31041035,1)",""
"151000035","90120035","(90130140,90130141,90130142,90130143)","","(31041036,1)","","(31041035,1)",""
"151000036","90120036","(90130144,90130145,90130146,90130147)","","(31041036,1)","","(31041035,1)",""
"151000037","90120037","(90130148,90130149,90130150,90130151)","","(31041036,1)","","(31041035,1)",""
"151000038","90120038","(90130152,90130153,90130154,90130155)","","(31041036,1)","","(31041035,1)",""
"151000039","90120039","(90130156,90130157,90130158,90130159)","","(31041036,1)","","(31041035,1)",""
"151000040","90120040","(90130160,90130161,90130162,90130163)","","(31041036,1)","","(31041035,1)",""
"151000041","90120041","(90130164,90130165,90130166,90130167)","","(31041036,1)","","(31041035,1)",""
"151000042","90120042","(90130168,90130169,90130170,90130171)","","(31041036,1)","","(31041035,1)",""
"151000043","90120043","(90130172,90130173,90130174,90130175)","","(31041036,1)","","(31041035,1)",""
"151000044","90120044","(90130176,90130177,90130178,90130179)","","(31041036,1)","","(31041035,1)",""
"151000045","90120045","(90130180,90130181,90130182,90130183)","","(31041036,1)","","(31041035,1)",""
"151000046","90120046","(90130184,90130185,90130186,90130187)","","(31041036,1)","","(31041035,1)",""
"151000047","90120047","(90130188,90130189,90130190,90130191)","","(31041036,1)","","(31041035,1)",""
"151000048","90120048","(90130192,90130193,90130194,90130195)","","(31041036,1)","","(31041035,1)",""
"151000049","90120049","(90130196,90130197,90130198,90130199)","","(31041036,1)","","(31041035,1)",""
"151000050","90120050","(90130200,90130201,90130202,90130203)","","(31041036,1)","","(31041035,1)",""
"151000051","90120051","(90130204,90130205,90130206,90130207)","","(31041036,1)","","(31041035,1)",""
"151000052","90120052","(90130208,90130209,90130210,90130211)","","(31041036,1)","","(31041035,1)",""
"151000053","90120053","(90130212,90130213,90130214,90130215)","","(31041036,1)","","(31041035,1)",""
"151000054","90120054","(90130216,90130217,90130218,90130219)","","(31041036,1)","","(31041035,1)",""
"151000055","90120055","(90130220,90130221,90130222,90130223)","","(31041036,1)","","(31041035,1)",""
"151000056","90120056","(90130224,90130225,90130226,90130227)","","(31041036,1)","","(31041035,1)",""
"151000057","90120057","(90130228,90130229,90130230,90130231)","","(31041036,1)","","(31041035,1)",""
"151000058","90120058","(90130232,90130233,90130234,90130235)","","(31041036,1)","","(31041035,1)",""
"151000059","90120059","(90130236,90130237,90130238,90130239)","","(31041036,1)","","(31041035,1)",""
"151000060","90120060","(90130240,90130241,90130242,90130243)","","(31041036,1)","","(31041035,1)",""
"151000061","90120061","(90130244,90130245,90130246,90130247)","","(31041036,1)","","(31041035,1)",""
"151000062","90120062","(90130248,90130249,90130250,90130251)","","(31041036,1)","","(31041035,1)",""
"151000063","90120063","(90130252,90130253,90130254,90130255)","","(31041036,1)","","(31041035,1)",""
"151000064","90120064","(90130256,90130257,90130258,90130259)","","(31041036,1)","","(31041035,1)",""
"151000065","90120065","(90130260,90130261,90130262,90130263)","","(31041036,1)","","(31041035,1)",""
"151000066","90120066","(90130264,90130265,90130266,90130267)","","(31041036,1)","","(31041035,1)",""
"151000067","90120067","(90130268,90130269,90130270,90130271)","","(31041036,1)","","(31041035,1)",""
"151000068","90120068","(90130272,90130273,90130274,90130275)","","(31041036,1)","","(31041035,1)",""
"151000069","90120069","(90130276,90130277,90130278,90130279)","","(31041036,1)","","(31041035,1)",""
"151000070","90120070","(90130280,90130281,90130282,90130283)","","(31041036,1)","","(31041035,1)",""
"151000071","90120071","(90130284,90130285,90130286,90130287)","","(31041036,1)","","(31041035,1)",""
"151000072","90120072","(90130288,90130289,90130290,90130291)","","(31041036,1)","","(31041035,1)",""
"151000073","90120073","(90130292,90130293,90130294,90130295)","","(31041036,1)","","(31041035,1)",""
"151000074","90120074","(90130296,90130297,90130298,90130299)","","(31041036,1)","","(31041035,1)",""
"151000075","90120075","(90130300,90130301,90130302,90130303)","","(31041036,1)","","(31041035,1)",""
"151000076","90120076","(90130304,90130305,90130306,90130307)","","(31041036,1)","","(31041035,1)",""
"151000077","90120077","(90130308,90130309,90130310,90130311)","","(31041036,1)","","(31041035,1)",""
"151000078","90120078","(90130312,90130313,90130314,90130315)","","(31041036,1)","","(31041035,1)",""
"151000079","90120079","(90130316,90130317,90130318,90130319)","","(31041036,1)","","(31041035,1)",""
"151000080","90120080","(90130320,90130321,90130322,90130323)","","(31041036,1)","","(31041035,1)",""
"151000081","90120081","(90130324,90130325,90130326,90130327)","","(31041036,1)","","(31041035,1)",""
"151000082","90120082","(90130328,90130329,90130330,90130331)","","(31041036,1)","","(31041035,1)",""
"151000083","90120083","(90130332,90130333,90130334,90130335)","","(31041036,1)","","(31041035,1)",""
"151000084","90120084","(90130336,90130337,90130338,90130339)","","(31041036,1)","","(31041035,1)",""
"151000085","90120085","(90130340,90130341,90130342,90130343)","","(31041036,1)","","(31041035,1)",""
"151000086","90120086","(90130344,90130345,90130346,90130347)","","(31041036,1)","","(31041035,1)",""
"151000087","90120087","(90130348,90130349,90130350,90130351)","","(31041036,1)","","(31041035,1)",""
"151000088","90120088","(90130352,90130353,90130354,90130355)","","(31041036,1)","","(31041035,1)",""
"151000089","90120089","(90130356,90130357,90130358,90130359)","","(31041036,1)","","(31041035,1)",""
"151000090","90120090","(90130360,90130361,90130362,90130363)","","(31041036,1)","","(31041035,1)",""
"151000091","90120091","(90130364,90130365,90130366,90130367)","","(31041036,1)","","(31041035,1)",""
"151000092","90120092","(90130368,90130369,90130370,90130371)","","(31041036,1)","","(31041035,1)",""
"151000093","90120093","(90130372,90130373,90130374,90130375)","","(31041036,1)","","(31041035,1)",""
"151000094","90120094","(90130376,90130377,90130378,90130379)","","(31041036,1)","","(31041035,1)",""
"151000095","90120095","(90130380,90130381,90130382,90130383)","","(31041036,1)","","(31041035,1)",""
"151000096","90120096","(90130384,90130385,90130386,90130387)","","(31041036,1)","","(31041035,1)",""
"151000097","90120097","(90130388,90130389,90130390,90130391)","","(31041036,1)","","(31041035,1)",""
"151000098","90120098","(90130392,90130393,90130394,90130395)","","(31041036,1)","","(31041035,1)",""
"151000099","90120099","(90130396,90130397,90130398,90130399)","","(31041036,1)","","(31041035,1)",""
