"AttributeId","Type","SubType","ImgId","DesStrId","IsHidden","RankingType","RankingBossID","RankingRewards"
"129000001","1","0","91232701","90069614","0","-1","0",""
"129000002","1","1","91232702","90069615","0","0","0",""
"129000003","1","2","91232703","90069616","0","9","0",""
"129000004","1","3","91232704","90069617","0","10","0",""
"129000005","1","4","91232705","90069618","0","11","0",""
"129000006","1","5","91232706","90069619","0","12","0",""
"129000007","2","0","91232707","90069620","0","-1","0",""
"129000008","2","1","91232708","90069621","0","1","0",""
"129000009","2","2","91232709","90069622","0","13","0",""
"129000010","2","3","91232710","90069623","0","14","0",""
"129000011","2","4","91232711","90069624","0","15","0",""
"129000012","2","5","91232712","90069625","0","16","0",""
"129000013","3","0","91232713","90069626","0","-1","0",""
"129000014","3","1","91232714","90069627","0","17","0",""
"129000015","3","2","91232715","90069628","0","18","0",""
"129000016","3","3","91232716","90069629","0","19","0",""
"129000017","3","4","91232717","90069630","0","20","0",""
"129000018","3","5","91232718","90069631","0","21","0",""
"129000019","3","6","91232719","90069632","0","22","0",""
"129000020","3","7","91232720","90069633","0","23","0",""
"129000021","3","8","91232721","90069634","0","24","0",""
"129000022","3","9","91232722","90069635","0","25","0",""
"129000023","3","10","91232723","90069636","0","26","0",""
"129000024","4","0","91232724","90069637","0","-1","0",""
"129000025","4","1","91232725","90069638","0","5","0",""
"129000026","4","2","91232726","90069639","1","27","0",""
"129000027","5","0","91232727","90069640","0","-1","0",""
"129000028","5","1","91232728","90069641","0","4","0",""
"129000029","5","2","91232729","90069642","1","28","0",""
"129000030","6","0","91232730","90069643","0","-1","0",""
"129000031","6","1","91232731","90069644","0","54","0",""
"129000032","6","2","91232732","90069645","1","29","0",""
"129000033","14","0","91232404","90069007","0","-1","0",""
"129000034","14","1","91232731","90069644","0","66","0",""
"129000035","7","0","91232733","90069646","0","-1","0",""
"129000036","7","1","91232734","90069647","0","2","0",""
"129000037","7","2","91232735","90069648","0","6","0",""
"129000038","7","3","91232736","90069649","0","30","0",""
"129000039","7","4","91232737","90069650","0","31","0",""
"129000040","7","5","91232738","90069651","0","32","0",""
"129000041","7","6","91232739","90069652","0","33","0",""
"129000042","7","7","91232740","90069653","0","34","0",""
"129000043","7","8","91232741","90069654","1","35","0",""
"129000044","8","0","91232742","90069655","0","-1","0",""
"129000045","8","1","91232743","90069656","0","7","0",""
"129000046","8","2","91232744","90069657","0","3","0",""
"129000047","9","0","91232745","90069658","1","-1","0",""
"129000048","9","1","91232746","90069659","1","55","0",""
"129000049","9","2","91232747","90069660","1","56","0",""
"129000050","9","3","91232748","90069661","1","57","0",""
"129000051","10","0","91232749","90069662","0","-1","0",""
"129000052","10","1","91232750","90069663","0","8","0",""
"129000053","10","2","91232751","90069664","1","36","0",""
"129000054","10","3","91232752","90069665","1","37","0","(1,1,31102017,2,3,31102018,4,6,31102019,7,10,31102020,11,15,31102021,16,20,31102022,21,30,31102023,31,100,31102024£©"
"129000055","10","4","91232753","90069666","1","38","0","(1,1,31102025,2,3,31102026,4,6,31102027,7,10,31102028,11,15,31102029,16,20,31102030,21,30,31102031,31,100,31102032£©"
"129000056","16","0","91232753","90203805","0","-1","0",""
"129000057","16","1","91232753","90203806","0","90","0",""
"129000058","11","0","91232754","90069667","1","-1","0",""
"129000059","11","1","91232755","90069668","1","39","76120000","(1,1,31102001,2,2,31102002,3,3,31102003,4,5,31102004,6,20,31102005£©"
"129000060","11","2","91232756","90069669","1","40","76120001","(1,1,31102001,2,2,31102002,3,3,31102003,4,5,31102004,6,20,31102005£©"
"129000061","11","3","91232757","90069670","1","41","76120002","(1,1,31102001,2,2,31102002,3,3,31102003,4,5,31102004,6,20,31102005£©"
"129000062","11","4","91232758","90069671","1","42","76120003","(1,1,31102006,2,2,31102007,3,3,31102008,4,5,31102009,6,20,31102010£©"
"129000063","11","5","91232759","90069672","1","43","76120004","(1,1,31102006,2,2,31102007,3,3,31102008,4,5,31102009,6,20,31102010£©"
"129000064","11","6","91232760","90069673","1","44","76120005","(1,1,31102006,2,2,31102007,3,3,31102008,4,5,31102009,6,20,31102010£©"
"129000065","11","7","91232761","90069674","1","45","76120006","(1,1,31102006,2,2,31102007,3,3,31102008,4,5,31102009,6,20,31102010£©"
"129000066","12","0","91232762","90069675","1","-1","0",""
"129000067","12","1","91232763","90069676","1","46","76110001","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000068","12","2","91232764","90069677","1","47","76110002","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000069","12","3","91232765","90069678","1","48","76110003","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
"129000070","12","4","91232766","90069679","1","49","76110004","(1,1,31102001,2,3,31102002,4,6,31102003,7,10,31102004,11,15,31102005,16,20,31102006,21,30,31102007,31,100,31102008£©"
