"AttributeId","Name","Describe","ImageID","PaymentType","Type","Price","VipPointBonuse","MoneyGetArray","NewSignID","MonthCardAddTime","FirstRechargeRewardMoneyArray","OfflineItem","IsShowInWidget","SortNum","PriceText","ProductId"
"104000001","90090168","90090177","91260841","1","1","45","450","(3,450)","90200000","30","","31092026","2","1","","104000001"
"104000002","90090169","90090178","91231136","1","2","6","60","(3,60)","0","0","(4,6)","31091048","1","3","","104000002"
"104000003","90090170","90090179","91231137","1","3","30","300","(3,300)","0","0","(4,33)","31091049","1","4","","104000003"
"104000004","90090171","90090180","91231138","1","4","98","980","(3,980)","0","0","(4,120)","31091050","1","5","","104000004"
"104000005","90090172","90090181","91231139","1","5","128","1280","(3,1280)","0","0","(4,168)","31091051","0","6","","104000005"
"104000006","90090173","90090182","91231140","1","6","198","1980","(3,1980)","0","0","(4,280)","31091052","1","7","","104000006"
"104000007","90090174","90090183","91231141","1","7","328","3280","(3,3280)","0","0","(4,528)","31091053","1","8","","104000007"
"104000008","90090175","90090184","91231142","1","8","648","6480","(3,6480)","0","0","(4,1288)","31091054","1","9","","104000008"
"104000009","90090011","90090176","91260842","1","31","128","1280","(3,1280)","90200000","-1","","31091141","2","2","","104000009"
"104000010","90091329","90091329","91222000","1","-1","1","10","(3,10)","0","0","","31091142","0","0","","104000010"
"104000011","90091330","90091330","91222000","1","-1","3","30","(3,30)","0","0","","31091143","0","0","","104000011"
"104000012","90091331","90091331","91222000","1","-1","6","60","(3,60)","0","0","","31091144","0","0","","104000012"
"104000013","","","","1","32","128","1280","(3,0)","0","0","","31091146","0","0","","104000013"
"104000014","","","","1","33","328","3280","(3,0)","0","0","","31091147","0","0","","104000014"
"104000015","","","","1","34","200","2000","(3,0)","0","0","","31091148","0","0","","104000015"
"104000101","90096271","90096280","91260841","2","1","14000","450","(3,450)","90200000","30","","31092028","2","1","","104000101"
"104000102","90090011","90090176","91260842","2","31","35000","1280","(3,1280)","90200000","-1","","31092030","2","2","","104000102"
"104000103","90096272","90096272","91231136","2","2","2500","75","(3,75)","0","0","(4,75)","31091064","1","3","","104000103"
"104000104","90096273","90096273","91231137","2","3","4900","150","(3,150)","0","0","(4,150)","31091065","1","4","","104000104"
"104000105","90096274","90096274","91231138","2","4","7500","250","(3,250)","0","0","(4,250)","31091066","1","5","","104000105"
"104000106","90096275","90096275","91231139","2","5","14000","500","(3,500)","0","0","(4,500)","31091067","1","6","","104000106"
"104000107","90096276","90096276","91231140","2","6","26000","1000","(3,1000)","0","0","(4,1000)","31091068","1","7","","104000107"
"104000108","90096277","90096277","91231141","2","7","39000","1500","(3,1500)","0","0","(4,1500)","31091069","1","8","","104000108"
"104000109","90096278","90096278","91231142","2","8","60000","2500","(3,2500)","0","0","(4,2500)","31091070","1","9","","104000109"
"104000110","90096279","90096279","91231142","2","9","119000","5000","(3,5000)","0","0","(4,5000)","31091071","1","10","","104000110"
"104000131","90091332","90091332","91222000","2","-1","900","20","(3,20)","0","0","","31092031","0","0","","104000131"
"104000132","90091333","90091333","91222000","2","-1","2500","75","(3,75)","0","0","","31092032","0","0","","104000132"
"104000133","90091334","90091334","91222000","2","-1","14000","500","(3,500)","0","0","","31092033","0","0","","104000133"
"104000134","90091335","90091335","91222000","2","-1","26000","1000","(3,1000)","0","0","","31092034","0","0","","104000134"
"104000135","90091336","90091336","91222000","2","-1","50000","2000","(3,2000)","0","0","","31092035","0","0","","104000135"
"104000136","90091337","90091337","91222000","2","-1","75000","3000","(3,3000)","0","0","","31092036","0","0","","104000136"
