"AttributeId","RecycleType","Pos","MasterLevel","ConditionName","ConditionType","ConditionValue","RewardItemArray","WidgetJumpArray"
"154000001","1","1","(1,300)","90209477","1","(1,2)","(1,1000,164000400)",""
"154000002","1","2","(1,300)","90209477","1","(3,2)","(1,1000,164000401)",""
"154000003","1","3","(1,300)","90209477","1","(5,2)","(1,1000,164000402)",""
"154000004","1","4","(2,400)","90209477","1","(1,3)","(1,1000,164000403)",""
"154000005","1","5","(2,400)","90209477","1","(3,3)","(1,1000,164000404)",""
"154000006","1","6","(2,400)","90209477","1","(5,3)","(1,1000,164000405)",""
"154000007","1","7","(3,500)","90209477","1","(1,4)","(1,1000,164000406)",""
"154000008","1","8","(3,500)","90209477","1","(3,4)","(1,1000,164000407)",""
"154000009","1","9","(3,500)","90209477","1","(5,4)","(1,1000,164000408)",""
"154000010","1","10","(4,600)","90209477","1","(1,5)","(1,1000,164000409)",""
"154000011","1","11","(4,600)","90209477","1","(3,5)","(1,1000,164000410)",""
"154000012","1","12","(4,600)","90209477","1","(5,5)","(1,1000,164000411)",""
"154000021","2","1","","90209478","2","(1)","(1,300,164000500,301,600,164000412,601,1000,164000600)",""
"154000022","2","2","","90209478","2","(2)","(1,300,164000501,301,600,164000413,601,1000,164000601)",""
"154000023","2","3","","90209478","2","(3)","(1,300,164000502,301,600,164000414,601,1000,164000602)",""
"154000024","2","4","","90209478","2","(4)","(1,300,164000503,301,600,164000415,601,1000,164000603)",""
"154000025","2","5","","90209478","2","(5)","(1,300,164000504,301,600,164000416,601,1000,164000604)",""
"154000026","2","6","","90209478","2","(6)","(1,300,164000505,301,600,164000417,601,1000,164000605)",""
"154000027","2","7","","90209478","2","(7)","(1,300,164000506,301,600,164000418,601,1000,164000606)",""
"154000028","3","0","","90209479","3","(3)","(1,300,164000507,301,600,164000419,601,1000,164000607)",""
"154000029","3","0","","90209480","4","(3)","(1,300,164000508,301,600,164000420,601,1000,164000608)",""
"154000032","3","71030002","","90209483","7","(3)","(1,300,164000509,301,600,164000421,601,1000,164000609)",""
"154000033","3","0","","90209484","8","(3)","(1,300,164000510,301,600,164000422,601,1000,164000610)",""
"154000034","3","0","","90209485","9","(3)","(1,300,164000511,301,600,164000423,601,1000,164000611)",""
"154000035","3","0","","90209486","10","(3)","(1,300,164000512,301,600,164000424,601,1000,164000612)",""
"154000036","3","0","","90209487","11","(3)","(1,300,164000513,301,600,164000425,601,1000,164000613)",""
"154000037","3","0","","90209488","12","(3)","(1,300,164000514,301,600,164000426,601,1000,164000614)",""
"154000038","4","1","","90209489","13","(3,100)","(1,300,164000515,301,600,164000427,601,1000,164000615)",""
"154000039","4","2","","90209490","13","(3,360)","(1,300,164000516,301,600,164000428,601,1000,164000616)",""
"154000040","4","3","","90209491","13","(3,800)","(1,300,164000517,301,600,164000429,601,1000,164000617)",""
"154000041","5","1","","","14","(200,399)","(1,1000,164000430)",""
"154000042","5","2","","","14","(400,499)","(1,1000,164000431)",""
"154000043","5","3","","","14","(500,999)","(1,1000,164000432)",""
