"AttributeId","Type","SubType","CostMoneyArray","CanGetMoneyArray","CanGetTimes","NoTiceId","LogicID"
"115000001","0","0","(3,100)","(4,100)","10","93000202",""
"115000002","0","0","(3,200)","(4,200)","10","93000202",""
"115000003","0","0","(3,1000)","(4,1000)","10","93000202",""
"115000004","1","0","(3,100)","(4,100)","10","93000203",""
"115000005","1","0","(3,200)","(4,200)","10","93000203",""
"115000006","1","0","(3,1000)","(4,1000)","10","93000203",""
"115000007","2","0","","(4,50)","10","93000202",""
"115000008","0","1","(3,0)","(4,50)","10","93000202","31101061"
"115000009","0","1","(3,0)","(4,100)","10","93000202","31101075"
"115000010","0","1","(3,0)","(4,200)","10","93000202","31101076"
"115000011","1","1","(3,0)","(4,50)","10","93000203","31101062"
"115000012","1","1","(3,0)","(4,100)","10","93000203","31101077"
"115000013","1","1","(3,0)","(4,200)","10","93000203","31101078"
"115000014","1","2","(3,0)","(15,50000)","10","93000203","31090556"
"115000015","1","2","(3,0)","(15,100000)","10","93000203","31090557"
"115000016","1","2","(3,0)","(15,200000)","10","93000203","31090558"
