"AttributeId","ResourceType","ResourcePath","ResourcePriority","IsUnchangeByBuff"
"91000001","1","","",""
"91000002","1","/Game/Effect/New/Materials/M_Touming_3.M_Touming_3","",""
"91000003","1","/Game/Model/Box/UI_Chenghao/UI_JingYan.UI_JingYan","",""
"91000004","1","/Game/Model/Box/UI_Chenghao/UI_JinBi.UI_JinBi","",""
"91000005","1","/Game/Model/Box/UI_Chenghao/UI_ZuanShi.UI_ZuanShi","",""
"91000006","1","/Game/Model/Box/UI_Chenghao/UI_TuJian01.UI_TuJian01","",""
"91000007","1","/Game/Model/Box/UI_Chenghao/UI_TuJian02.UI_TuJian02","",""
"91000008","1","/Game/Model/Box/UI_Chenghao/UI_Chenghao.UI_Chenghao","",""
"91000009","1","/Game/Model/Box/UI_Chenghao/AB_UIChengHao.AB_UIChengHao_C","",""
"91000010","1","/Game/Model/Box/UI_Chenghao/UI_TuJian03.UI_TuJian03","",""
"91000011","1","/Game/Model/Box/UI_Chenghao/UI_Chenghao_Pvp.UI_Chenghao_Pvp","",""
"91000012","1","/Game/Model/Box/UI_Chenghao/UI_FuBen.UI_FuBen","",""
"91000013","1","/Game/Model/Box/UI_Chenghao/UI_JingYan2.UI_JingYan2","",""
"91000014","1","/Game/Model/Box/UI_Chenghao/AB_UIChengHao_01.AB_UIChengHao_01_C","",""
"91000015","1","/Game/Model/Box/UI_Chenghao/UI_ShenLingDiaoWen.UI_ShenLingDiaoWen","",""
"91000016","1","/Game/Model/Box/UI_Chenghao/UI_Magicbook.UI_Magicbook","",""
"91000017","1","/Game/Model/Box/UI_Chenghao/UI_Firebook.UI_Firebook","",""
"91011001","1","/Game/Model/Characters/EliteSK/EliteSK_01/Meshes/SM_EliteSK_01.SM_EliteSK_01","",""
"91011002","1","/Game/Model/Characters/EliteSK/Animation/AB_EliteSK.AB_EliteSK_C","",""
"91011003","1","","",""
"91011004","1","/Game/Model/Characters/EliteSK/Animation/AM_EliteSK_Attack.AM_EliteSK_Attack","",""
"91011005","1","","",""
"91011006","1","","",""
"91011007","1","","",""
"91011008","1","","",""
"91011009","1","","",""
"91011010","1","/Game/Model/Characters/EliteSK/Animation/AM_EliteSK_Death.AM_EliteSK_Death","",""
"91011011","1","","",""
"91011012","1","","",""
"91011013","1","/Game/Model/Characters/EliteSK/Animation/AM_EliteSK_Born.AM_EliteSK_Born","",""
"91011014","1","","",""
"91011015","1","","",""
"91011016","1","","",""
"91011017","1","","",""
"91011018","1","","",""
