"AttributeId","RewardType","ChinaMainRegionReward","KRRegionReward","ChinaTWRegionReward","ENRegionReward","THARegionReward","VNRegionReward","JPRegionReward","RUSRegionReward","SGRegionReward"
"164000001","","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)","(31010025,2)"
"164000002","","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)","(31000027,2)"
"164000003","","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)","(31020008,20)"
"164000004","","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)"
"164000005","","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)","(31010139,5)"
"164000006","","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)","(31090543,1)"
"164000007","","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)","(31020008,30)"
"164000008","","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)"
"164000009","","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)","(31100013,1)"
"164000010","","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)","(31090547,1)"
"164000011","","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)","(31010045,10)"
"164000012","","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)"
"164000013","","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)","(31000188,3)"
"164000014","","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)","(31010039,5)"
"164000015","","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)","(31010107,10)"
"164000016","","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)","(31000156,1)"
"164000017","","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)","(31010177,10)"
"164000018","","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)","(31010053,10)"
"164000019","","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)","(31000170,2)"
"164000020","","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)"
"164000021","","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)"
"164000022","","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)"
"164000023","","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)","(31020003,15)"
"164000024","","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)","(31000156,2)"
"164000025","","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)","(31010025,3)"
"164000026","","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)","(31061005,1)"
"164000027","","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)","(31000063,2)"
"164000028","","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)"
"164000029","","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)","(31020363,1,31022563,1,31022803,1,31023043,1)"
"164000030","","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)","(31021803,1,31023523,1,31023763,1,31024003,1)"
"164000031","","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)","(31022043,1,31024483,1,31024723,1,31024963,1)"
"164000032","","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)"
"164000033","","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)","(31020055,5)"
"164000034","","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)","(31020056,5)"
"164000035","","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)","(31101065,1,31101068,1,31101071,1,31101074,1)"
"164000036","","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)","(31000073,20)"
"164000037","","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)"
"164000038","","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)"
"164000039","","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)","(31010060,5)"
"164000040","","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)","(31010060,10)"
"164000041","","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)","(31020003,3)"
"164000042","","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)","(31000130,1)"
"164000043","","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)","(31020004,5)"
"164000044","","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)","(31000131,1)"
"164000045","","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)","(31010107,3)"
"164000046","","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)","(31010107,5)"
"164000047","","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31102501,1)","(31000171,1)","(31000171,1)"
"164000048","","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31000171,1)","(31102506,1)","(31000171,1)","(31000171,1)"
"164000049","","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)","(31000028,5)"
"164000050","","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)","(31000029,5)"
"164000051","","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)","(31102201,1)"
"164000052","","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)","(31102202,1)"
"164000053","","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)","(31091056,1)"
"164000054","","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)","(31061002,1)"
"164000055","","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)","(31061003,1)"
"164000056","","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)","(31061004,1)"
"164000057","","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)","(31000040,5)"
"164000058","","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)","(31102206,1)"
"164000059","","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)","(31000100,1)"
"164000060","","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)","(31102207,1)"
"164000061","","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)","(31102212,1)"
"164000062","","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)","(31000164,1)"
"164000063","","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)","(31020005,2)"
"164000064","","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)","(31000162,1)"
"164000065","","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)","(31020105,1,31020165,1,31020225,1,31020285,1)"
"164000066","","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)","(31000127,1)"
"164000067","","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)","(31102204,1)"
"164000068","","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)","(31102504,1)"
"164000069","","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)","(31000163,2)"
"164000070","","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)","(31102209,1)"
"164000071","","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)","(31090038,1)"
"164000072","","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)","(31101128,1)"
"164000073","","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)","(31090033,1)"
"164000100","","(70993620)","(70993620)","(70993620)","(70993620)","(70993620)","(70993620)","(70993620)","(70993620)","(70993620)"
"164000101","","(70993621)","(70993621)","(70993621)","(70993621)","(70993621)","(70993621)","(70993621)","(70993621)","(70993621)"
"164000102","","(70993622)","(70993622)","(70993622)","(70993622)","(70993622)","(70993622)","(70993622)","(70993622)","(70993622)"
"164000103","","(70993623)","(70993623)","(70993623)","(70993623)","(70993623)","(70993623)","(70993623)","(70993623)","(70993623)"
"164000104","","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)"
"164000105","","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)"
"164000106","","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)","(70993624)"
"164000107","","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)"
"164000108","","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)"
"164000109","","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)"
"164000110","","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)","(70993625)"
"164000111","","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)"
"164000112","","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)"
"164000113","","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)","(70993626)"
"164000114","","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)"
"164000115","","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)","(70993627)"
"164000116","","(70993628)","(70993628)","(70993628)","(70993628)","(70993628)","(70993628)","(70993628)","(70993628)","(70993628)"
"164000117","","(70993629)","(70993629)","(70993629)","(70993629)","(70993629)","(70993629)","(70993629)","(70993629)","(70993629)"
"164000118","","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)","(31010139,500)"
"164000119","","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)"
"164000120","","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)","(31010139,400)"
"164000121","","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)"
"164000122","","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)","(31010139,300)"
