"AttributeId","Type","Experiencerewardfactor","Coinrewards","LowScore","HighScore","ItemRewards"
"113000001","0","1","1","0","50","(31020008,5)"
"113000002","0","50","25","50","250","(31020008,7)"
"113000003","0","100","50","250","500","(31020008,9)"
"113000004","0","150","75","500","750","(31020008,11)"
"113000005","0","200","100","750","1000","(31020008,13)"
"113000006","0","250","125","1000","1250","(31020008,15)"
"113000007","0","300","150","1250","1500","(31020008,17)"
"113000008","0","350","175","1500","1750","(31020008,19)"
"113000009","0","400","200","1750","2000","(31020008,20)"
"113000010","0","450","225","2000","2250","(31020008,21)"
"113000011","0","500","250","2250","2500","(31020008,22)"
"113000012","0","550","275","2500","2750","(31020008,23)"
"113000013","0","600","300","2750","3000","(31020008,24)"
"113000014","0","650","325","3000","999999999","(31020008,25)"
"113001001","1","1","1","0","50","(31010102,10)"
"113001002","1","50","25","50","250","(31010102,12)"
"113001003","1","100","50","250","500","(31010102,14)"
"113001004","1","150","75","500","750","(31010102,16)"
"113001005","1","200","100","750","1000","(31010102,18)"
"113001006","1","250","125","1000","1250","(31010102,20)"
"113001007","1","300","150","1250","1500","(31010102,22)"
"113001008","1","350","175","1500","1750","(31010102,24)"
"113001009","1","400","200","1750","2000","(31010102,25)"
"113001010","1","450","225","2000","2250","(31010102,26)"
"113001011","1","500","250","2250","2500","(31010102,27)"
"113001012","1","550","275","2500","2750","(31010102,28)"
"113001013","1","600","300","2750","3000","(31010102,29)"
"113001014","1","650","325","3000","999999999","(31010102,30)"
"113002001","2","0","0","0","50",""
"113002002","2","0","0","50","250","(31010054,2)"
"113002003","2","0","0","250","500","(31020004,5)"
"113002004","2","0","0","500","750","(31010060,3)"
"113002005","2","0","0","750","1000","(31020007,6)"
"113002006","2","0","0","1000","1250","(31020003,1)"
"113002007","2","0","0","1250","1500","(31020008,5)"
"113002008","2","0","0","1500","1750","(31061001,2)"
"113002009","2","0","0","1750","2000","(31010039,1)"
"113002010","2","0","0","2000","2250","(31010045,5)"
"113002011","2","0","0","2250","2500","(31020001,3)"
"113002012","2","0","0","2500","2750","(31010053,5)"
"113002013","2","0","0","2750","3000","(31020003,3)"
"113002014","2","0","0","3000","999999999","(31010004,10)"
"113004001","4","0","0","0","100000",""
"113004002","4","0","0","100000","300000","(31010054,2)"
"113004003","4","0","0","300000","800000","(31020004,5)"
"113004004","4","0","0","800000","1500000","(31010060,3)"
"113004005","4","0","0","1500000","3000000","(31020007,6)"
"113004006","4","0","0","3000000","5000000","(31020003,1)"
"113004007","4","0","0","5000000","8000000","(31020008,5)"
"113004008","4","0","0","8000000","13000000","(31061001,2)"
"113004009","4","0","0","13000000","20000000","(31010039,1)"
"113004010","4","0","0","20000000","30000000","(31010045,5)"
"113004011","4","0","0","30000000","50000000","(31020001,3)"
"113004012","4","0","0","50000000","80000000","(31010053,5)"
"113004013","4","0","0","80000000","150000000","(31020003,3)"
"113004014","4","0","0","150000000","99999999999","(31010004,10)"
"113005001","6","0","0","0","100000",""
"113005002","6","0","0","100000","300000","(31010054,2)"
"113005003","6","0","0","300000","800000","(31020004,5)"
"113005004","6","0","0","800000","1500000","(31010060,3)"
"113005005","6","0","0","1500000","3000000","(31020007,6)"
"113005006","6","0","0","3000000","5000000","(31020003,1)"
"113005007","6","0","0","5000000","8000000","(31020008,5)"
"113005008","6","0","0","8000000","13000000","(31061001,2)"
"113005009","6","0","0","13000000","20000000","(31010039,1)"
"113005010","6","0","0","20000000","30000000","(31010045,5)"
"113005011","6","0","0","30000000","50000000","(31020001,3)"
"113005012","6","0","0","50000000","80000000","(31010053,5)"
"113005013","6","0","0","80000000","150000000","(31020003,3)"
"113005014","6","0","0","150000000","99999999999","(31010004,10)"
"113007001","7","0","100","0","5","(31010139,10,31000109,2)"
"113007002","7","0","120","5","10","(31010139,12,31000109,2)"
"113007003","7","0","140","10","20","(31010139,14,31000109,2)"
"113007004","7","0","160","20","30","(31010139,16,31000109,2)"
"113007005","7","0","180","30","50","(31010139,18,31000109,2)"
"113007006","7","0","200","50","80","(31010139,20,31000109,2)"
"113007007","7","0","220","80","120","(31010139,22,31000109,2)"
"113007008","7","0","240","120","160","(31010139,24,31000109,2)"
"113007009","7","0","260","160","200","(31010139,26,31000109,2)"
"113007010","7","0","280","200","250","(31010139,28,31000109,2)"
"113007011","7","0","300","250","300","(31010139,30,31000109,2)"
"113007012","7","0","320","300","350","(31010139,32,31000109,2)"
"113007013","7","0","340","350","400","(31010139,34,31000109,2)"
"113007014","7","0","360","400","450","(31010139,36,31000109,2)"
"113007015","7","0","380","450","500","(31010139,38,31000109,2)"
"113007016","7","0","400","500","999999999","(31010139,40,31000109,2)"
"113008001","3","0","0","0","1",""
"113008002","3","0","0","1","2","(31010168,1)"
"113008003","3","0","0","2","3","(31010168,2)"
"113008004","3","0","0","3","4","(31010168,3)"
"113008005","3","0","0","4","5","(31010168,4)"
"113008006","3","0","0","5","6","(31010168,5)"
"113008007","3","0","0","6","7","(31010168,6)"
"113008008","3","0","0","7","8","(31010168,7)"
"113008009","3","0","0","8","9","(31010168,8)"
"113008010","3","0","0","9","10","(31010168,9)"
"113008011","3","0","0","10","11","(31010168,10)"
"113008012","3","0","0","11","12","(31010168,11)"
"113008013","3","0","0","12","13","(31010168,12)"
"113008014","3","0","0","13","14","(31010168,13)"
"113011001","11","0","0","0","100000",""
"113011002","11","0","0","100000","300000","(31010054,2)"
"113011003","11","0","0","300000","800000","(31020004,5)"
"113011004","11","0","0","800000","1500000","(31010060,3)"
"113011005","11","0","0","1500000","3000000","(31020007,6)"
"113011006","11","0","0","3000000","5000000","(31020003,1)"
"113011007","11","0","0","5000000","8000000","(31020008,5)"
"113011008","11","0","0","8000000","13000000","(31061001,2)"
"113011009","11","0","0","13000000","20000000","(31010039,1)"
"113011010","11","0","0","20000000","30000000","(31010045,5)"
"113011011","11","0","0","30000000","50000000","(31020001,3)"
"113011012","11","0","0","50000000","80000000","(31010053,5)"
"113011013","11","0","0","80000000","150000000","(31020003,3)"
"113011014","11","0","0","150000000","99999999999","(31010004,10)"
