"AttributeId","WarriorEquipment","MasterEquipment","KnightEquipment","AssassinEquipment","ApplyItem","ApplyMoney","VipApplyItem"
"125000002","","","","","(31000083,1,99,31020004,30,1998,31000028,70,999,31000029,10,1998,31130408,8,1998,31000087,2,99,31130420,1,1,31130421,1,1,31130422,1,1,31130424,1,1)","(2,100000,99999999,6,10000,99999999,11,6800,99999999,4,990000,99999999)",""
"125000070","(31020102,31020342,31020582,31020822,31021062,31021302,31021542,31021782,31022022)","(31020162,31022543,31020642,31020882,31021122,31021362,31021602,31023503,31024462)","(31020222,31022783,31020702,31020942,31021182,31021422,31021662,31023743,31024702)","(31020282,31023023,31020762,31021002,31021242,31021482,31021722,31023983,31024942)","(31020004,30,1998,31000087,2,99,31000027,2,99,31102201,2,1,31102211,2,1)","(2,250000,99999999,9,1260,99999999,6,30000,99999999)",""
"125000101","(31020103,31020343,31020583,31020823,31021063,31021303,31021543,31021783,31022023)","(31020163,31022544,31020643,31020883,31021123,31021363,31021603,31023503,31024462)","(31020223,31022784,31020703,31020943,31021183,31021423,31021663,31023743,31024702)","(31020283,31023024,31020763,31021003,31021243,31021483,31021723,31023983,31024942)","(31020004,60,1998,31020008,50,1998,31130409,2,1998,31000087,2,99,31060034,1,1)","(2,350000,99999999,9,500,99999999,6,30000,99999999,13,21000,99999999,12,14386,99999999,10,1200,99999999)","(31060050,1,3,31060051,1,4,31020008,50,4)"
"125000130","(31020104,31020344,31020584,31020824,31021064,31021304,31021544,31021784,31022024)","(31020164,31022544,31020644,31020884,31021124,31021364,31021604,31023504,31024463)","(31020224,31022784,31020704,31020944,31021184,31021424,31021664,31023744,31024703)","(31020284,31023024,31020764,31021004,31021244,31021484,31021724,31023984,31024943)","(31000084,1,99,31020004,80,1998,31020003,5,1998,31020008,100,1998,31000040,81,1998,31000041,34,1998,31130408,20,1998,31000087,2,99,31102206,1,1,31000040,75,999,31050004,1,1998,31060035,1,1,31000100,5,99)","(2,300000,99999999)","(31110003,1,1,31110103,1,1)"
"125000160","(31020110,31020350,31020590,31020830,31021070,31021310,31021550,31021790,31022030)","(31020170,31020650,31020890,31021130,31021370,31021610,31022550,31023510,31024470)","(31020230,31020710,31020950,31021190,31021430,31021670,31023750,31023750,31024704)","(31020284,31020770,31021010,31021250,31021490,31021730,31023030,31023990,31024950)","(31020004,100,1998,31020003,10,1998,31020008,70,1998,31000029,15,1998,31000028,70,999,31000027,2,99,31000040,81,1998,31000041,34,1998,31100000,1,1998,31000087,2,99,31000027,6,99,31102203,1,1,31102201,1,1,31102211,1,1,31060053,1,1,31060036,1,1,31102206,2,2)","(2,300000,99999999,9,1260,99999999,13,21000,99999999,11,6000,99999999,4,800,99999999,12,14117,99999999,10,1260,99999999)","(31110004,1,4,31110104,1,4)"
"125000185","(31020351)","(31022551)","(31022791)","(31023031)","(31080097,1,1)","","(31110003,1,1,31110103,1,1,31000040,81,4)"
"125000200","","","","","(31130411,4,1998,31100007,1,1998,31000087,2,99,31000040,110,999,31050006,1,1998,31102211,1,1)","(2,600000,99999999,9,1260,99999999,11,7600,999999999,4,820,99999999,12,14861,99999999,10,1260,99999999)","(31101128,1,4,31110004,1,4,31110104,1,4,31000028,70,4)"
"125000201","(31020116,31020356,31020596,31020836,31021076,31021310,31021556,31021796,31022036)","(31020176,31022550,31020896,31021136,31021376,31021616,31022556,31023516,31024476)","(31020236,31020716,31020956,31021196,31021190,31021430,31022796,31024716,31024716)","(31020296,31020776,31021016,31021256,31021496,31021736,31021730,31023996,31024956)","(31020004,120,1998,31020003,10,1998,31020008,60,1998,31000028,60,1998,31000029,15,1998,31000027,2,99,31000040,81,1998,31000041,34,1998,31130408,30,1998,31000087,2,99,31000027,10,99,31102201,2,2,31102211,2,2,31102206,4,4)","(9,500,99999999,13,38000,99999999,4,990,99999999)","(31110003,2,1,31110103,2,1)"
"125000242","(31020117)","(31020177)","(31020237)","(31020297)","(31100007,1,1)","","(31110004,2,4,31110104,2,4,31110005,1,4,31110105,1,4)"
"125000250","(31020122,31020362,31020602,31020842,31021082,31021322,31021562,31021802,31022030)","(31020182,31022550,31020902,31021142,31021382,31021622,31022562,31023522,31024482)","(31020242,31020722,31020962,31021202,31021442,31021682,31022802,31023762,31024722)","(31020302,31020782,31021022,31021262,31021502,31021742,31023042,31024002,31024962)","(31020004,180,1998,31020003,15,1998,31000087,2,99,31000028,60,1998,31000029,15,1998,31000027,2,99,31000040,70,999,31102201,1,1,31102211,1,1,31102202,2,2,31102212,2,2,31102231,2,2,31102208,2,2,31102211,2,2,31000101,10,10)","(2,250000,99999999,11,7650,99999999,4,860,99999999,12,16618,99999999,9,1260,99999999,10,2800,99999999)",""
"125000280","(31020111,31020351,31020591,31020831,31021071,31021311,31021551,31021791,31022031)","(31020171,31022551,31020651,31020891,31021131,31021371,31021611,31023511,31024471)","(31020231,31022791,31020711,31020951,31021191,31021431,31021671,31023751,31024711)","(31020291,31023031,31020771,31021011,31021251,31021491,31021731,31023991,31024951)","(31130413,10,1998,31000087,4,99,31000028,150,1998,31000029,15,1998,31000027,6,99,31000040,210,999,31102201,8,8,31102211,2,2,31102212,2,2,31102202,4,4,31102208,8,8)","(2,750000,99999999,6,210000,99999999,11,8650,99999999,4,2100,99999999,12,46015,99999999,9,3780,99999999)","(31050006,1,3,31050008,1,4)"
"125000301","","","","","(31020004,225,1998,31020003,23,1998,31020008,130,1998,31000028,240,1998,31000029,60,1998,31000040,258,1998,31000041,90,1998,31000087,4,99)","(2,750000,99999999,13,60000,99999999,4,500,99999999,10,3500,99999999)",""
"125000400","","","","","(31130408,30,1998,31000087,4,99,31000040,490,999)","(2,1500000,99999999,6,310000,99999999,11,9350,99999999,4,500,99999999,12,121822,99999999)",""
"125000401","(31020116,31020356,31020596,31020836,31021076,31021316,31021556,31021796,31022036)","(31020176,31022556,31020656,31020896,31021136,31021376,31021616,31023516,31024476)","(31020236,31022796,31020716,31020956,31021196,31021436,31021676,31023756,31024716)","(31020296,31023036,31020776,31021016,31021256,31021496,31021736,31023996,31024956)","(31020004,385,1998,31020003,49,1998,31020008,220,1998,31000028,320,1998,31000029,80,1998,31000040,258,1998,31000041,90,1998,31130415,10,1998,31000087,4,99)","(2,1400000,99999999,9,2500,99999999,13,98000,99999999,4,500,99999999)",""
"125000500","","","","","(31130408,50,1998,31000087,4,99,31000040,1050,1998)","(2,3000000,99999999,6,460000,99999999,11,11050,99999999,4,500,99999999,12,164788,99999999)",""
"125000501","(31020116,31020356,31020596,31020836,31021076,31021316,31021556,31021796,31022036)","(31020176,31022556,31020656,31020896,31021136,31021376,31021616,31023516,31024476)","(31020236,31022796,31020716,31020956,31021196,31021436,31021676,31023756,31024716)","(31020296,31023036,31020776,31021016,31021256,31021496,31021736,31023996,31024956)","(31020004,810,1998,31020003,108,1998,31020008,300,1998,31000028,400,1998,31000029,100,1998,31000040,826,1998,31000041,510,1998,31130417,30,1998,31000087,4,99)","(2,1100000,99999999,9,3500,99999999,12,140000,999999999,13,156000,99999999,4,500,99999999)",""
"125000600","","","","","(31130408,60,1998,31000087,4,99)","",""
"125000601","(31020122,31020362,31020602,31020842,31021082,31021322,31021562,31021802,31022042)","(31020182,31022562,31020662,31020902,31021142,31021382,31021622,31023522,31024482)","(31020242,31022802,31020722,31020962,31021202,31021442,31021682,31023762,31024722)","(31020302,31023042,31020782,31021022,31021262,31021502,31021742,31024002,31024962)","(31020008,430,1998,31000028,500,1998,31000029,125,1998,31000040,826,1998,31000041,510,1998,31130419,30,1998,31000087,4,99)","",""
"125000700","","","","","","",""
"125000701","(31020128,31020368,31020608,31020848,31021088,31021328,31021568,31021808,31022048)","(31020182,31022562,31020662,31020902,31021142,31021382,31021622,31023522,31024482)","(31020242,31022802,31020722,31020962,31021202,31021442,31021682,31023762,31024722)","(31020302,31023042,31020782,31021022,31021262,31021502,31021742,31024002,31024962)","","",""
"125000800","","","","","","",""
"125000801","(31020134,31020374,31020614,31020854,31021094,31021334,31021574,31021814,31022054)","(31020188,31022568,31020668,31020908,31021148,31021388,31021628,31023528,31024488)","(31020248,31022808,31020728,31020968,31021208,31021448,31021688,31023768,31024728)","(31020308,31023048,31020788,31021028,31021268,31021508,31021748,31024008,31024968)","","",""
"125000900","","","","","","",""
"125000901","(31020137,31020380,31020620,31020860,31021100,31021340,31021580,31021820,31022060)","(31020188,31022568,31020668,31020908,31021148,31021388,31021628,31023528,31024488)","(31020248,31022808,31020728,31020968,31021208,31021448,31021688,31023768,31024728)","(31020308,31023048,31020788,31021028,31021268,31021508,31021748,31024008,31024968)","","",""
