"AttributeId","TalkType","Talklimit","InitiativeTalk","PassiveTalk","FrontActivityTalk","BackActivityTalk"
"130000000","11","50","(90062001,90062002,90062003,90062006,90062301,90062302,90062303,90062306,90062601,90062602,90062603,90062606,90062901,90062902,90062903,90062906,90063201,90063202,90063203,90063206,90063501,90063502,90063503,90063506,90063801,90063802,90063803,90063806)","(90064101,90064102,90064103,90064106,90064401,90064402,90064403,90064406,90064701,90064702,90064703,90064706,90065001,90065002,90065003,90065006,90065301,90065302,90065303,90065306,90065601,90065602,90065603,90065606,90065901,90065902,90065903,90065906)","(90062058,90062059,90062060,90062061,90062062)","(90062063,90062064,90062065,90062066,90062067)"
"130000001","-1","50","(90062007,90062008,90062009,90062010,90062307,90062308,90062309,90062310,90062607,90062608,90062609,90062610,90062907,90062908,90062909,90062910,90063207,90063208,90063209,90063210,90063507,90063508,90063509,90063510,90063807,90063808,90063809,90063810)","(90064107,90064108,90064109,90064110,90064407,90064408,90064409,90064410,90064707,90064708,90064709,90064710,90065007,90065008,90065009,90065010,90065307,90065308,90065309,90065310,90065607,90065608,90065609,90065610,90065907,90065908,90065909,90065910)","",""
"130000002","-1","50","(90062011,90062012,90062013,90062014,90062311,90062312,90062313,90062314,90062611,90062612,90062613,90062614,90062911,90062912,90062913,90062914,90063211,90063212,90063213,90063214,90063511,90063512,90063513,90063514,90063811,90063812,90063813,90063814)","","",""
"130000003","8","50","(90062015,90062016,90062017,90062018,90062315,90062316,90062317,90062318,90062615,90062616,90062617,90062618,90062915,90062916,90062917,90062918,90063215,90063216,90063217,90063218,90063515,90063516,90063517,90063518,90063815,90063816,90063817,90063818)","(90064115,90064116,90064117,90064118,90064415,90064416,90064417,90064418,90064715,90064716,90064717,90064718,90065015,90065016,90065017,90065018,90065315,90065316,90065317,90065318,90065615,90065616,90065617,90065618,90065915,90065916,90065917,90065918)","(90062068,90062069,90062070,90062071,90062072)","(90062073,90062074,90062075,90062076,90062077)"
"130000004","-1","50","(90062019,90062020,90062021,90062022,90062319,90062320,90062321,90062322,90062619,90062620,90062621,90062622,90062919,90062920,90062921,90062922,90063219,90063220,90063221,90063222,90063519,90063520,90063521,90063522,90063819,90063820,90063821,90063822)","(90064119,90064120,90064121,90064122,90064419,90064420,90064421,90064422,90064719,90064720,90064721,90064722,90065019,90065020,90065021,90065022,90065319,90065320,90065321,90065322,90065619,90065620,90065621,90065622,90065919,90065920,90065921,90065922)","",""
"130000005","-1","50","(90062023,90062024,90062025,90062026,90062323,90062324,90062325,90062326,90062623,90062624,90062625,90062626,90062923,90062924,90062925,90062926,90063223,90063224,90063225,90063226,90063523,90063524,90063525,90063526,90063823,90063824,90063825,90063826)","(90064123,90064124,90064125,90064126,90064423,90064424,90064425,90064426,90064723,90064724,90064725,90064726,90065023,90065024,90065025,90065026,90065323,90065324,90065325,90065326,90065623,90065624,90065625,90065626,90065923,90065924,90065925,90065926)","",""
"130000006","-1","50","(90062027,90062028,90062029,90062030,90062327,90062328,90062329,90062330,90062627,90062628,90062629,90062630,90062927,90062928,90062929,90062930,90063227,90063228,90063229,90063230,90063527,90063528,90063529,90063530,90063827,90063828,90063829,90063830)","(90064127,90064128,90064129,90064130,90064427,90064428,90064429,90064430,90064727,90064728,90064729,90064730,90065027,90065028,90065029,90065030,90065327,90065328,90065329,90065330,90065627,90065628,90065629,90065630,90065927,90065928,90065929,90065930)","",""
"130000007","-1","50","(90062031,90062032,90062033,90062034,90062331,90062332,90062333,90062334,90062631,90062632,90062633,90062634,90062931,90062932,90062933,90062934,90063231,90063232,90063233,90063234,90063531,90063532,90063533,90063534,90063831,90063832,90063833,90063834)","(90064131,90064132,90064133,90064134,90064431,90064432,90064433,90064434,90064731,90064732,90064733,90064734,90065031,90065032,90065033,90065034,90065331,90065332,90065333,90065334,90065631,90065632,90065633,90065634,90065931,90065932,90065933,90065934)","",""
"130000008","-1","50","(90062035,90062036,90062037,90062038,90062335,90062336,90062337,90062338,90062635,90062636,90062637,90062638,90062935,90062936,90062937,90062938,90063235,90063236,90063237,90063238,90063535,90063536,90063537,90063538,90063835,90063836,90063837,90063838)","(90064135,90064136,90064137,90064138,90064435,90064436,90064437,90064438,90064735,90064736,90064737,90064738,90065035,90065036,90065037,90065038,90065335,90065336,90065337,90065338,90065635,90065636,90065637,90065638,90065935,90065936,90065937,90065938)","",""
"130000009","-1","50","(90062039,90062040,90062041,90062042,90062341,90063542)","","",""
