"AttributeId","CurText","CurItem","AlreadyItem","Shall","UpgradeMoney","SearchExp"
"171000001","90308129","(31080003,10.2,31080002,5)","","(31080085,90308159,31000040,90308160,31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,100000)","0"
"171000002","90308130","(31080002,10.2,31080003,5,31080085,18)","(31080085,90308128)","(31000040,90308160,31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,210000)","0"
"171000003","90308131","(31080003,10.2,31080031,5,31041073,18)","(31080085,90308128)","(31000040,90308160,31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,584000)","0"
"171000004","90308132","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128)","(31000040,90308160,31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,1297900)","0"
"171000005","90308133","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128)","(31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,2442560)","0"
"171000006","90308134","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128)","(31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,4126275)","0"
"171000007","90308135","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128)","(31000105,90308161,31000106,90308162,31020001,90308163,31080070,90308164)","(2,6477619)","0"
"171000008","90308136","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128)","(31000106,90308162,31020001,90308163,31080070,90308164)","(2,9648713)","0"
"171000009","90308137","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128)","(31000106,90308162,31020001,90308163,31080070,90308164)","(2,13818968)","0"
"171000010","90308138","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128)","(31020001,90308163,31080070,90308164)","(2,19199376)","0"
"171000011","90308139","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128)","(31020001,90308163,31080070,90308164)","(2,26037424)","0"
"171000012","90308140","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128)","(31020001,90308163,31080070,90308164)","(2,34622712)","0"
"171000013","90308141","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128)","(31020001,90308163,31080070,90308164)","(2,45293368)","0"
"171000014","90308142","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128)","(31020001,90308163,31080070,90308164)","(2,58443383)","0"
"171000015","90308143","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128)","(31080070,90308164)","(2,74530967)","0"
"171000016","90308144","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128)","(31080070,90308164)","(2,94088083)","0"
"171000017","90308145","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128)","(31080070,90308164)","(2,117731308)","0"
"171000018","90308146","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128)","(31080070,90308164)","(2,146174191)","0"
"171000019","90308147","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128)","(31080070,90308164)","(2,180241320)","0"
"171000020","90308148","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,220884316)","0"
"171000021","90308149","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,269199997)","0"
"171000022","90308150","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,326451022)","0"
"171000023","90308151","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,394089307)","0"
"171000024","90308152","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,473782598)","0"
"171000025","90308153","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,567444602)","0"
"171000026","90308154","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,677269121)","0"
"171000027","90308155","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,805768733)","0"
"171000028","90308156","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,955818576)","0"
"171000029","90308157","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,1130705899)","0"
"171000030","90308158","(31080031,10.2,31080032,5,31041073,18)","(31080085,90308128,31000040,90308128,31000105,90308128,31000106,90308128,31020001,90308128,31080070,90308128)","","(2,0)","0"
