"AttributeId","ActiveName","ActiveType","ConditionType","ConditionValue","TheData","NoticeId","RewardMoneyArray","RewardItemArray","WidgetJumpArray"
"123000029","90095032","1","10","(9,3,5)","1","","","164000001",""
"123000030","90095033","1","5","(55,3,0)","1","","","164000002",""
"123000031","90095034","1","4","(9,20,0)","1","","","164000003",""
"123000032","90095035","1","1","(1500000,0,0)","1","","","164000004",""
"123000033","90095036","1","11","(1000,0,0)","2","","","164000005",""
"123000034","90095037","1","6","(6,0,0)","2","","","164000006",""
"123000035","90095038","1","4","(1,50,0)","2","","","164000007",""
"123000036","90095039","1","0","(310,0,0)","2","","","164000008",""
"123000037","90095040","1","7","(20,0,0)","4","","","164000009",""
"123000038","90095041","1","18","(22,0,0)","4","","","164000010",""
"123000039","90095042","1","12","(31,0,0)","4","","","164000011",""
"123000040","90095043","1","1","(2500000,0,0)","4","","","164000012",""
"123000041","90095044","1","8","(3000,0,0)","3","","","164000013",""
"123000042","90095045","1","17","(4,0,0)","3","","","164000014",""
"123000043","90095046","1","21","(100,0,0)","3","","","164000015",""
"123000044","90095047","1","0","(325,0,0)","3","","","164000016",""
"123000045","90095048","1","14","(8,0,0)","5","","","164000017",""
"123000046","90095049","1","23","(3,0,0)","5","","","164000018",""
"123000047","90095050","1","22","(7,0,0)","5","","","164000019",""
"123000048","90095051","1","1","(3500000,0,0)","5","","","164000020",""
"123000049","90095052","1","16","(50,0,0)","6","","","164000021",""
"123000050","90095053","1","19","(200,0,0)","6","","","164000022",""
"123000051","90095054","1","3","(9,11,0)","6","","","164000023",""
"123000052","90095055","1","0","(340,0,0)","6","","","164000024",""
"123000053","90095056","1","10","(9,4,6)","7","","","164000025",""
"123000054","90095057","1","20","(3,6,0)","7","","","164000026",""
"123000055","90095058","1","3","(1,13,0)","7","","","164000027",""
"123000056","90095059","1","1","(5000000,0,0)","7","","","164000028",""
"123000064","90095094","1","2","(4,1,1)","1","","","164000029",""
"123000065","90095094","1","2","(4,2,1)","2","","","164000030",""
"123000066","90095094","1","2","(4,4,1)","4","","","164000031",""
"123000067","90095094","1","2","(4,3,1)","3","","","164000032",""
"123000068","90095094","1","2","(4,5,1)","5","","","164000033",""
"123000069","90095094","1","2","(4,6,1)","6","","","164000034",""
"123000070","90095094","1","2","(4,7,1)","7","","","164000035",""
"123000071","0","2","25","(7,8,0)","8","93000169","","164000036",""
"123000072","90096622","3","3","(1,5,0)","1","","","164000037",""
"123000073","90096623","3","3","(9,5,0)","1","","","164000038",""
"123000074","90096624","3","10","(6,1,4)","1","","","164000039",""
"123000075","90096625","3","10","(8,1,4)","1","","","164000040",""
"123000076","90096626","3","10","(3,1,5)","2","","","164000041",""
"123000077","90096627","3","0","(130,0,0)","2","","","164000042",""
"123000078","90096628","3","3","(1,7,0)","2","","","164000043",""
"123000079","90097571","3","29","(8,1,0)","2","","","164000044",""
"123000080","90096630","3","22","(2,0,0)","5","","","164000045",""
"123000081","90096631","3","21","(25,0,0)","5","","","164000046",""
"123000082","90096632","3","21","(30,0,0)","5","","","164000047",""
"123000083","90096633","3","21","(35,0,0)","5","","","164000048",""
"123000084","90096634","3","5","(11,2,0)","4","","","164000049",""
"123000085","90096635","3","5","(16,2,0)","4","","","164000050",""
"123000086","90096636","3","5","(22,2,0)","4","","","164000051",""
"123000087","90096637","3","6","(3,0,0)","4","","","164000052",""
"123000088","90096638","3","16","(18,0,0)","6","","","164000053",""
"123000089","90096639","3","20","(3,4,0)","6","","","164000054",""
"123000090","90096640","3","19","(60,0,0)","6","","","164000055",""
"123000091","90096641","3","19","(70,0,0)","6","","","164000056",""
"123000092","90096642","3","18","(6,0,0)","3","","","164000057",""
"123000093","90096643","3","18","(8,0,0)","3","","","164000058",""
"123000094","90096644","3","18","(10,0,0)","3","","","164000059",""
"123000095","90096645","3","18","(11,0,0)","3","","","164000060",""
"123000096","90096646","3","5","(44,2,0)","7","","","164000061",""
"123000097","90096647","3","10","(5,3,4)","7","","","164000062",""
"123000098","90096648","3","3","(9,7,0)","7","","","164000063",""
"123000099","90096649","3","1","(750000,0,0)","7","","","164000064",""
"123000100","","3","2","(4,1,3)","1","93000074","","164000065",""
"123000101","","3","2","(4,2,3)","2","93000074","","164000066",""
"123000102","","3","2","(4,4,3)","4","93000074","","164000067",""
"123000103","","3","2","(4,5,3)","5","93000074","","164000068",""
"123000104","","3","2","(4,6,3)","6","93000074","","164000069",""
"123000105","","3","2","(4,3,3)","3","93000074","","164000070",""
"123000106","","3","2","(4,7,3)","7","93000074","","164000071",""
"123000107","","2","27","(7,8,0)","8","93000169","","164000072",""
"123000108","0","2","28","(7,8,0)","8","93000169","","164000073",""
