"AttributeId","MoveType","Speed","Acceleration","MaxLength","EffectImmediately","Duration","BeginRadius","EndRadius","Angle","EffectBPName","BornZ","EffectPos","RandomPoint","EffectRotation","CreateOther","HitRepeat","HitNum","AmmoType","AmmoId"
"18000001","0","0","0","0","1","0","100","100","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18000002","2","40","0","24","0","10","5","5","0","91400001","","(0,0,0)","0","(0,0,0)","","0","1","0","0"
"18000003","1","400","10","1000","1","1.5","5","400","0","91400001","","(0,0,0)","0","(0,0,0)","","0","999","1","76000597"
"18000004","0","0","0","0","1","0","100","100","0","0","","(0,0,0)","0","(0,0,0)","","0","999","0","0"
"18000005","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18000006","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18000007","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18000008","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,-20)","","0","4","0","0"
"18000009","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18000010","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18000011","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,-40)","","0","4","0","0"
"18000012","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,30)","","0","4","0","0"
"18000013","1","4000","0","2000","1","0.5","500","500","0","91400003","","(500,500,0)","0","(0,0,0)","","0","4","0","0"
"18010001","1","4000","0","1200","1","0.3","500","500","0","91411001","","(250,250,0)","0","(0,0,0)","","0","999","0","0"
"18010002","1","4000","0","1200","1","0.3","500","500","0","91411001","","(250,250,0)","0","(0,0,0)","","0","999","0","0"
"18011001","1","2000","0","1000","1","0.5","300","300","0","91411002","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18012001","0","0","0","350","1","0.5","350","350","0","91411003","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18012002","0","0","0","450","1","0.5","450","450","0","91411024","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18013001","0","0","0","400","1","0.5","400","400","0","91411004","","(250,250,0)","0","(0,0,0)","","0","4","0","0"
"18014001","0","0","0","400","1","0.5","400","400","0","91411007","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18014002","1","2000","0","400","1","0.2","300","300","0","91411014","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18014011","0","0","0","600","1","0.5","600","600","0","91411008","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18014012","0","0","0","400","1","0.5","400","400","0","91411015","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18014021","0","0","0","1000","1","0.5","1000","1000","0","91411009","","(200,200,0)","0","(0,0,0)","","0","4","0","0"
"18014031","0","0","0","350","1","0.5","350","350","0","91411010","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014041","0","0","0","350","1","0.5","350","350","0","91411011","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18014051","0","0","0","400","1","0.5","400","400","0","91411016","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014052","0","0","0","600","1","0.5","600","600","0","91411014","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014061","1","2200","0","1100","1","0.5","300","300","0","91411013","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014071","0","0","0","300","1","0.5","300","300","0","91411017","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014081","0","0","0","700","1","0.5","700","700","0","91411018","","(0,0,0)","0","(0,0,0)","","0","7","0","0"
"18014091","0","0","0","300","1","0.5","300","300","0","91411019","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014101","1","2200","0","1100","1","0.5","400","400","0","91411020","","(400,400,0)","0","(0,0,0)","","0","4","0","0"
"18014111","0","0","0","500","1","3.1","500","500","0","91411021","","(500,500,0)","0","(0,0,0)","","1","4","0","0"
"18014121","1","1750","0","1400","1","0.8","400","400","0","91411022","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18014131","0","0","0","400","1","0.5","400","400","0","91411023","","(400,400,0)","0","(0,0,0)","","0","5","0","0"
"18020001","1","2200","0","1100","1","0.5","150","150","0","91412028","100","(0,0,0)","","(0,0,0)","","0","4","0","0"
"18020002","1","4000","0","2000","1","0.5","150","150","0","91412001","120","(0,0,0)","","(0,0,0)","","0","4","0","0"
"18021001","1","5500","0","1100","1","0.2","192","192","0","91412002","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18021011","1","5500","0","1100","1","0.2","300","300","0","91412009","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18021021","1","5500","0","1100","1","0.2","192","192","0","91412010","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18022001","0","0","0","300","1","1","300","300","0","91412003","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18023001","0","0","0","400","1","1.5","400","400","0","91412004","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18024001","0","0","0","350","1","0.5","350","350","0","91412005","","(100,100,0)","0","(0,0,0)","","0","5","0","0"
"18024002","1","1650","0","1100","1","0.667","350","350","0","91412006","","(100,100,0)","0","(0,0,0)","","0","5","0","0"
"18025001","0","0","0","150","1","1","150","150","0","91412008","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18029001","0","0","0","400","1","1.5","400","400","0","91412004","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18029011","0","0","0","600","1","0.5","600","600","0","91412011","","(0,0,0)","0","(0,0,0)","","0","8","0","0"
"18029021","0","0","0","1300","1","0","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18029031","0","0","0","1300","1","0.5","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18029041","4","2000","0","1000","1","0.5","100","100","0","91412014","","(0,0,20)","0","(0,0,0)","","0","5","0","0"
"18029051","0","0","0","400","1","0.5","400","400","0","91412015","","(400,400,0)","0","(0,0,0)","1","0","5","0","0"
"18029061","0","0","0","600","1","0.5","600","600","0","91412016","","(0,0,0)","0","(0,0,0)","","0","8","0","0"
"18029071","0","0","0","1300","1","0.5","1300","1300","0","","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18029081","0","0","0","500","1","0.5","500","500","0","91412018","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18029091","0","0","0","500","1","1","500","500","0","91412019","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18029101","1","200","0","1200","1","6","600","600","0","91412020","","(200,200,0)","0","(0,0,0)","","0","999","0","0"
"18029111","1","2800","0","1400","1","0.5","100","700","0","91412021","","(100,100,0)","0","(0,0,0)","","0","6","0","0"
"18029121","0","0","0","800","1","0.5","800","800","0","91412022","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18029131","0","0","0","2000","1","5","800","800","0","91412023","","(0,0,0)","0","(0,0,0)","","1","8","0","0"
"18029141","1","2200","0","1100","1","0.5","192","192","0","91412024","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18029151","0","0","0","600","1","0.5","600","600","0","91412025","","(0,0,0)","0","(0,0,0)","","0","6","0","0"
"18029161","0","0","0","1200","1","0.5","600","600","0","91412026","","(600,600,0)","0","(0,0,0)","","0","8","0","0"
"18029171","0","0","0","0","1","0.5","100","100","0","91412027","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18029181","0","0","0","2000","1","5","1000","1000","0","91412023","","(0,0,0)","0","(0,0,0)","","1","8","0","0"
"18030001","0","0","0","250","1","0.5","250","250","0","91413001","","(50,50,0)","0","(0,0,0)","","0","4","0","0"
"18030201","1","1000","0","250","1","0.2","250","250","0","91413006","","(50,50,0)","0","(0,0,0)","","0","4","0","0"
"18031001","0","0","0","500","1","0.5","500","500","0","91413002","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18031002","0","0","0","500","1","0.5","500","500","0","91413015","","(100,100,0)","0","(0,0,0)","","0","4","0","0"
"18032001","1","1500","0","600","1","0.4","300","300","0","91413003","","(300,300,0)","0","(0,0,0)","","0","4","0","0"
"18032002","1","200","0","300","1","0.5","300","500","0","91413007","","(300,300,0)","0","(0,0,0)","","0","4","0","0"
"18032003","1","800","0","300","1","0.15","300","300","0","91413016","","(300,300,0)","0","(0,0,0)","","0","4","0","0"
"18032004","1","200","0","300","1","0.5","300","500","0","91413017","","(300,300,0)","0","(0,0,0)","","0","4","0","0"
"18033001","0","0","0","800","1","0.5","800","800","0","91413004","","(0,0,0)","0","(0,0,0)","","0","8","0","0"
"18033002","0","0","0","500","1","0.5","500","500","0","91413005","","(0,0,0)","0","(0,0,0)","","0","8","0","0"
"18034001","0","0","0","500","1","0.5","500","500","0","91413008","","(0,0,0)","0","(0,0,0)","","0","4","0","0"
"18034011","1","5000","0","1000","1","0.2","500","500","0","91413009","","(0,0,0)","0","(0,0,0)","","0","5","0","0"
"18034021","0","0","0","400","1","0.5","400","400","0","91413010","","(100,100,0)","0","(0,0,0)","","0","6","0","0"
"18034022","0","0","0","400","1","0.5","400","400","0","91413018","","(100,100,0)","0","(0,0,0)","","0","6","0","0"
