"AttributeId","IconInfo","HurtSoundType","HurtSound","FlyEffNomal","FlyEffIce","FlyEffFire","FlyEffLight","FlyEffDark","HurtEff","NoOpenStrId","SpellSections","CastSections","ChannelSections","AttackSections","HurtSections","MotionBlendSpaceId","OtherSpellSections","OtherCastSections","OtherChannelSections","OtherAttackSections","OtherHurtSections","SkillName","SkillTemplate","SkillDiscribe","SkillSmallDiscribe","SkillUnlockDescribe","SkillRecommendDescribe","SkillUnlockConditionDescribe","LightStrength","LightR","LightG","LightB","LightA","ExploreAtCapsule","SkillVedio","CacheNpcId","SkillVedioLen"
"14010000","(91210001)","","91923001","(91111001,91111002,91111003)","","","","","","","","","","Attack1","Hurt1","","","","","","","90030001","90030001","90030001","90070062","","","","100","10","1","0.1","1","0","","",""
"14010001","(91210001)","0","91923001","","","","","","","","","","","Attack1","Hurt1","1","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010002","(91210001)","0","91923001","(91110075)","(91110076)","(91110077)","(91110078)","(91110079)","","","","","","KongZhanAttack1","Hurt1","","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010201","(91210001)","0","91923001","","","","","","","","","","","Attack2","Hurt1","2","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010202","(91210001)","0","91923001","(91110080)","(91110081)","(91110082)","(91110083)","(91110084)","","","","","","KongZhanAttack2","Hurt1","","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010401","(91210001)","0","91923001","","","","","","","","","","","Attack3","Hurt1","3","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010402","(91210001)","0","91923001","(91110085)","(91110086)","(91110087)","(91110088)","(91110089)","","","","","","KongZhanAttack3","Hurt1","","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14010601","(91210001)","0","91923001","","","","","","","","","","","Attack4","Hurt1","","","","","","","90030001","90030501","90031001","90070062","90038000","90039000","","100","10","1","0.1","1","0","","",""
"14011001","(91210005)","0","91923000","","","","","","","","","","Channel4","Attack1","Hurt1","","","","","","","90030002","90030502","90031021","90070062","90038001","90039000","90038066","100","10","1","0.1","1","0","91950000","","3"
"14011002","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031022","90070063","90038001","90039000","","100","10","1","0.1","1","0","","",""
"14011003","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031023","90070063","90038001","90039000","","100","10","1","0.1","1","0","","",""
"14011004","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031024","90070063","90038001","90039000","","100","10","1","0.1","1","0","","",""
"14011005","(91210005)","1","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030012","90030502","90031025","90070064","90038001","90039000","","100","0.1","1","10","1","0","","",""
"14011006","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031021","90070063","90038001","90039000","90038066","100","10","1","0.1","1","0","","",""
"14011007","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031021","90070063","90038001","90039000","90038066","100","10","1","0.1","1","0","","",""
"14011008","(91210005)","0","91923000","","","","","","","","","","Channel4","","Hurt1","","","","","","","90030002","90030502","90031021","90070063","90038001","90039000","90038066","100","10","1","0.1","1","0","","",""
"14012001","(91210009)","0","91923000","","","","","","","","","","Channel1","Attack1","Hurt1","","","","","","","90030003","90030504","90031041","90070065","90038002","90039000","90038068","100","10","1","0.1","1","0","91950002","","4"
"14012002","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031042","90070066","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012003","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031043","90070066","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012004","(91210009)","0","91923000","","","","","","","","","","Channel1","","Hurt1","","","","","","","90030003","90030504","90031044","90070066","90038002","90039000","","100","10","1","0.1","1","0","","",""
"14012005","(91210009)","1","91923000","","","","","","","","","","Channel5","","Hurt1","","","","","","","90030011","90030504","90031045","90070067","90038002","90039000","","100","0.1","1","10","1","0","","",""
"14012006","(91210009)","0","91923000","","","","","","","","","","Channel5","","Hurt1","","","","","","","90030011","90030504","90031046","90070068","90038002","90039000","","100","0.1","1","10","1","0","","",""
