"AttributeId","NameType","NameLevel","NameQulity","NameString","NameIcon","NameStar","UpgradeCost","NextLevelId","NameAttribute","IconRes","IsShow","BuffLogicId","NoticeId"
"59000001","0","0","0","90080111","","0","(12,12000)","59000002","(0)","91290122","1","10210001",""
"59000002","0","1","0","90080112","91260001","0","(12,22000)","59000003","(4,8,750,0,1,4,5,75,0,1,4,6,90,0,1,4,7,150,0,1,4,10,30,0,1,4,11,5,0,1,4,12,5,0,1,4,13,0.02,0,1,4,26,0.01,0,1)","91290122","1","10210002",""
"59000003","0","2","0","90080113","91260002","0","(12,53000)","59000004","(4,8,2250,0,1,4,5,225,0,1,4,6,270,0,1,4,7,450,0,1,4,10,90,0,1,4,11,15,0,1,4,12,15,0,1,4,13,0.04,0,1,4,26,0.02,0,1)","91290122","1","10210003",""
"59000004","0","3","0","90080114","91260003","0","(12,118000)","59000005","(4,8,5250,0,1,4,5,525,0,1,4,6,630,0,1,4,7,1050,0,1,4,10,210,0,1,4,11,35,0,1,4,12,35,0,1,4,13,0.06,0,1,4,26,0.03,0,1)","91290122","1","10210004",""
"59000005","0","4","0","90080115","91260004","0","(12,228000)","59000006","(4,8,9750,0,1,4,5,975,0,1,4,6,1170,0,1,4,7,1950,0,1,4,10,390,0,1,4,11,65,0,1,4,12,65,0,1,4,13,0.08,0,1,4,26,0.04,0,1)","91290122","1","10210005","93000013"
"59000006","0","5","0","90080116","91260005","0","(12,550000)","59000007","(4,8,15000,0,1,4,5,1500,0,1,4,6,1800,0,1,4,7,3000,0,1,4,10,600,0,1,4,11,100,0,1,4,12,100,0,1,4,13,0.1,0,1,4,26,0.05,0,1)","91290122","1","10210006","93000013"
"59000007","0","6","0","90080117","91260006","0","(12,1120000)","59000008","(4,8,25500,0,1,4,5,2550,0,1,4,6,3060,0,1,4,7,5100,0,1,4,10,1020,0,1,4,11,170,0,1,4,12,170,0,1,4,13,0.12,0,1,4,26,0.06,0,1)","91290122","1","10210007","93000013"
"59000008","0","7","0","90080118","91260007","0","(12,2380000)","59000009","(4,8,37500,0,1,4,5,3750,0,1,4,6,4500,0,1,4,7,7500,0,1,4,10,1500,0,1,4,11,250,0,1,4,12,250,0,1,4,13,0.14,0,1,4,26,0.07,0,1)","91290122","1","10210008","93000166"
"59000009","0","8","0","90080119","91260008","0","(12,4580000)","59000010","(4,8,52500,0,1,4,5,5250,0,1,4,6,6300,0,1,4,7,10500,0,1,4,10,2100,0,1,4,11,350,0,1,4,12,350,0,1,4,13,0.16,0,1,4,26,0.08,0,1)","91290122","1","10210009","93000166"
"59000010","0","9","0","90080120","91260009","0","(12,9580000)","59000011","(4,8,67500,0,1,4,5,6750,0,1,4,6,8100,0,1,4,7,13500,0,1,4,10,2700,0,1,4,11,450,0,1,4,12,450,0,1,4,13,0.18,0,1,4,26,0.09,0,1)","91290122","1","10210010","93000166"
"59000011","0","10","0","90080121","91260010","0","(12,19800000)","59000012","(4,8,90000,0,1,4,5,9000,0,1,4,6,10800,0,1,4,7,18000,0,1,4,10,3600,0,1,4,11,600,0,1,4,12,600,0,1,4,13,0.2,0,1,4,26,0.1,0,1)","91290122","1","10210011","93000166"
"59000012","0","11","0","90080122","91260011","0","(12,39800000)","59000013","(4,8,120000,0,1,4,5,12000,0,1,4,6,14400,0,1,4,7,24000,0,1,4,10,4800,0,1,4,11,800,0,1,4,12,800,0,1,4,13,0.22,0,1,4,26,0.11,0,1)","91290122","1","10210012","93000166"
"59000013","0","12","0","90080123","91260012","0","0","0","(4,8,150000,0,1,4,5,15000,0,1,4,6,18000,0,1,4,7,30000,0,1,4,10,6000,0,1,4,11,1000,0,1,4,12,1000,0,1,4,13,0.24,0,1,4,26,0.12,0,1)","91290122","1","10210013","93000166"
"59010001","2","0","0","90080098","91232771","0","(13,2500)","59010002","(0)","91232771","1","10200001",""
"59010002","2","1","0","90080099","91232771","1","(13,2500)","59010003","(4,8,225,0,1,4,5,20,0,1,4,6,24,0,1,4,7,30,0,1,4,9,6,0,1,4,11,1,0,1,4,12,1,0,1,4,14,0.002,0,1,4,25,0.002,0,1)","91232771","1","10200002",""
"59010003","2","1","0","90080099","91232771","2","(13,2900)","59010004","(4,8,450,0,1,4,5,40,0,1,4,6,48,0,1,4,7,60,0,1,4,9,12,0,1,4,11,2,0,1,4,12,2,0,1,4,14,0.004,0,1,4,25,0.004,0,1)","91232771","1","10200003",""
"59010004","2","1","0","90080099","91232771","3","(13,3700)","59010005","(4,8,675,0,1,4,5,60,0,1,4,6,72,0,1,4,7,90,0,1,4,9,18,0,1,4,11,3,0,1,4,12,3,0,1,4,14,0.006,0,1,4,25,0.006,0,1)","91232771","1","10200004",""
"59010005","2","1","0","90080099","91232771","4","(13,4900)","59010006","(4,8,900,0,1,4,5,80,0,1,4,6,96,0,1,4,7,120,0,1,4,9,24,0,1,4,11,4,0,1,4,12,4,0,1,4,14,0.008,0,1,4,25,0.008,0,1)","91232771","1","10200005",""
"59010006","2","1","0","90080099","91232771","5","(13,7300)","59010007","(4,8,1125,0,1,4,5,100,0,1,4,6,120,0,1,4,7,150,0,1,4,9,30,0,1,4,11,5,0,1,4,12,5,0,1,4,14,0.01,0,1,4,25,0.01,0,1)","91232771","1","10200006",""
"59010007","2","2","0","90080100","91232772","1","(13,4400)","59010008","(4,8,1575,0,1,4,5,140,0,1,4,6,168,0,1,4,7,210,0,1,4,9,42,0,1,4,11,7,0,1,4,12,7,0,1,4,14,0.012,0,1,4,25,0.012,0,1)","91232772","1","10200007",""
"59010008","2","2","0","90080100","91232772","2","(13,5300)","59010009","(4,8,2025,0,1,4,5,180,0,1,4,6,216,0,1,4,7,270,0,1,4,9,54,0,1,4,11,9,0,1,4,12,9,0,1,4,14,0.014,0,1,4,25,0.014,0,1)","91232772","1","10200008",""
"59010009","2","2","0","90080100","91232772","3","(13,6600)","59010010","(4,8,2475,0,1,4,5,220,0,1,4,6,264,0,1,4,7,330,0,1,4,9,66,0,1,4,11,11,0,1,4,12,11,0,1,4,14,0.016,0,1,4,25,0.016,0,1)","91232772","1","10200009",""
"59010010","2","2","0","90080100","91232772","4","(13,8800)","59010011","(4,8,2925,0,1,4,5,260,0,1,4,6,312,0,1,4,7,390,0,1,4,9,78,0,1,4,11,13,0,1,4,12,13,0,1,4,14,0.018,0,1,4,25,0.018,0,1)","91232772","1","10200010",""
"59010011","2","2","0","90080100","91232772","5","(13,13200)","59010012","(4,8,3375,0,1,4,5,300,0,1,4,6,360,0,1,4,7,450,0,1,4,9,90,0,1,4,11,15,0,1,4,12,15,0,1,4,14,0.02,0,1,4,25,0.02,0,1)","91232772","1","10200011",""
