"AttributeId","TotalGradeNeed","BarserkerAtt","WizardAtt","GuardianAtt","AssassinatorAtt"
"51000001","30","(4,8,750,0,1,4,5,125,0,1,4,6,150,0,1,4,7,275,0,1,4,16,75,0,1,4,24,0.005,0,1)","(4,8,750,0,1,4,5,125,0,1,4,6,150,0,1,4,7,275,0,1,4,18,75,0,1,4,24,0.005,0,1)","(4,8,750,0,1,4,5,125,0,1,4,6,150,0,1,4,7,275,0,1,4,20,75,0,1,4,24,0.005,0,1)","(4,8,750,0,1,4,5,125,0,1,4,6,150,0,1,4,7,275,0,1,4,22,75,0,1,4,24,0.005,0,1)"
"51000002","60","(4,8,1125,0,1,4,5,185,0,1,4,6,220,0,1,4,7,410,0,1,4,16,115,0,1,4,24,0.01,0,1)","(4,8,1125,0,1,4,5,185,0,1,4,6,220,0,1,4,7,410,0,1,4,18,115,0,1,4,24,0.01,0,1)","(4,8,1125,0,1,4,5,185,0,1,4,6,220,0,1,4,7,410,0,1,4,20,115,0,1,4,24,0.01,0,1)","(4,8,1125,0,1,4,5,185,0,1,4,6,220,0,1,4,7,410,0,1,4,22,115,0,1,4,24,0.01,0,1)"
"51000003","100","(4,8,1650,0,1,4,5,270,0,1,4,6,320,0,1,4,7,600,0,1,4,16,165,0,1,4,24,0.015,0,1)","(4,8,1650,0,1,4,5,270,0,1,4,6,320,0,1,4,7,600,0,1,4,18,165,0,1,4,24,0.015,0,1)","(4,8,1650,0,1,4,5,270,0,1,4,6,320,0,1,4,7,600,0,1,4,20,165,0,1,4,24,0.015,0,1)","(4,8,1650,0,1,4,5,270,0,1,4,6,320,0,1,4,7,600,0,1,4,22,165,0,1,4,24,0.015,0,1)"
"51000004","150","(4,8,2325,0,1,4,5,380,0,1,4,6,455,0,1,4,7,850,0,1,4,16,235,0,1,4,24,0.02,0,1)","(4,8,2325,0,1,4,5,380,0,1,4,6,455,0,1,4,7,850,0,1,4,18,235,0,1,4,24,0.02,0,1)","(4,8,2325,0,1,4,5,380,0,1,4,6,455,0,1,4,7,850,0,1,4,20,235,0,1,4,24,0.02,0,1)","(4,8,2325,0,1,4,5,380,0,1,4,6,455,0,1,4,7,850,0,1,4,22,235,0,1,4,24,0.02,0,1)"
"51000005","200","(4,8,3150,0,1,4,5,510,0,1,4,6,615,0,1,4,7,1150,0,1,4,16,315,0,1,4,24,0.025,0,1)","(4,8,3150,0,1,4,5,510,0,1,4,6,615,0,1,4,7,1150,0,1,4,18,315,0,1,4,24,0.025,0,1)","(4,8,3150,0,1,4,5,510,0,1,4,6,615,0,1,4,7,1150,0,1,4,20,315,0,1,4,24,0.025,0,1)","(4,8,3150,0,1,4,5,510,0,1,4,6,615,0,1,4,7,1150,0,1,4,22,315,0,1,4,24,0.025,0,1)"
"51000006","250","(4,8,4125,0,1,4,5,670,0,1,4,6,800,0,1,4,7,1500,0,1,4,16,410,0,1,4,24,0.03,0,1)","(4,8,4125,0,1,4,5,670,0,1,4,6,800,0,1,4,7,1500,0,1,4,18,410,0,1,4,24,0.03,0,1)","(4,8,4125,0,1,4,5,670,0,1,4,6,800,0,1,4,7,1500,0,1,4,20,410,0,1,4,24,0.03,0,1)","(4,8,4125,0,1,4,5,670,0,1,4,6,800,0,1,4,7,1500,0,1,4,22,410,0,1,4,24,0.03,0,1)"
"51000007","300","(4,8,5250,0,1,4,5,850,0,1,4,6,1020,0,1,4,7,1910,0,1,4,16,520,0,1,4,24,0.035,0,1)","(4,8,5250,0,1,4,5,850,0,1,4,6,1020,0,1,4,7,1910,0,1,4,18,520,0,1,4,24,0.035,0,1)","(4,8,5250,0,1,4,5,850,0,1,4,6,1020,0,1,4,7,1910,0,1,4,20,520,0,1,4,24,0.035,0,1)","(4,8,5250,0,1,4,5,850,0,1,4,6,1020,0,1,4,7,1910,0,1,4,22,520,0,1,4,24,0.035,0,1)"
"51000008","350","(4,8,6525,0,1,4,5,1055,0,1,4,6,1270,0,1,4,7,2375,0,1,4,16,650,0,1,4,24,0.04,0,1)","(4,8,6525,0,1,4,5,1055,0,1,4,6,1270,0,1,4,7,2375,0,1,4,18,650,0,1,4,24,0.04,0,1)","(4,8,6525,0,1,4,5,1055,0,1,4,6,1270,0,1,4,7,2375,0,1,4,20,650,0,1,4,24,0.04,0,1)","(4,8,6525,0,1,4,5,1055,0,1,4,6,1270,0,1,4,7,2375,0,1,4,22,650,0,1,4,24,0.04,0,1)"
"51000009","400","(4,8,7950,0,1,4,5,1285,0,1,4,6,1545,0,1,4,7,2895,0,1,4,16,790,0,1,4,24,0.045,0,1)","(4,8,7950,0,1,4,5,1285,0,1,4,6,1545,0,1,4,7,2895,0,1,4,18,790,0,1,4,24,0.045,0,1)","(4,8,7950,0,1,4,5,1285,0,1,4,6,1545,0,1,4,7,2895,0,1,4,20,790,0,1,4,24,0.045,0,1)","(4,8,7950,0,1,4,5,1285,0,1,4,6,1545,0,1,4,7,2895,0,1,4,22,790,0,1,4,24,0.045,0,1)"
"51000010","450","(4,8,9525,0,1,4,5,1540,0,1,4,6,1850,0,1,4,7,3465,0,1,4,16,945,0,1,4,24,0.05,0,1)","(4,8,9525,0,1,4,5,1540,0,1,4,6,1850,0,1,4,7,3465,0,1,4,18,945,0,1,4,24,0.05,0,1)","(4,8,9525,0,1,4,5,1540,0,1,4,6,1850,0,1,4,7,3465,0,1,4,20,945,0,1,4,24,0.05,0,1)","(4,8,9525,0,1,4,5,1540,0,1,4,6,1850,0,1,4,7,3465,0,1,4,22,945,0,1,4,24,0.05,0,1)"
