"AttributeId","Type","Level","BeginId","Property","SpriteReqIdArray","PassiveSkillId","StrId"
"49000001","","1","49000001","(4,6,23,0,1,4,7,47,0,1,4,8,146,0,1)","(48040001,48050001,48060001,48140001)","","90305994"
"49000002","","2","49000001","(4,6,33,0,1,4,7,67,0,1,4,8,206,0,1)","(48040002,48050002,48060002,48140002)","","90305994"
"49000003","","3","49000001","(4,6,43,0,1,4,7,87,0,1,4,8,266,0,1)","(48040003,48050003,48060003,48140003)","","90305994"
"49000004","","4","49000001","(4,6,53,0,1,4,7,107,0,1,4,8,326,0,1)","(48040004,48050004,48060004,48140004)","","90305994"
"49000005","","5","49000001","(4,6,63,0,1,4,7,127,0,1,4,8,386,0,1)","(48040005,48050005,48060005,48140005)","","90305994"
"49000006","","6","49000001","(4,6,73,0,1,4,7,147,0,1,4,8,446,0,1)","(48040006,48050006,48060006,48140006)","","90305994"
"49000007","","7","49000001","(4,6,83,0,1,4,7,167,0,1,4,8,506,0,1)","(48040007,48050007,48060007,48140007)","","90305994"
"49000008","","8","49000001","(4,6,93,0,1,4,7,187,0,1,4,8,566,0,1)","(48040008,48050008,48060008,48140008)","","90305994"
"49000009","","9","49000001","(4,6,103,0,1,4,7,207,0,1,4,8,626,0,1)","(48040009,48050009,48060009,48140009)","","90305994"
"49000010","","10","49000001","(4,6,113,0,1,4,7,227,0,1,4,8,686,0,1)","(48040010,48050010,48060010,48140010)","","90305994"
"49000011","","11","49000001","(4,6,123,0,1,4,7,247,0,1,4,8,746,0,1)","(48040011,48050011,48060011,48140011)","","90305994"
"49000012","","12","49000001","(4,6,133,0,1,4,7,267,0,1,4,8,806,0,1)","(48040012,48050012,48060012,48140012)","","90305994"
"49000013","","13","49000001","(4,6,143,0,1,4,7,287,0,1,4,8,866,0,1)","(48040013,48050013,48060013,48140013)","","90305994"
"49000014","","14","49000001","(4,6,153,0,1,4,7,307,0,1,4,8,926,0,1)","(48040014,48050014,48060014,48140014)","","90305994"
"49000015","","15","49000001","(4,6,163,0,1,4,7,327,0,1,4,8,986,0,1)","(48040015,48050015,48060015,48140015)","","90305994"
"49000016","","16","49000001","(4,6,173,0,1,4,7,347,0,1,4,8,1046,0,1)","(48040016,48050016,48060016,48140016)","","90305994"
"49000017","","17","49000001","(4,6,183,0,1,4,7,367,0,1,4,8,1106,0,1)","(48040017,48050017,48060017,48140017)","","90305994"
"49000018","","18","49000001","(4,6,193,0,1,4,7,387,0,1,4,8,1166,0,1)","(48040018,48050018,48060018,48140018)","","90305994"
"49000019","","19","49000001","(4,6,203,0,1,4,7,407,0,1,4,8,1226,0,1)","(48040019,48050019,48060019,48140019)","","90305994"
"49000020","","20","49000001","(4,6,213,0,1,4,7,427,0,1,4,8,1286,0,1)","(48040020,48050020,48060020,48140020)","","90305994"
"49000021","","21","49000001","(4,6,223,0,1,4,7,447,0,1,4,8,1346,0,1)","(48040021,48050021,48060021,48140021)","","90305994"
"49000022","","22","49000001","(4,6,233,0,1,4,7,467,0,1,4,8,1406,0,1)","(48040022,48050022,48060022,48140022)","","90305994"
"49000023","","23","49000001","(4,6,243,0,1,4,7,487,0,1,4,8,1466,0,1)","(48040023,48050023,48060023,48140023)","","90305994"
"49000024","","24","49000001","(4,6,253,0,1,4,7,507,0,1,4,8,1526,0,1)","(48040024,48050024,48060024,48140024)","","90305994"
"49000025","","25","49000001","(4,6,263,0,1,4,7,527,0,1,4,8,1586,0,1)","(48040025,48050025,48060025,48140025)","","90305994"
"49000026","","26","49000001","(4,6,273,0,1,4,7,547,0,1,4,8,1646,0,1)","(48040026,48050026,48060026,48140026)","","90305994"
"49000027","","27","49000001","(4,6,283,0,1,4,7,567,0,1,4,8,1706,0,1)","(48040027,48050027,48060027,48140027)","","90305994"
"49000028","","28","49000001","(4,6,293,0,1,4,7,587,0,1,4,8,1766,0,1)","(48040028,48050028,48060028,48140028)","","90305994"
"49000029","","29","49000001","(4,6,303,0,1,4,7,607,0,1,4,8,1826,0,1)","(48040029,48050029,48060029,48140029)","","90305994"
"49000030","","30","49000001","(4,6,313,0,1,4,7,627,0,1,4,8,1886,0,1)","(48040030,48050030,48060030,48140030)","","90305994"
"49000031","","31","49000001","(4,6,323,0,1,4,7,647,0,1,4,8,1946,0,1)","(48040031,48050031,48060031,48140031)","","90305994"
"49000032","","32","49000001","(4,6,333,0,1,4,7,667,0,1,4,8,2006,0,1)","(48040032,48050032,48060032,48140032)","","90305994"
"49000033","","33","49000001","(4,6,343,0,1,4,7,687,0,1,4,8,2066,0,1)","(48040033,48050033,48060033,48140033)","","90305994"
"49000034","","34","49000001","(4,6,353,0,1,4,7,707,0,1,4,8,2126,0,1)","(48040034,48050034,48060034,48140034)","","90305994"
"49000035","","35","49000001","(4,6,363,0,1,4,7,727,0,1,4,8,2186,0,1)","(48040035,48050035,48060035,48140035)","","90305994"
"49000036","","36","49000001","(4,6,373,0,1,4,7,747,0,1,4,8,2246,0,1)","(48040036,48050036,48060036,48140036)","","90305994"
"49000037","","37","49000001","(4,6,383,0,1,4,7,767,0,1,4,8,2306,0,1)","(48040037,48050037,48060037,48140037)","","90305994"
"49000038","","38","49000001","(4,6,393,0,1,4,7,787,0,1,4,8,2366,0,1)","(48040038,48050038,48060038,48140038)","","90305994"
"49000039","","39","49000001","(4,6,403,0,1,4,7,807,0,1,4,8,2426,0,1)","(48040039,48050039,48060039,48140039)","","90305994"
"49000040","","40","49000001","(4,6,413,0,1,4,7,827,0,1,4,8,2486,0,1)","(48040040,48050040,48060040,48140040)","","90305994"
"49000041","","41","49000001","(4,6,423,0,1,4,7,847,0,1,4,8,2546,0,1)","(48040041,48050041,48060041,48140041)","","90305994"
"49000042","","42","49000001","(4,6,433,0,1,4,7,867,0,1,4,8,2606,0,1)","(48040042,48050042,48060042,48140042)","","90305994"
"49000043","","43","49000001","(4,6,443,0,1,4,7,887,0,1,4,8,2666,0,1)","(48040043,48050043,48060043,48140043)","","90305994"
"49000044","","44","49000001","(4,6,453,0,1,4,7,907,0,1,4,8,2726,0,1)","(48040044,48050044,48060044,48140044)","","90305994"
"49000045","","45","49000001","(4,6,463,0,1,4,7,927,0,1,4,8,2786,0,1)","(48040045,48050045,48060045,48140045)","","90305994"
"49000046","","46","49000001","(4,6,473,0,1,4,7,947,0,1,4,8,2846,0,1)","(48040046,48050046,48060046,48140046)","","90305994"
"49000047","","47","49000001","(4,6,483,0,1,4,7,967,0,1,4,8,2906,0,1)","(48040047,48050047,48060047,48140047)","","90305994"
"49000048","","48","49000001","(4,6,493,0,1,4,7,987,0,1,4,8,2966,0,1)","(48040048,48050048,48060048,48140048)","","90305994"
"49000049","","49","49000001","(4,6,503,0,1,4,7,1007,0,1,4,8,3026,0,1)","(48040049,48050049,48060049,48140049)","","90305994"
"49000050","","50","49000001","(4,6,513,0,1,4,7,1027,0,1,4,8,3086,0,1)","(48040050,48050050,48060050,48140050)","","90305994"
"49000051","","51","49000001","(4,6,523,0,1,4,7,1047,0,1,4,8,3146,0,1)","(48040051,48050051,48060051,48140051)","","90305994"
"49000052","","52","49000001","(4,6,533,0,1,4,7,1067,0,1,4,8,3206,0,1)","(48040052,48050052,48060052,48140052)","","90305994"
"49000053","","53","49000001","(4,6,543,0,1,4,7,1087,0,1,4,8,3266,0,1)","(48040053,48050053,48060053,48140053)","","90305994"
"49000054","","54","49000001","(4,6,553,0,1,4,7,1107,0,1,4,8,3326,0,1)","(48040054,48050054,48060054,48140054)","","90305994"
"49000055","","55","49000001","(4,6,563,0,1,4,7,1127,0,1,4,8,3386,0,1)","(48040055,48050055,48060055,48140055)","","90305994"
"49000056","","56","49000001","(4,6,573,0,1,4,7,1147,0,1,4,8,3446,0,1)","(48040056,48050056,48060056,48140056)","","90305994"
"49000057","","57","49000001","(4,6,583,0,1,4,7,1167,0,1,4,8,3506,0,1)","(48040057,48050057,48060057,48140057)","","90305994"
"49000058","","58","49000001","(4,6,593,0,1,4,7,1187,0,1,4,8,3566,0,1)","(48040058,48050058,48060058,48140058)","","90305994"
"49000059","","59","49000001","(4,6,603,0,1,4,7,1207,0,1,4,8,3626,0,1)","(48040059,48050059,48060059,48140059)","","90305994"
"49000060","","60","49000001","(4,6,613,0,1,4,7,1227,0,1,4,8,3686,0,1)","(48040060,48050060,48060060,48140060)","","90305994"
"49000061","","61","49000001","(4,6,623,0,1,4,7,1247,0,1,4,8,3746,0,1)","(48040061,48050061,48060061,48140061)","","90305994"
"49000062","","62","49000001","(4,6,633,0,1,4,7,1267,0,1,4,8,3806,0,1)","(48040062,48050062,48060062,48140062)","","90305994"
"49000063","","63","49000001","(4,6,643,0,1,4,7,1287,0,1,4,8,3866,0,1)","(48040063,48050063,48060063,48140063)","","90305994"
"49000064","","64","49000001","(4,6,653,0,1,4,7,1307,0,1,4,8,3926,0,1)","(48040064,48050064,48060064,48140064)","","90305994"
"49000065","","65","49000001","(4,6,663,0,1,4,7,1327,0,1,4,8,3986,0,1)","(48040065,48050065,48060065,48140065)","","90305994"
"49000066","","66","49000001","(4,6,673,0,1,4,7,1347,0,1,4,8,4046,0,1)","(48040066,48050066,48060066,48140066)","","90305994"
"49000067","","67","49000001","(4,6,683,0,1,4,7,1367,0,1,4,8,4106,0,1)","(48040067,48050067,48060067,48140067)","","90305994"
"49000068","","68","49000001","(4,6,693,0,1,4,7,1387,0,1,4,8,4166,0,1)","(48040068,48050068,48060068,48140068)","","90305994"
"49000069","","69","49000001","(4,6,703,0,1,4,7,1407,0,1,4,8,4226,0,1)","(48040069,48050069,48060069,48140069)","","90305994"
"49000070","","70","49000001","(4,6,713,0,1,4,7,1427,0,1,4,8,4286,0,1)","(48040070,48050070,48060070,48140070)","","90305994"
"49000071","","71","49000001","(4,6,723,0,1,4,7,1447,0,1,4,8,4346,0,1)","(48040071,48050071,48060071,48140071)","","90305994"
"49000072","","72","49000001","(4,6,733,0,1,4,7,1467,0,1,4,8,4406,0,1)","(48040072,48050072,48060072,48140072)","","90305994"
