"AttributeId","StayPoint"
"127000001","(20576,31701,2178)"
"127000002","(20035,31828,2178)"
"127000003","(21100,31642,2178)"
"127000004","(21268,30844,2178)"
"127000005","(21801,34042,2178)"
"127000006","(20957,32074,2178)"
"127000007","(21127,31566,2178)"
"127000008","(20875,31223,2178)"
"127000009","(21223,30945,2178)"
"127000010","(20449,31702,2178)"
"127000011","(40839,65088,3034)"
"127000012","(40962,65875,3034)"
"127000013","(41995,66527,3034)"
"127000014","(42093,66226,3034)"
"127000015","(41332,66491,3034)"
"127000016","(40892,65663,3034)"
"127000017","(42164,65770,3034)"
"127000018","(41670,65590,3034)"
"127000019","(42153,66328,3034)"
"127000020","(71458,67069,4469)"
"127000021","(71294,66142,4469)"
"127000022","(71822,67820,4469)"
"127000023","(72387,67102,4469)"
"127000024","(72356,66471,4469)"
"127000025","(71983,66705,4469)"
"127000026","(71561,66811,4469)"
"127000027","(72300,67348,4469)"
"127000028","(72347,66202,4469)"
