"AttributeId","StoreType","StoreGoods","LevelLimit","OpenType","StoreOpenTimeLimit","LastTime","FreshType","FreshTime","FreshInterval","FirstLabelIndex","ExtraMoneyShowArray","StoreNameId"
"34000001","1","(35000023,35000036,35000032,35000033,35000034,35000035,35000003,35000002,35000029,35000030,35000005,35000012,35000004,35000014,35000028)","0","0","(0,0,0,0,0)","0","0","(0)","0","","(0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0)",""
"34000002","2","(35010001,35010002,35010003,35010015,35010016,35010004,35010005,35010006,35010007,35010008,35010009,35010010,35010011,35010012,35010013,35010017,35010014,35010018)","0","0","(0,0,0,0,0)","0","1","(0,61800,61860,61920,61980)","0","","",""
"34000003","3","(35011006,35011001,35011003,35011004,35011002,35011005,35011009,35011010,35011011,35011012,35011013,35011014,35011015,35011016,35011017,35011018,35011019,35011020,35011021,35011022,35011023,35011024,35011025,35011026,35011027,35011028)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000004","4","(35031016,35031017,35031019,35031002,35031018,35031003,35031004,35031022,35031001,35031020,35031005,35031021,35031006,35031007)","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
"34000005","5","(35012004,35012005,35012006,35012007,35012008,35012009,35012010,35012011)","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000006","6","(35050003,35050004,35050005,35050008,35050009)","0","0","(0,0,0,0,1)","1","1","(0)","0","","",""
"34000007","7","","0","0","","0","1","(0)","0","","",""
"34000008","8","","0","0","","0","1","(0)","0","","",""
"34000009","9","","0","0","","0","1","(0)","0","","",""
"34000010","10","(35090001,35090002,35090003,35090004,35090005,35090006,35090007,35090008,35090009,35090010,35090011,35090012,35090013,35090014,35090015,35090016,35090017,35090018,35090019,35090020,35090021,35090022,35090023,35090024,35090025,35090026,35090027,35090028,35090029,35090030,35090031,35090032,35090033,35090034,35090035,35090036,35090037,35090038,35090039,35090040)","0","0","(0,0,0,0,0)","0","1","(0)","0","","(15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0)",""
"34000011","11","","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000012","12","(35120005,35120006,35120007,35120008,35120010,35120009)","0","0","(0,0,0,0,0)","0","1","(0)","0","","(6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0)","90095020"
"34000013","13","(35130001,35130002,35130003,35130004,35130005)","0","0","","0","0","(0)","0","","",""
"34000014","14","","0","0","(0,0,0,0,0)","0","1","(0)","","","",""
"34000015","15","","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000016","16","","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000017","17","","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000018","18","(35160003,35160004,35160007,35160012,35160011)","0","0","(0,0,0,0,0)","0","1","(0)","0","","(15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0,0)",""
"34000019","19","","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000020","20","(35220003,35220004,35221004,35221003,35221001,35221002,35220007,35220010,35220014,35220015,35220016,35220017)","0","0","(0,0,0,0,0)","0","1","(0)","0","","(18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0)",""
"34000021","21","(35240013,35240014,35240016,35240017,35240019,35240020,35240022,35240023)","0","0","(0,0,0,0,0)","0","1","(0)","0","","",""
"34000022","22","(35030001,35030002,35030003,35030004,35030006,35030007,35030008,35030010,35030011,35030012,35030013,35030014,35030015,35030016,35030017,35030018,35030019)","0","0","(0,0,0,0,0)","0","1","(0,61800,61860,61920,61980)","0","","","90091013"
"34000023","23","","0","0","(0,0,0,0,0)","0","0","(0)","0","","",""
