"AttributeId","SuitNameID","DisplayRoleImage","RoleClassRequired","GradeRequired","DisplayCheckLevelRequired","EquipsRequiredArray","AttArray","DisplayUpgradeNum","DisplayAddonNum","SuitGetAreaStringID","SuitGetWidgetJumpArray"
"101000001","90060618","91200521","1","0","0","(31020105,31021065,31022025,31020345,31020585,31020825,31021785,31021545,31021305,31022261,0,0,31050005)","","3","50","90060668","(91231039,90090222,92300002,0,-1,91231040,90090223,92290004,0,-1,91231042,90090225,92500001,-1,-1)"
"101000002","90060619","91200521","1","1","0","(31020111,31021071,31022031,31020351,31020591,31020831,31021791,31021551,31021311,31022262,0,0,31050006)","","5","50","90060669","(91231039,90090222,92300002,1,-1,91231040,90090223,92290004,1,-1,91231042,90090225,92500001,-1,-1,91231041,90090224,92220004,-1,-1)"
"101000003","90060620","91200521","1","2","0","(31020117,31021077,31022037,31020357,31020597,31020837,31021797,31021557,31021317,31022263,0,0,31050007)","","7","50","90060670","(91231039,90090222,92300002,2,-1,91231040,90090223,92290004,2,-1,91231041,90090224,92220004,-1,-1)"
"101000004","90060621","91200521","1","3","0","(31020123,31021083,31022043,31020363,31020603,31020843,31021803,31021563,31021323,31022264,0,0,31050008)","","9","50","90060671","(91231039,90090222,92300002,3,-1,91231040,90090223,92290004,3,-1,91231041,90090224,92220004,-1,-1)"
"101000005","90060622","91200521","1","4","3","(31020129,31021089,31022049,31020369,31020609,31020849,31021809,31021569,31021329,31022265,0,0,31050009)","","11","50","90060672","(91231039,90090222,92300002,4,-1,91231040,90090223,92290004,4,-1,91231041,90090224,92220004,-1,-1)"
"101000006","90060623","91200521","1","5","3","(31020135,31021095,31022055,31020375,31020615,31020855,31021815,31021575,31021335,31022266,0,0,31050010)","","13","50","90060673","(91231039,90090222,92300002,5,-1,91231040,90090223,92290004,5,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000007","90060624","91200521","1","6","3","(31020141,31021101,31022061,31020381,31020621,31020861,31021821,31021581,31021341,31022267,0,0,31050011)","","15","50","90060674","(91231039,90090222,92300002,6,-1,91231040,90090223,92290004,6,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000008","90060625","91200521","1","7","3","(31020147,31021107,31022067,31020387,31020627,31020867,31021827,31021587,31021347,31022268,0,0,31050012)","","15","50","90060675","(91231039,90090222,92300002,7,-1,91231040,90090223,92290004,7,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000009","90060626","91200521","1","8","3","(31020153,31021113,31022073,31020393,31020633,31020873,31021833,31021593,31021353,31022269,0,0,31050013)","","15","50","90060676","(91231039,90090222,92300002,8,-1,91231040,90090223,92290004,8,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000010","90060627","91200521","1","9","3","(31020159,31021119,31022079,31020399,31020639,31020879,31021839,31021599,31021359,31022270,0,0,31050014)","","15","50","90060677","(91231039,90090222,92300002,9,-1,91231040,90090223,92290004,9,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000011","90060628","91200522","2","0","0","(31020165,31021125,31022085,31020405,31020645,31020885,31021845,31021605,31021365,31022271,0,0,31050005)","","3","50","90060668","(91231039,90090222,92300002,0,-1,91231040,90090223,92290004,0,-1,91231042,90090225,92500001,-1,-1)"
"101000012","90060629","91200522","2","1","0","(31020171,31021131,31022091,31020411,31020651,31020891,31021851,31021611,31021371,31022272,0,0,31050006)","","5","50","90060669","(91231039,90090222,92300002,1,-1,91231040,90090223,92290004,1,-1,91231042,90090225,92500001,-1,-1,91231041,90090224,92220004,-1,-1)"
"101000013","90060630","91200522","2","2","0","(31020177,31021137,31022097,31020417,31020657,31020897,31021857,31021617,31021377,31022273,0,0,31050007)","","7","50","90060670","(91231039,90090222,92300002,2,-1,91231040,90090223,92290004,2,-1,91231041,90090224,92220004,-1,-1)"
"101000014","90060631","91200522","2","3","0","(31020183,31021143,31022103,31020423,31020663,31020903,31021863,31021623,31021383,31022274,0,0,31050008)","","9","50","90060671","(91231039,90090222,92300002,3,-1,91231040,90090223,92290004,3,-1,91231041,90090224,92220004,-1,-1)"
"101000015","90060632","91200522","2","4","3","(31020189,31021149,31022109,31020429,31020669,31020909,31021869,31021629,31021389,31022275,0,0,31050009)","","11","50","90060672","(91231039,90090222,92300002,4,-1,91231040,90090223,92290004,4,-1,91231041,90090224,92220004,-1,-1)"
"101000016","90060633","91200522","2","5","3","(31020195,31021155,31022115,31020435,31020675,31020915,31021875,31021635,31021395,31022276,0,0,31050010)","","13","50","90060673","(91231039,90090222,92300002,5,-1,91231040,90090223,92290004,5,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000017","90060634","91200522","2","6","3","(31020201,31021161,31022121,31020441,31020681,31020921,31021881,31021641,31021401,31022277,0,0,31050011)","","15","50","90060674","(91231039,90090222,92300002,6,-1,91231040,90090223,92290004,6,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000018","90060635","91200522","2","7","3","(31020207,31021167,31022127,31020447,31020687,31020927,31021887,31021647,31021407,31022278,0,0,31050012)","","15","50","90060675","(91231039,90090222,92300002,7,-1,91231040,90090223,92290004,7,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000019","90060636","91200522","2","8","3","(31020213,31021173,31022133,31020453,31020693,31020933,31021893,31021653,31021413,31022279,0,0,31050013)","","15","50","90060676","(91231039,90090222,92300002,8,-1,91231040,90090223,92290004,8,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000020","90060637","91200522","2","9","3","(31020219,31021179,31022139,31020459,31020699,31020939,31021899,31021659,31021419,31022280,0,0,31050014)","","15","50","90060677","(91231039,90090222,92300002,9,-1,91231040,90090223,92290004,9,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000021","90060638","91200523","3","0","0","(31020225,31021185,31022145,31020465,31020705,31020945,31021905,31021665,31021425,31022281,0,0,31050005)","","3","50","90060668","(91231039,90090222,92300002,0,-1,91231040,90090223,92290004,0,-1,91231042,90090225,92500001,-1,-1)"
"101000022","90060639","91200523","3","1","0","(31020231,31021191,31022151,31020471,31020711,31020951,31021911,31021671,31021431,31022282,0,0,31050006)","","5","50","90060669","(91231039,90090222,92300002,1,-1,91231040,90090223,92290004,1,-1,91231042,90090225,92500001,-1,-1,91231041,90090224,92220004,-1,-1)"
"101000023","90060640","91200523","3","2","0","(31020237,31021197,31022157,31020477,31020717,31020957,31021917,31021677,31021437,31022283,0,0,31050007)","","7","50","90060670","(91231039,90090222,92300002,2,-1,91231040,90090223,92290004,2,-1,91231041,90090224,92220004,-1,-1)"
"101000024","90060641","91200523","3","3","0","(31020243,31021203,31022163,31020483,31020723,31020963,31021923,31021683,31021443,31022284,0,0,31050008)","","9","50","90060671","(91231039,90090222,92300002,3,-1,91231040,90090223,92290004,3,-1,91231041,90090224,92220004,-1,-1)"
"101000025","90060642","91200523","3","4","3","(31020249,31021209,31022169,31020489,31020729,31020969,31021929,31021689,31021449,31022285,0,0,31050009)","","11","50","90060672","(91231039,90090222,92300002,4,-1,91231040,90090223,92290004,4,-1,91231041,90090224,92220004,-1,-1)"
"101000026","90060643","91200523","3","5","3","(31020255,31021215,31022175,31020495,31020735,31020975,31021935,31021695,31021455,31022286,0,0,31050010)","","13","50","90060673","(91231039,90090222,92300002,5,-1,91231040,90090223,92290004,5,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000027","90060644","91200523","3","6","3","(31020261,31021221,31022181,31020501,31020741,31020981,31021941,31021701,31021461,31022287,0,0,31050011)","","15","50","90060674","(91231039,90090222,92300002,6,-1,91231040,90090223,92290004,6,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000028","90060645","91200523","3","7","3","(31020267,31021227,31022187,31020507,31020747,31020987,31021947,31021707,31021467,31022288,0,0,31050012)","","15","50","90060675","(91231039,90090222,92300002,7,-1,91231040,90090223,92290004,7,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000029","90060646","91200523","3","8","3","(31020273,31021233,31022193,31020513,31020753,31020993,31021953,31021713,31021473,31022289,0,0,31050013)","","15","50","90060676","(91231039,90090222,92300002,8,-1,91231040,90090223,92290004,8,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000030","90060647","91200523","3","9","3","(31020279,31021239,31022199,31020519,31020759,31020999,31021959,31021719,31021479,31022290,0,0,31050014)","","15","50","90060677","(91231039,90090222,92300002,9,-1,91231040,90090223,92290004,9,-1,91231041,90090224,92220004,-1,-1,91231043,90090226,92230001,5,-1)"
"101000031","90060648","91200524","4","0","0","(31020285,31021245,31022205,31020525,31020765,31021005,31021965,31021725,31021485,31022291,0,0,31050005)","","3","50","90060668","(91231039,90090222,92300002,0,-1,91231040,90090223,92290004,0,-1,91231042,90090225,92500001,-1,-1)"
"101000032","90060649","91200524","4","1","0","(31020291,31021251,31022211,31020531,31020771,31021011,31021971,31021731,31021491,31022292,0,0,31050006)","","5","50","90060669","(91231039,90090222,92300002,1,-1,91231040,90090223,92290004,1,-1,91231042,90090225,92500001,-1,-1,91231041,90090224,92220004,-1,-1)"
