"AttributeId","Type","Series","Level","LevelMax","Name","Icon","Describe","OpenMoney","OpenTalentId","BuffArray","ReplaceSkill","ReplaceTime","Active","NotActive","BuffAddType","GSAddValue","OpenrLayerLimit"
"24010001","0","1001","1","40","90039182","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010002","0","1001","2","40","90039183","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010003","0","1001","3","40","90039184","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010004","0","1001","4","40","90039185","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010005","0","1001","5","40","90039186","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010006","0","1001","6","40","90039187","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010007","0","1001","7","40","90039188","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010008","0","1001","8","40","90039189","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010009","0","1001","9","40","90039182","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010010","0","1001","10","40","90039183","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010011","0","1001","11","40","90039184","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010012","0","1001","12","40","90039185","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010013","0","1001","13","40","90039186","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010014","0","1001","14","40","90039187","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010015","0","1001","15","40","90039188","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010016","0","1001","16","40","90039189","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010017","0","1001","17","40","90039182","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010018","0","1001","18","40","90039183","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010019","0","1001","19","40","90039184","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010020","0","1001","20","40","90039185","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010021","0","1001","21","40","90039186","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010022","0","1001","22","40","90039187","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010023","0","1001","23","40","90039188","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010024","0","1001","24","40","90039189","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010025","0","1001","25","40","90039182","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010026","0","1001","26","40","90039183","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010027","0","1001","27","40","90039184","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010028","0","1001","28","40","90039185","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010029","0","1001","29","40","90039186","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010030","0","1001","30","40","90039187","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010031","0","1001","31","40","90039188","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010032","0","1001","32","40","90039189","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010033","0","1001","33","40","90039182","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010034","0","1001","34","40","90039183","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010035","0","1001","35","40","90039184","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010036","0","1001","36","40","90039185","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010037","0","1001","37","40","90039186","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010038","0","1001","38","40","90039187","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010039","0","1001","39","40","90039188","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010040","0","1001","40","40","90039189","91211576","90039632","(17,2)","0","(10025700)","(0,0)","-1","","","1","",""
"24010101","0","1011","1","40","90039192","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010102","0","1011","2","40","90039193","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010103","0","1011","3","40","90039194","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010104","0","1011","4","40","90039195","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010105","0","1011","5","40","90039196","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010106","0","1011","6","40","90039197","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010107","0","1011","7","40","90039198","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010108","0","1011","8","40","90039199","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010109","0","1011","9","40","90039192","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010110","0","1011","10","40","90039193","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010111","0","1011","11","40","90039194","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010112","0","1011","12","40","90039195","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010113","0","1011","13","40","90039196","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010114","0","1011","14","40","90039197","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010115","0","1011","15","40","90039198","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010116","0","1011","16","40","90039199","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010117","0","1011","17","40","90039192","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010118","0","1011","18","40","90039193","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010119","0","1011","19","40","90039194","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010120","0","1011","20","40","90039195","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010121","0","1011","21","40","90039196","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010122","0","1011","22","40","90039197","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010123","0","1011","23","40","90039198","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010124","0","1011","24","40","90039199","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010125","0","1011","25","40","90039192","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010126","0","1011","26","40","90039193","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010127","0","1011","27","40","90039194","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010128","0","1011","28","40","90039195","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
"24010129","0","1011","29","40","90039196","91211504","90039642","(17,2)","0","(10025720)","(0,0)","-1","","","1","",""
