"AttributeId","AimType","AimGroup","AimTypeName","AimTypeImage","AimTypeValid","SubTypeId","SubTypeName"
"122000001","0","0","90090648","91232613","1","",""
"122000002","1","0","90091020","91240617","0","(122000003,122000007,122000009,122000010,122000011,122000012,122000008,122000004)",""
"122000003","2","0","90069545","91232616","0","",""
"122000004","3","0","90069561","91232630","0","",""
"122000005","4","0","90069503","91240616","0","(82010009,82010010,82010011,82010012,82010013,82010014,82010015)",""
"122000006","5","0","90305760","91291090","1","",""
"122000007","6","0","90069549","91232615","0","(71030001)",""
"122000008","7","0","90069551","91232619","0","(71030002)",""
"122000009","8","0","90069555","91232624","0","(71040001)","(90054094)"
"122000010","9","0","90069553","91232632","0","(71010002)","(90054114)"
"122000011","10","0","90050212","91232617","0","(71110001,71110002,71110003,71110004,71110005)","(90054094,90054095,90054096,90054097,90054098)"
"122000012","11","0","90069557","91232623","0","(71040002)","(90054115)"
"122000013","12","0","90050213","91232622","0","(71120001,71120002,71120003,71120004,71120005)","(90054094,90054095,90054096,90054097,90054098)"
"122000014","13","0","90069559","91232625","0","(71040003,71040012,71040013,71040014,71040015)","(90054094,90054095,90054096,90054097,90054098)"
"122000015","14","0","90090593","91232672","1","",""
"122000016","15","0","90069506","91232618","1","(71090001,71090002,71090003,71090004,71090005)","(90054052,90054053,90054054,90054055,90054056)"
"122000017","16","0","90069504","91240615","0","(82010001,82010002,82010003,82010004,82010005,82010006,82010007,82010008)",""
