"AttributeId","ActivityType","CycleIndex","Condition","Reward","TextImage","ParamArr1","ParamArr2","ParamArr3","ParamArr4","ParamArr5"
"136004001","3","1","","","(91260839)","(1)","","","(5000)",""
"136004002","3","1","","","(91260576)","(2)","","","(5001)",""
"136004003","3","1","","","(91260576)","(3)","","","(5002)",""
"136004004","3","1","","","(91260576)","(4)","","","(5003)",""
"136004005","3","1","","","(91260576)","(5)","","","(5004)",""
"136004006","3","1","","","(91260576)","(6)","","","(5005)",""
"136004007","3","1","","","(91260576)","(7)","","","(5006)",""
"136004008","3","1","","","(91260576)","(8)","","","(5007)",""
"136004009","3","1","","","(91260576)","(5)","","","(5008)",""
"136004010","3","1","","","(91260576)","(6)","","","(5009)",""
"136004011","3","1","","","(91260576)","(7)","","","(5010)",""
"136004012","3","1","","","(91260576)","(8)","","","(5011)",""
"136004013","3","1","","","(91260576)","(9)","","","(5012)",""
"136004014","3","1","","","(91260576)","(10)","","","(5013)",""
"136004015","3","1","","","(91260576)","(11)","","","(5014)",""
"136004016","3","1","","","(91260576)","(12)","","","(5015)",""
"136004017","3","1","","","(91260576)","(9)","","","(5016)",""
"136004018","3","1","","","(91260576)","(10)","","","(5017)",""
"136004019","3","1","","","(91260576)","(11)","","","(5018)",""
"136004020","3","1","","","(91260576)","(12)","","","(5019)",""
"136004021","3","1","","","(91260576)","(9)","","","(5020)",""
"136004022","3","1","","","(91260576)","(10)","","","(5021)",""
"136004023","3","1","","","(91260576)","(11)","","","(5022)",""
"136004024","3","1","","","(91260576)","(12)","","","(5023)",""
"136004025","3","1","","","(91260576)","(9)","","","(5024)",""
"136004026","3","1","","","(91260576)","(10)","","","(5025)",""
"136004027","3","1","","","(91260576)","(11)","","","(5026)",""
"136004028","3","1","","","(91260576)","(12)","","","(5027)",""
"136004029","3","1","","","(91260576)","(9)","","","(5028)",""
"136004030","3","1","","","(91260576)","(10)","","","(5029)",""
"136004031","3","1","","","(91260576)","(11)","","","(5030)",""
"136004032","3","1","","","(91260576)","(12)","","","(5031)",""
"136004033","3","1","","","(91260576)","(24)","","","(5032)",""
"136004034","3","1","","","(91260576)","(25)","","","(5033)",""
"136004035","3","1","","","(91260576)","(26)","","","(5034)",""
"136004036","3","1","","","(91260576)","(27)","","","(5035)",""
"136004037","3","1","","","(91260576)","(28)","","","(5036)",""
"136004038","3","1","","","(91260576)","(24)","","","(5037)",""
"136004039","3","1","","","(91260576)","(25)","","","(5038)",""
"136004040","3","1","","","(91260576)","(26)","","","(5039)",""
"136004041","3","1","","","(91260576)","(27)","","","(5040)",""
"136004042","3","1","","","(91260576)","(28)","","","(5041)",""
"136004043","3","1","","","(91260576)","(24)","","","(5042)",""
"136004044","3","1","","","(91260576)","(25)","","","(5043)",""
"136004045","3","1","","","(91260576)","(26)","","","(5044)",""
"136004046","55","1","","","(91260839)","(27)","","","(5045)",""
"136004047","55","1","","","(91260576)","(28)","","","(5046)",""
"136004048","55","1","","","(91260576)","(29)","","","(5047)",""
"136004049","55","1","","","(91260576)","(30)","","","(5048)",""
"136004050","55","1","","","(91260576)","(31)","","","(5049)",""
"136004051","55","1","","","(91260576)","(26)","","","(5050)",""
"136004052","55","1","","","(91260576)","(27)","","","(5051)",""
"136004053","55","1","","","(91260576)","(28)","","","(5052)",""
"136004054","55","1","","","(91260576)","(29)","","","(5053)",""
"136004055","55","1","","","(91260576)","(30)","","","(5054)",""
"136004056","55","1","","","(91260576)","(31)","","","(5055)",""
"136004057","55","1","","","(91260576)","(26)","","","(5056)",""
"136004058","55","1","","","(91260576)","(27)","","","(5057)",""
"136004059","55","1","","","(91260576)","(28)","","","(5058)",""
