"AttributeId","ActivityType","CycleParamType","CycleParamNum","CycleFirstId","OpenType","OpenServerDate","OpenSpencificDate","FirstOpenDayOfWeek","DurationDays","CycleDays","ShowType","TextImage","ParamArr1","ParamArr2","ParamArr3","ParamArr4","ParamArr5"
"135000004","3","1","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46)","(136004001,136004002,136004003,136004004,136004005,136004006,136004007,136004008,136004009,136004010,136004011,136004012,136004013,136004014,136004015,136004016,136004017,136004018,136004019,136004020,136004021,136004022,136004023,136004024,136004025,136004026,136004027,136004028,136004029,136004030,136004031,136004032,136004033,136004034,136004035,136004036,136004037,136004038,136004039,136004040,136004041,136004042,136004043,136004044,136004045)","1","0","","-1","14","14","","(90305056,91260408)","(50)","","","","(0)"
"135000039","38","1","(1,4,5,6,7,8,999)","(136039001,136039002,136039003,136039004,136039005,136039006)","1","0","","-1","11","11","","(90202098,91260408)","(52)","","","","(0)"
"135000007","6","1","(1,4,7,10,13,16,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,999)","(136007001,136007008,136007015,136007022,136007029,136007036,136007043,136007050,136007057,136007064,136007071,136007078,136007085,136007092,136007099,136007106,136007113,136007120,136007127,136007134,136007141,136007148,136007155,136007162,136007169,136007176,136007183,136007190,136007197,136007204,136007211,136007218)","1","7","","-1","7","7","","(90305059,91260406)","(42)","(91231341)","","","(0)"
"135000009","8","1","(1,2,999)","(136009001,136009011)","1","0","","-1","7","14","","(90305235,91260415)","(47)","(91231337)","","","(0)"
"135000010","9","1","(1,999)","(136010001)","1","0","","-1","7","14","","(90305237,91260416)","(48)","(91231338)","","(1,2,3,4,5,7,8)","(0)"
"135000012","11","1","(1,2,3,4,5,9,10,11,999)","(136012001,136012002,136012003,136012004,136012005,136012006,136012007,136012008)","1","0","","-1","8","8","","(90305233,91260409)","(51)","","","","(0)"
"135000014","13","1","(1,999)","(136014001)","1","0","","6","2","7","","(90305245,91260580,90305338)","(41)","(91231340)","","","(0)"
"135000017","16","1","(1,4,7,10,13,16,22,25,28,31,34,37,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,999)","(136017001,136017005,136017009,136017013,136017017,136017021,136017025,136017029,136017033,136017037,136017041,136017045,136017049,136017053,136017057,136017061,136017065,136017069,136017073,136017077,136017081,136017085,136017089,136017093,136017097,136017101,136017105,136017109,136017113,136017117,136017121,136017125)","1","7","","-1","7","7","","","","","","","(0)"
"135000018","9","1","(1,999)","(136010001)","1","0","","-1","7","14","","(90305237,91260416)","(48)","(91231338)","","(6)","(0)"
"135000019","9","1","(1,999)","(136010001)","1","0","","-1","7","14","","(90305237,91260416)","(48)","(91231338)","","(0)","(0)"
"135000040","39","1","(1,2)","(136041000)","1","1","","-1","6","6","","(90202718,0)","(40)","","","(0,1,3,4,5,7,8)","(1)"
"135000041","39","1","(1,2)","(136041100)","1","1","","-1","6","6","","(90202718,0)","(40)","","","(2)","(1)"
"135000042","41","1","(1,9999)","(136042001)","1","0","","-1","1","1","","(90305329,91231015,90305334)","(35)","(91231346)","","(1)","(0)"
"135000043","41","1","(1,9999)","(136043001)","1","0","","-1","1","1","","(90305329,91231015,90305334)","(35)","(91231346)","","(3)","(0)"
"135000044","41","1","(1,9999)","(136044001)","1","0","","-1","1","1","","(90305329,91231015,90305334)","(35)","(91231346)","","(4)","(0)"
"135000045","42","1","(1,2,3,4,5,13,14,15,16,37,46)","(136142001,136142003,136142008,136142014,136142021,136142029,136142038,136142048,136142059,136142071)","1","0","","-1","14","14","","(90305057,91260412,90305342)","(53)","(91231353)","","","(1,2,3)"
"135000047","41","1","(1,9999)","(136045001)","1","0","","-1","1","1","","(90305329,91231015,90305334)","(35)","(91231346)","","(5)","(0)"
"135000048","18","1","(1,9999)","(136019043)","0","0","(2020,8,12)","-1","7","7","","(90305329,91231015,90305334)","(35)","(91231346)","","","(1,2,3)"
"135500049","41","1","(1,9999)","(136046001)","1","0","","-1","1","1","","(90305329,91231015,90305334)","(35)","(91231346)","","(6)","(0)"
"135000050","50","1","(1,2)","(136050001)","1","0","","-1","4","4","","(90305984,91291214)","(60)","(91231353)","","","(1)"
"135000051","51","1","(1,3,5,999)","(136051001,136051002,136051003)","1","0","","6","1","7","","(90305985,91291213)","(61)","(91231353)","","","(1)"
"135000055","55","1","(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,999)","(136004046,136004047,136004048,136004049,136004050,136004051,136004052,136004053,136004054,136004055,136004056,136004057,136004058,136004059,136004060,136004061,136004062,136004063,136004064,136004065,136004066,136004067,136004068)","1","630","","-1","14","14","","(90305056,91260408)","(50)","","","","(0)"
"135000068","68","1","(1,3,4,5,24)","(136142300,136142313,136142327,136142342)","1","630","","-1","14","14","","(90305057,91260412,90305342)","(53)","(91231353)","","","(1,2,3)"
