"AttributeId","NameId","CurrentCanto","CurrentOrder","CurrentStar","MoneyConsume","NeedChapter","AddAtt","Mesh","AnimBP","UnlockStateBuffId","IconID","TinderShotDescribe","TinderUnlockClue","AddStarLevel"
"65000001","90096000","1","1","0","","1","(4,8,118,0,1,4,5,14,0,1,4,6,17,0,1,4,7,35,0,1,4,9,5,0,1,4,10,5,0,1,4,13,0.002,0,1)","76980768","91053402","(10990611,10990653,10990659,10990665)","91231308","90096048","90096024","1"
"65000002","90096001","1","2","0","","2","(4,8,266,0,1,4,5,32,0,1,4,6,39,0,1,4,7,79,0,1,4,9,13,0,1,4,10,13,0,1,4,13,0.004,0,1)","76980768","91053402","(10990612,10990654,10990660,10990666)","91231309","90096049","90096025","1"
"65000003","90096002","1","3","0","","3","(4,8,456,0,1,4,5,56,0,1,4,6,67,0,1,4,7,136,0,1,4,9,22,0,1,4,10,22,0,1,4,13,0.006,0,1)","76980768","91053402","(10990613,10990655,10990661,10990667)","91231310","90096050","90096026","1"
"65000004","90096003","1","4","0","","4","(4,8,699,0,1,4,5,87,0,1,4,6,103,0,1,4,7,209,0,1,4,9,34,0,1,4,10,34,0,1,4,13,0.008,0,1)","76980768","91053402","(10990614,10990656,10990662,10990668)","91231311","90096051","90096027","1"
"65000005","90096004","1","5","0","","5","(4,8,1007,0,1,4,5,126,0,1,4,6,149,0,1,4,7,302,0,1,4,9,49,0,1,4,10,49,0,1,4,13,0.01,0,1)","76980768","91053402","(10990615,10990657,10990663,10990669)","91231312","90096052","90096028","1"
"65000006","90096005","1","6","0","","6","(4,8,1398,0,1,4,5,175,0,1,4,6,207,0,1,4,7,419,0,1,4,9,68,0,1,4,10,68,0,1,4,13,0.012,0,1)","76980768","91053402","(10990616,10990658,10990664,10990670)","91231313","90096053","90096029","1"
"65000007","90096006","2","7","0","","7","(4,8,1877,0,1,4,5,235,0,1,4,6,279,0,1,4,7,563,0,1,4,9,92,0,1,4,10,92,0,1,4,13,0.014,0,1)","76980769","91053402","(10990611,10990617,10990623,10990629)","91231314","90096054","90096030","1"
"65000008","90096007","2","8","0","","8","(4,8,2462,0,1,4,5,309,0,1,4,6,367,0,1,4,7,738,0,1,4,9,121,0,1,4,10,121,0,1,4,13,0.016,0,1)","76980769","91053402","(10990612,10990618,10990624,10990630)","91231315","90096055","90096031","1"
"65000009","90096008","2","9","0","","9","(4,8,3179,0,1,4,5,399,0,1,4,6,475,0,1,4,7,953,0,1,4,9,157,0,1,4,10,157,0,1,4,13,0.018,0,1)","76980769","91053402","(10990613,10990619,10990625,10990631)","91231316","90096056","90096032","1"
"65000010","90096009","2","10","0","","10","(4,8,4052,0,1,4,5,508,0,1,4,6,606,0,1,4,7,1215,0,1,4,9,201,0,1,4,10,201,0,1,4,13,0.02,0,1)","76980769","91053402","(10990614,10990620,10990626,10990632)","91231317","90096057","90096033","1"
