"AttributeId","HighTitleType","EndTimeType","HighTitleName","HighTitleString","HighTitleIcon","HighTitleChatIcon","AdditionArray","StaticAttArray","LastTime","DeadActiveLine","NeedValue1","NeedValue2","Noticeld","ChannelLimit","PlayerType","AniStrId"
"39000001","0","0","90060738","90204145","91222630","","","(4,8,1300,0,1,4,5,90,0,1,4,6,100,0,1,4,7,300,0,1)","0","0","71020008","","93000035","","0",""
"39000002","0","0","90060740","90060741","91222631","","","(4,9,350,0,1,4,10,300,0,1,4,11,200,0,1,4,12,200,0,1,4,16,200,0,1,4,18,200,0,1,4,20,200,0,1,4,22,200,0,1)","0","0","0","","93000035","","0",""
"39000003","9","0","90080142","90080143","91231151","","","(4,5,1200,0,1,4,6,1200,0,1,4,11,700,0,1,4,13,0.1,0,1)","0","0","1000","","93000035","","0",""
"39000004","10","3","90080124","90080125","91222629","","","(4,8,6000,0,1,4,5,600,0,1,4,6,600,0,1,4,9,500,0,1,4,10,500,0,1,4,24,0.05,0,1,4,26,0.05,0,1)","0","0","0","","","","0",""
"39000005","11","3","90080126","90080127","91222626","","","(4,8,10000,0,1,4,7,2500,0,1,4,9,400,0,1,4,10,400,0,1,4,11,200,0,1,4,12,200,0,1,4,13,0.05,0,1,4,14,0.05,0,1)","0","0","0","","","","0",""
"39000006","12","3","90080128","90080129","91222627","","","(4,8,16000,0,1,4,5,700,0,1,4,6,700,0,1,4,7,2400,0,1,4,25,0.03,0,1,4,26,0.03,0,1)","0","0","0","","","","0",""
"39000007","13","3","90080130","90080131","91222628","","","(4,8,10000,0,1,4,7,3000,0,1,4,10,500,0,1,4,12,350,0,1,4,14,0.05,0,1,4,24,0.1,0,1,4,26,0.05,0,1)","0","0","0","","","","0",""
"39000008","0","0","90080144","90080145","91222632","","","(4,8,2500,0,1,4,5,300,0,1,4,6,300,0,1,4,9,120,0,1,4,10,120,0,1)","0","0","5","","","","0",""
"39000009","8","0","90080146","90080147","91222633","","","(4,8,2400,0,1,4,5,160,0,1,4,6,160,0,1,4,7,400,0,1)","0","0","200","","","","0",""
"39000010","1","3","90080148","90080149","91222634","","","(4,5,700,0,1,4,6,700,0,1,4,7,1500,0,1,4,10,800,0,1,4,13,0.05,0,1,4,25,0.1,0,1)","0","1","0","","","","0",""
"39000011","3","3","90080150","90080151","91222635","","","(4,8,15000,0,1,4,5,1000,0,1,4,6,1000,0,1,4,7,2000,0,1,4,25,0.03,0,1,4,26,0.03,0,1)","0","0","0","","","","0",""
"39000012","4","3","90080152","90080153","91222636","","","(4,8,4500,0,1,4,5,350,0,1,4,6,350,0,1,4,7,700,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","","0",""
"39000013","15","3","90080154","90080155","91222637","","","(4,8,10000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1800,0,1)","0","0","0","","","","1",""
"39000014","16","3","90080156","90080157","91222638","","","(4,8,10000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1800,0,1)","0","0","0","","","","2",""
"39000015","17","3","90080158","90080159","91222639","","","(4,8,10000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1800,0,1)","0","0","0","","","","3",""
"39000016","18","3","90080160","90080161","91222640","","","(4,8,10000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1800,0,1)","0","0","0","","","","4",""
"39000017","0","0","90080162","90080163","91222641","","","(4,9,400,0,1,4,10,400,0,1,4,11,250,0,1,4,12,250,0,1,4,13,0.05,0,1,4,14,0.05,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","0",""
"39000018","0","0","90080164","90080165","91222642","","","(4,8,3500,0,1,4,7,300,0,1,4,11,150,0,1,4,12,150,0,1,4,13,0.03,0,1,4,14,0.03,0,1)","0","0","0","","","","0",""
"39000019","19","0","90080166","90080167","91222643","91260345","","(4,8,1000,0,1,4,5,50,0,1,4,6,50,0,1,4,7,200,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","","0",""
"39000020","19","0","90080168","90080169","91222644","91260346","","(4,8,2500,0,1,4,5,180,0,1,4,6,180,0,1,4,7,300,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","","0",""
"39000021","19","0","90080170","90080171","91222645","91260347","","(4,8,5000,0,1,4,5,500,0,1,4,6,500,0,1,4,7,1000,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","0",""
"39000022","19","0","90080172","90080173","91222646","91260348","","(4,8,7000,0,1,4,5,700,0,1,4,6,700,0,1,4,7,1400,0,1,4,25,0.03,0,1,4,26,0.03,0,1)","0","0","0","","","","0",""
"39000023","19","0","90080174","90080175","91222647","91260349","","(4,8,10000,0,1,4,5,1000,0,1,4,6,1000,0,1,4,7,2000,0,1,4,25,0.05,0,1,4,26,0.05,0,1)","0","0","0","","","","0",""
"39000024","19","0","90080176","90080177","91222648","91260350","","(4,8,25000,0,1,4,5,2200,0,1,4,6,2200,0,1,4,7,4000,0,1,4,25,0.1,0,1,4,26,0.1,0,1)","0","0","0","","","","0",""
"39000025","20","0","90080178","90080179","91260432","","","(4,23,0.01,0,1,4,24,0.01,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","(""0"","""",""3"","""")","0",""
"39000026","21","3","90080180","90080181","91290292","","","(4,8,20000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1500,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","1",""
"39000027","22","3","90080182","90080183","91290293","","","(4,8,20000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1500,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","2",""
"39000028","23","3","90080184","90080185","91290294","","","(4,8,20000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1500,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","3",""
"39000029","24","3","90080186","90080187","91290295","","","(4,8,20000,0,1,4,5,800,0,1,4,6,800,0,1,4,7,1500,0,1,4,25,0.02,0,1,4,26,0.02,0,1)","0","0","0","","","","4",""
"39000030","0","0","90021826","90091316","91222808","","","(4,8,3000,0,1,4,5,450,0,1,4,6,450,0,1,4,7,700,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000031","0","0","90021827","90091316","91222809","","","(4,5,500,0,1,4,6,500,0,1,4,7,1000,0,1,4,10,200,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000032","0","0","90021828","90091316","91222810","","","(4,8,4000,0,1,4,7,1000,0,1,4,9,250,0,1,4,11,150,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000033","0","0","90021829","90091316","91222811","","","(4,5,400,0,1,4,6,400,0,1,4,7,1000,0,1,4,11,200,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000034","0","0","90021830","90091316","91222812","","","(4,8,2500,0,1,4,5,200,0,1,4,6,200,0,1,4,9,150,0,1,4,10,150,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000035","0","0","90021831","90091316","91222813","","","(4,8,2500,0,1,4,7,500,0,1,4,9,220,0,1,4,11,220,0,1,4,13,0.02,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000036","0","0","90021832","90091316","91222814","","","(4,8,3500,0,1,4,5,350,0,1,4,6,350,0,1,4,7,500,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000037","0","0","90021833","90091316","91222815","","","(4,8,9000,0,1,4,5,800,0,1,4,6,800,0,1,4,10,350,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000038","0","0","90021834","90091316","91222816","","","(4,23,0.01,0,1,4,24,0.01,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","(""0"","""",""4"","""",""5"","""",""8"","""",""12"","""")","0",""
"39000039","0","0","90080188","90080189","91290355","","","(4,8,800,0,1,4,5,100,0,1,4,6,120,0,1,4,26,0.01,0,1)","0","0","0","","","(""0"","""",""3"","""")","0",""
"39000040","0","0","90080190","90080191","91290356","","","(4,8,1000,0,1,4,5,120,0,1,4,6,140,0,1,4,26,0.02,0,1)","0","0","0","","","(""0"","""",""3"","""")","0",""
"39000041","0","0","90080192","90080193","91290357","","","(4,8,1500,0,1,4,5,140,0,1,4,6,160,0,1,4,26,0.03,0,1)","0","0","0","","","(""0"","""",""3"","""")","0",""
"39000042","0","0","90080194","90080195","91290372","","","(4,8,15000,0,1,4,7,2000,0,1,4,10,300,0,1,4,12,300,0,1,4,14,0.05,0,1,4,26,0.02,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000043","3","3","90203662","90203660","91222907","","","(4,8,30000,0,1,4,5,2000,0,1,4,6,2000,0,1,4,7,4000,0,1,4,25,0.08,0,1,4,26,0.08,0,1)","0","0","0","","","","0",""
"39000044","4","3","90203663","90203661","91222908","","","(4,8,9000,0,1,4,5,700,0,1,4,6,700,0,1,4,7,1400,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","0","0","0","","","","0",""
"39000045","0","0","90080196","90080197","91290397","","","(4,8,8000,0,1,4,5,1000,0,1,4,6,1000,0,1,4,7,3000,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000046","0","0","90080198","90080199","91290398","","","(4,15,2500,0,1,4,17,2500,0,1,4,19,2500,0,1,4,21,2500,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000047","0","0","90080200","90080201","91290399","","","(4,5,1300,0,1,4,6,1300,0,1,4,7,4000,0,1,4,10,360,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000048","0","0","90080202","90080203","91290400","","","(4,23,1.3,0,1,4,24,1.3,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000049","0","0","90080204","90080205","91290401","","","(4,8,10000,0,1,4,7,2800,0,1,4,9,600,0,1,4,11,400,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000050","0","0","90080206","90080207","91290402","","","(4,8,22000,0,1,4,5,450,0,1,4,6,450,0,1,4,7,400,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000051","0","0","90080208","90080209","91290403","","","(4,8,10000,0,1,4,7,4000,0,1,4,10,450,0,1,4,12,450,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000052","0","0","90080210","90080211","91290404","","","(4,5,1300,0,1,4,6,1300,0,1,4,7,3500,0,1,4,11,480,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000053","0","0","90080212","90080213","91290405","","","(4,8,7000,0,1,4,5,700,0,1,4,6,700,0,1,4,9,1000,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
"39000054","0","0","90080214","90080215","91290406","","","(4,8,10000,0,1,4,7,3500,0,1,4,9,500,0,1,4,11,500,0,1)","0","0","0","","","(""0"","""",""7"","""",""13"","""",""17"","""")","0",""
