"AttributeId","ParentWidgetName","ChildWidgetsName","ChildWidgetsShowNeedFuncUnlock","ChildWidgetsHideSetting"
"116000001","UIMainRTWidget","(""MPWidgetAuctionPanel"",""BossHomePanel"",""MPWidgetMustDoButtonPanel"",""MPWidgetShoppingMallPanel"",""MPWidgetLimitedTimePanel"")","(""Auction"",""BossHome"",""DailyMustDo"",""ShoppingMall"",""LimitedTimeActivities"")","(1,1,1,1,1)"
"116000002","UIOperateWidget","","",""
"116000003","UIMainRDWidget","(""UIPatronSaintSkillButton"")","(""ProtectSpirit"")",""
"116000004","UIOperateMBWidget","","",""
"116000005","UIRaidListWidget","(""RaidList_DailyRaidBtnPanel"",""RaidList_MultiPlayerRaidBtnPanel"",""RaidList_DemonsTowerBtnPanel"",""OracleTrial"")","(""DailyRaid"",""MultiPlayerRaid"",""DemonsTowerRaid"",""TianQi"")","(1,1,1,1)"
"116000006","UIItemUseWidget","(""ItemAddonBtnPanel"",""SuccintBtnPanel"",""InheritBtnPanel"",""CanvasPanel_Awaken"",""CanvasPanel_Excellent"",""FuMoWidgetBtnPanel"")","(""Addon"",""Succint"",""Inherit"",""Awaken"",""Forge"",""FuMo"")","(1,1,1,1,1,1)"
"116000007","UIActivityListWidget","(""DailyActivityPanel"",""BattlefieldActivityButtonPanel"",""CrystalActivityPanel"")","(""DailyActivity"",""BattlefieldActivity"",""CrystalActivity"")","(1,1,1)"
"116000008","UIWingWidget","(""AddSpiritPanel"",""AddSoulPanel"",""PsychicPanel"")","(""WingAddSpirit"",""WingAddSoul"",""WingPsychic"")","(1,1,1)"
"116000009","UIHopeListWidget","(""SpiritHopePanel"")","(""SpiritHope"")","(1)"
"116000010","UIWelfareListWidget","(""SignInCanvasPanel"",""ExpLevelRewardPanel"",""CanvasPanel_Prower"")","(""SignIn"",""ExpLevel"",""ProwerLevel"")","(1,1,1)"
"116000011","UICompositListWidget","(""ButtonItemAdvancePanel"",""SkyitemCompositPanel"",""DebrisPanel"",""GodsAssembledPanel"",""DeityPanel"",""CanvasPanel_9"")","(""Advance"",""SkyitemComposit"",""DebrisComposit"",""GodAssembly"",""Deity"",""MountEquip"")","(1,1,1,1,1,1)"
"116000012","UIFriendMailListWidget","(""AddFriendWidgetPanel"",""MarryPanel"")","(""AddFriend"",""Marry"")","(1,1)"
"116000013","UISkillListWidget","(""SkillPlusPanel"")","(""Talent"")","(1)"
"116000014","UIMainRBMniWidget","(""RBMiniRideMountButtonPanel"")","(""Fly"")","(0)"
"116000015","UIRoleInfoWidget","(""SeniorAttributePanel"")","(""SeniorAttribute"")","(1)"
"116000016","UIRoleInfoListWidget","(""RoleCanvasPanel_ChengJiuZongLan"",""RoleCanvasPanel_ChengJiuChengHao"",""SkyItemPanel"")","(""Achievement"",""AchievementDesignation"",""SkyItem"")","(1,1,1)"
"116000017","UIMainRBMniWidget","(""MPMountPanel"")","(""MountIcon"")","(1)"
"116000018","UIBossHomeListWidget","(""SingleActivityPanel"")","(""SingleBoss"")","(1)"
"116000019","UITreasureListWidget","(""ActivityFuWenBZPanel"",""SpiritTreasurePanel"")","(""ElementTreasure"",""SpiritTreasure"")","(1,1)"
"116000020","UIBeliefListWidget","(""XinyangFuwenPanel"")","(""BeliefTreasure"")","(1)"
"116000021","UICrossWorldListWidget","(""CanvasPanel_HuiLang"")","(""BeliefAmbulatory"")","(1)"
"116000022","UIBookWidget","(""HeroBookPanel"",""ResonateBookPanel"",""universePanel"")","(""HeroBook"",""ResonateBook"",""UniverseBook"")","(1,1,1)"
"116000023","UICurrencyStoreListWidget","(""CrossServerBuyPanel"")","(""StoreCross"")","(1)"
"116000024","UIWingFeatherWidget","(""DiaoWenWFeatherPanel"")","(""DiaoWenWFeather"")","(1)"
"116000025","UIItemSkyWidget","(""SkyGodPanel"",""SupremePanel"")","(""SkyGodItem"",""SupremeItem"")","(1,1)"
"116000026","UIBuyMoneyWidget","(""UIBuyExperiencePanel"")","(""Change2"")","(1)"
