"AttributeId","Level","LevelIcon","LevelIcon2","RegionArr","BgIconId","BigLevelIconID","LevelUpRequest","PurchaseOriginalCostArray","PurchaseCostArray","ItemGetArray","DescribeImageArray","PropertyBonuseBuffID","KIllMonsterBUffID","MeditationFunc","FreeRedPackageNum","AutoUseCard","AutoUsePsyche","IsLimitlessTransfer","IsArenaChallengeNoCD","LivenessBonuse","AuctionRewardPercentage","IsDailyMissionAutoComplete","IsAutoRecoveryEquip","IsWorldBossTransfer","UpgradeSuccessRatioBonuse","FreeYuanDiFuHuoTime","RedPackageGetTimes","BagSlotOpenRate","SiliverChangeTimes","ArenaBuyTimeLimit","BindDiamondChangeTimes","ArenaBuffID","DiamondChangeTimes","MonsterExpBonuse","IsPokedexDiamondSubMit","ElementHeartCallLimit","IsExclusiveBossRaid","IsDoubleMeditationBonuseGet","IsFourfoldMeditationBonuseGet","BloodCastleTimes","DemonSquarTimes","ExhibitionNpcId","ExhibitionBuffIdArray","ExhibitionIconId","RightDesIdArray","ExtraJewelSlotNum","LegionDonateLimiteRate","TitleId","VIPGainTreasureCost","DramaRaidCommonEnter","RaidMapEnter","IsCanTransferByNpc","ExperienceExtraImgId","CloudShopLimitCount","ExpRaidTime","ElementWarlimit","DailyMustMax","LimitConvertExpTime"
"105000001","0","91200005","91290959","(0,1,2,3,4,5,7,8)","91231292","91200005","280","(3,176)","(3,0)","(31000005,1,31000086,5,31000171,1)","(91231086,91231087,91231088)","","","1","0","0","0","1","0","0","0.8","0","0","1","0","0","10","1","4","0","4","0","8","0","0","0","0","1","1","0","0","","","","(90067001,90067135,90067002,90067003,90067043,90069879,90067141,90067142,90067202,90067006,0,0,0,0,0,0,0,0,0,0)","0","(1,1)","","","0","","1","","10","720","","240","3"
"105000002","0","91200005","91290959","(6)","91231292","91200005","280","(3,176)","(3,0)","(31000005,1,31000086,5,31130408,1)","(91231086,91231087,91231088)","","","1","0","0","0","1","0","0","0.8","0","0","1","0","0","10","1","4","0","4","0","8","0","0","0","0","1","1","0","0","","","","(90067001,90067135,90067002,90067003,90067043,90069879,90067141,90067142,90067202,90067006,0,0,0,0,0,0,0,0,0,0)","0","(1,1)","","","0","","1","","10","720","","240","3"
"105000003","1","91231272","91290959","(0,1,2,3,4,5,6,7,8)","91231293","91231257","520","(3,376)","(3,16)","(31100025,1,31020004,5,31000163,1)","(91231089,91231090,91231091)","","10992002","1","1","0","0","1","0","0","0.85","0","0","1","0","0","15","1.2","4","0","4","0","8","0","0","0","0","1","1","0","0","(0,76980758,76980758,76980758,76980758)","(10990019)","91260259","(90067007,90067008,90067161,90067009,90067010,90067011,90067012,0,0,90067015,90067016,0,0,0,0,0,0,0)","0","(1.25,1.25)","","(0,1,4,100,50,1,1,4,100,50,2,1,4,100,50,3,1,4,100,50,4,1,4,100,50,5,1,4,100,50,6,1,4,100,50,7,1,4,100,50,8,1,4,100,50)","0","","1","91222807","12","720","","240","3"
"105000004","2","91231273","91290959","(0,1,2,3,4,5,6,7,8)","91231294","91231258","880","(3,746)","(3,42)","(31000156,1,31010011,2,31000162,1)","(91231092,91231093,91231094)","","10992002","1","1","0","0","1","0","0","0.85","0","1","1","0","0","20","1.2","4","2","4","0","8","0","0","0","0","1","1","0","0","","","","(90067038,90068135,90067019,90067021,90067020,0,0,90305884,90067024,90067025,0,0,0,0,0,0,0,0,0)","0","(1.5,1.5)","","(0,1,4,100,50,1,1,4,100,50,2,1,4,100,50,3,1,4,100,50,4,1,4,100,50,5,1,4,100,50,6,1,4,100,50,7,1,4,100,50,8,1,4,100,50)","1","","1","","14","750","","250","3"
"105000005","3","91231274","91290959","(0,1,2,3,4,5,7,8)","91231295","91231259","1280","(3,1110)","(3,84)","(31110005,1,31010107,5,31000171,2)","(91231095,91231096,91231097)","","10992002","1","1","1","0","1","0","0","0.85","0","1","1","0","0","30","1.5","4","3","4","0","8","0","0","0","0","1","1","0","0","","","","(90067028,90068136,90067029,90067212,90067213,90067030,90067031,0,0,90305884,90067033,90067034,0,0,0,0,0,0,0)","0","(1.75,1.75)","","(0,1,4,100,50,1,1,4,100,50,2,1,4,100,50,3,1,4,100,50,4,1,4,100,50,5,1,4,100,50,6,1,4,100,50,7,1,4,100,50,8,1,4,100,50)","1","","1","","15","780","","260","3"
"105000006","3","91231274","91290959","(6)","91231295","91231259","1280","(3,1110)","(3,84)","(31110005,1,31010107,5,31020005,2)","(91231095,91231096,91231097)","","10992002","1","1","1","0","1","0","0","0.85","0","1","1","0","0","30","1.5","4","3","4","0","8","0","0","0","0","1","1","0","0","","","","(90067028,90068136,90067029,90067212,90067213,90067030,90067031,0,0,90305884,90067033,90067034,0,0,0,0,0,0,0)","0","(1.75,1.75)","","(0,1,4,100,50,1,1,4,100,50,2,1,4,100,50,3,1,4,100,50,4,1,4,100,50,5,1,4,100,50,6,1,4,100,50,7,1,4,100,50,8,1,4,100,50)","1","","1","","15","780","","260","3"
"105000007","4","91231275","91290960","(0,1,2,3,4,5,6,7,8)","91231296","91231260","3000","(3,1320)","(3,106)","(31100026,1,31000170,2,31000163,2)","(91231098,91231099,91231100)","","10992002","1","1","1","0","1","0","0","0.9","0","1","1","0","0","40","1.5","7","5","7","0","10","0","0","0","0","1","1","0","0","(0,76980759,76980759,76980759,76980759)","(10990019)","91260261","(90067035,90068137,90067037,90067018,90067039,90067214,90067041,90067042,90069880,90067145,90067146,90067203,90305884,90067045,90067046,0,0,0)","0","(2,2)","","(0,1,4,100,50,1,1,4,100,50,2,1,4,100,50,3,1,4,100,50,4,1,4,100,50,5,1,4,100,50,6,1,4,100,50,7,1,4,100,50,8,1,4,100,50)","1","(71010002,1,71040001,1,71110001,1)","1","","20","810","","270","3"
"105000008","5","91231276","91290960","(0,1,2,3,4,5,6,7,8)","91231297","91231261","5000","(3,1742)","(3,176)","(31020002,50,31020007,50,31000162,2)","(91231101,91231102,91231103)","","10992002","1","1","1","0","1","0","0","0.9","0","1","1","0","0","50","2","7","5","7","11240006","10","0","0","0","0","1","1","0","0","","","","(90067047,90068138,90067049,90067162,90067050,90067215,90067216,90067055,90067056,90067051,90067052,0,0,90067057,90067058,0,0,0,0)","0","(2.25,2.25)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71010002,1,71040002,1,71040001,1,71110001,1)","1","","25","840","","280","3"
"105000009","6","91231277","91290960","(0,1,2,3,4,5,7)","91231298","91231262","12000","(3,2200)","(3,220)","(31000046,20,31000040,10,31000171,3)","(91231104,91231105,91231106)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","60","2","7","10","7","11240007","10","0","0","0","0","1","1","0","0","(0,76980764,76980764,76980764,76980764)","(10990019)","91260258","(90067059,90067060,90068139,90067062,90067064,90067065,90067217,90067067,90067068,0,0,90305884,90067070,90067071,0,0,0,0,0)","0","(2.5,2.5)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71040003,1,71120001,1,71010002,1,71040002,1,71040001,1,71030002,1,71110001,1)","1","","30","870","","290","3"
"105000010","6","91231277","91290960","(6)","91231298","91231262","12000","(3,2200)","(3,220)","(31000046,20,31000040,10,31102207,1)","(91231104,91231105,91231106)","","10992002","1","1","1","0","1","0","0","0.95","1","1","1","0","0","60","2","7","10","7","11240007","10","0","0","0","0","1","1","0","0","(0,76980764,76980764,76980764,76980764)","(10990019)","91260258","(90067059,90067060,90068139,90067062,90067064,90067065,90067217,90067067,90067068,0,0,90305884,90067070,90067071,0,0,0,0,0)","0","(2.5,2.5)","","(0,2,4,100,50,1,2,4,100,50,2,2,4,100,50,3,2,4,100,50,4,2,4,100,50,5,2,4,100,50,6,2,4,100,50,7,2,4,100,50,8,2,4,100,50)","2","(71040003,1,71120001,1,71010002,1,71040002,1,71040001,1,71030002,1,71110001,1)","1","","30","870","","290","3"
