"AttributeId","MiniMapShowNpcId","NpcId","BornX","BornY","BornZ","BornYaw","BornPitch","BornRoll","BornTime","PlotTips","FirstPlotTips"
"80000001","","'(76000019,76000019,76000020,0)","'(3000,3520,3260,0)","'(5500,5410,5210,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000002","","'(76000019,76000019,76000020,0)","'(2830,3560,3210,0)","'(4540,4590,4430,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000003","","'(76000019,76000019,76000020,0)","'(3320,4100,3760,0)","'(3870,3930,3740,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000004","","'(76000025,0)","'(3600,0)","'(2900,0)","'(7550,0)","'(90,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80000005","","'(76000021,76000021,76000022,0)","'(3000,3520,3260,0)","'(5500,5410,5210,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000006","","'(76000021,76000021,76000022,0)","'(2830,3560,3210,0)","'(4540,4590,4430,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000007","","'(76000021,76000021,76000022,0)","'(3320,4100,3760,0)","'(3870,3930,3740,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000008","","'(76000026,0)","'(3600,0)","'(2900,0)","'(7550,0)","'(90,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80000009","","'(76000023,76000023,76000024,0)","'(3000,3520,3260,0)","'(5500,5410,5210,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000010","","'(76000023,76000023,76000024,0)","'(2830,3560,3210,0)","'(4540,4590,4430,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000011","","'(76000023,76000023,76000024,0)","'(3320,4100,3760,0)","'(3870,3930,3740,0)","'(7750,7750,7700,0)","'(90,90,90,0)","'(0,0,0,0)","'(0,0,0,0)","'(0,0,0,0)","",""
"80000012","","'(76000027,0)","'(3600,0)","'(2900,0)","'(7550,0)","'(90,0)","'(0,0)","'(0,0)","'(0,0)","",""
"80000101","(73010101,73010105)","'(76010200,76010200,76010200,76010200,76010200,76010200,76010200,76010200,0)","'(7587,7149,6612,7913,7810,7339,6891,6293,0)","'(7386,7349,7192,7715,9173,9343,9286,9400,0)","'(-1134,-1150,-1150,-1000,-1014,-1117,-1150,-1150,0)","'(105,100,95,135,-100,-100,-95,-95,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000102","(73010102,73010105)","'(76010200,76010200,76010200,76010200,76010200,76010200,76010200,76010200,76010200,76010200,0)","'(10516,10060,9565,10884,11076,10819,9272,9306,10565,9918,0)","'(8305,8582,8746,7975,7300,6790,6186,6625,6274,6010,0)","'(-512,-512,-512,-512,-485,-381,-145,-321,-184,-95,0)","'(-115,-105,-80,-140,175,140,55,55,155,80,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000103","(73010103,73010105)","'(76010201,76010201,76010201,76010201,76010201,0)","'(8241,8596,9142,8004,8723,0)","'(3763,3474,3304,3133,2890,0)","'(300,300,275,300,300,0)","'(35,60,100,50,80,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091019)",""
"80000104","(73010104,73010105)","'(76010202,0)","'(5860,0)","'(4017,0)","'(350,0)","'(-10,0)","'(0,0)","'(0,0)","'(5,0)","'(0,0,90091016)",""
"80000105","(73010101,73010105)","'(76010203,76010203,76010203,76010203,76010203,76010203,76010203,76010203,0)","'(7587,7149,6612,7913,7810,7339,6891,6293,0)","'(7386,7349,7192,7715,9173,9343,9286,9400,0)","'(-1134,-1150,-1150,-1000,-1014,-1117,-1150,-1150,0)","'(105,100,95,135,-100,-100,-95,-95,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000106","(73010102,73010105)","'(76010203,76010203,76010203,76010203,76010203,76010203,76010203,76010203,76010203,76010203,0)","'(10516,10060,9565,10884,11076,10819,9272,9306,10565,9918,0)","'(8305,8582,8746,7975,7300,6790,6186,6625,6274,6010,0)","'(-512,-512,-512,-512,-485,-381,-145,-321,-184,-95,0)","'(-115,-105,-80,-140,175,140,55,55,155,80,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000107","(73010103,73010105)","'(76010204,76010204,76010204,76010204,76010204,0)","'(8241,8596,9142,8004,8723,0)","'(3763,3474,3304,3133,2890,0)","'(300,300,275,300,300,0)","'(35,60,100,50,80,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091019)",""
"80000108","(73010104,73010105)","'(76010205,0)","'(5860,0)","'(4017,0)","'(350,0)","'(-10,0)","'(0,0)","'(0,0)","'(5,0)","'(0,0,90091016)",""
"80000109","(73010101,73010105)","'(76010206,76010206,76010206,76010206,76010206,76010206,76010206,76010206,0)","'(7587,7149,6612,7913,7810,7339,6891,6293,0)","'(7386,7349,7192,7715,9173,9343,9286,9400,0)","'(-1134,-1150,-1150,-1000,-1014,-1117,-1150,-1150,0)","'(105,100,95,135,-100,-100,-95,-95,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0)","",""
"80000110","(73010102,73010105)","'(76010206,76010206,76010206,76010206,76010206,76010206,76010206,76010206,76010206,76010206,0)","'(10516,10060,9565,10884,11076,10819,9272,9306,10565,9918,0)","'(8305,8582,8746,7975,7300,6790,6186,6625,6274,6010,0)","'(-512,-512,-512,-512,-485,-381,-145,-321,-184,-95,0)","'(-115,-105,-80,-140,175,140,55,55,155,80,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,0,0,0,0,0,0,0,0,0)","'(0,0,90091015)",""
"80000111","(73010103,73010105)","'(76010207,76010207,76010207,76010207,76010207,0)","'(8241,8596,9142,8004,8723,0)","'(3763,3474,3304,3133,2890,0)","'(300,300,275,300,300,0)","'(35,60,100,50,80,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,0,0,0,0)","'(0,0,90091019)",""
"80000112","(73010104,73010105)","'(76010208,0)","'(5860,0)","'(4017,0)","'(350,0)","'(-10,0)","'(0,0)","'(0,0)","'(5,0)","'(0,0,90091016)",""
