"AttributeId","Type","TargetValue","Index","NoticeId","RewardMoneyArray","RewardItemArray","AdditionalMoneyRewardID","AdditionalItemRewardID","RewardDropID","ShowedItemArray","ExhibitionNpcIdArray","ExhibitionNpcBuffArray","VipDoubleRank","DesTextId","NewExhibitionNpcIdArray","ReceiveTime","PackageIcon"
"107010001","10","1","0","93000020","","(31025197,1,31020003,10,31020004,20,31000208,1)","","","","(31025197,1,31020003,10,31020004,20,31000208,1)","","","","","","","(91255042,91255042,91255042,91255042)"
"107010002","10","5","1","","","(31100000,1,31000027,2,31010107,20,31010004,10)","","","","(31100000,1,31000027,2,31010107,20,31010004,10)","","","","","","",""
"107010003","10","10","2","","","(31000170,2,31020008,20,31010004,10)","","","","(31000170,2,31020008,20,31010004,10)","","","","","","",""
"107019001","19","100","0","","","(31020005,3,31020004,10)","","","","(31020005,3,31020004,10)","","","","","","",""
"107019002","19","300","1","","","(31020005,5,31020004,20,31000027,1)","","(31100012,1)","","(31020005,5,31020004,20,31000027,1)","","","","","","",""
"107019003","19","1000","2","","","(31000062,1,31020003,10,31010011,3,31101075,1)","","(31100013,1)","","(31000062,1,31020003,10,31010011,3,31101075,1)","","","","","","",""
"107019004","19","3000","3","","","(31000044,3,31000041,20,31020002,20)","","(31100014,1)","","(31000044,3,31000041,20,31020002,20)","","","","","","",""
"107019005","19","10000","4","","","(31000027,5,31000029,30,31020002,30,31101076,1)","","(31100015,1)","","(31000027,5,31000029,30,31020002,30,31101076,1)","","","","","","",""
"107019006","19","30000","5","","","(31000063,2,31000055,2,31020003,30,31091035,10)","","","","(31000063,2,31000055,2,31020003,30,31091035,10)","","","","","","",""
"107019007","19","60000","6","","","(31091042,1,31010101,10,31020003,40,31091035,20)","","","","(31091042,1,31010101,10,31020003,40,31091035,20)","","","","","","",""
"107019008","19","100000","7","","","(31091023,1,31040105,2,31020003,50,31091035,30)","","","","(31091023,1,31040105,2,31020003,50,31091035,30)","","","","","","",""
"107006001","6","300","0","93000122","","(31120037,1,31000105,5,31090044,1)","","","","(31120037,1,31000105,5,31090044,1)","","","","","","",""
"107006002","6","800","1","93000122","","(31120038,1,31000099,8,31090044,2)","","","","(31120038,1,31000099,8,31090044,2)","","","","","","",""
"107006003","6","1500","2","93000122","","(31120039,1,31000105,10,31020003,5)","","","","(31120039,1,31000105,10,31020003,5)","","","","","","",""
"107006004","6","3000","3","93000122","","(31120035,1,31000106,5,31000164,1)","","","","(31120035,1,31000106,5,31000164,1)","","","","","","",""
"107006005","6","6000","4","93000122","","(31000099,20,31000105,20,31000164,2)","","","","(31000099,20,31000105,20,31000164,2)","","","","","","",""
"107006006","6","10000","5","93000122","","(31000101,5,31000099,25,31020003,15)","","","","(31000101,5,31000099,25,31020003,15)","","","","","","",""
"107006007","6","20000","6","93000122","","(31000102,5,31000105,30,31000165,1)","","","","(31000102,5,31000105,30,31000165,1)","","","","","","",""
"107006008","6","35000","7","93000122","","(31000063,10,31000106,10,31000165,2)","","","","(31000063,10,31000106,10,31000165,2)","","","","","","",""
"107006009","6","60000","8","93000122","","(31091058,1,31000105,40,31020003,45)","","","","(31091058,1,31000105,40,31020003,45)","","","","","","",""
"107006010","6","90000","9","93000122","","(31025197,1,31000099,50,31090038,1)","","","","(31025197,1,31000099,50,31090038,1)","","","","","","",""
"107006011","6","120000","10","93000122","","(31000063,25,31000105,60,31090038,2)","","","","(31000063,25,31000105,60,31090038,2)","","","","","","",""
"107006012","6","150000","11","93000122","","(31101097,1,31101100,1,31101103,1,31101106,1,31101098,1,31101101,1,31101104,1,31101107,1,31000061,1)","","","","(31101097,1,31101100,1,31101103,1,31101106,1,31101098,1,31101101,1,31101104,1,31101107,1,31000061,1)","","","","","","",""
"107007001","7","500","0","","","(31010098,5,31010059,5,31010053,3,31010060,3)","","","","(31010098,5,31010059,5,31010053,3,31010060,3)","","","","","","",""
"107007002","7","1000","1","","","(31010098,5,31010059,10,31010053,5,31010060,5)","","","","(31010098,5,31010059,10,31010053,5,31010060,5)","","","","","","",""
"107007003","7","3000","2","","","(31010098,10,31010059,20,31010053,10,31010060,10)","","","","(31010098,10,31010059,20,31010053,10,31010060,10)","","","","","","",""
"107007004","7","10000","3","","","(31010098,10,31010059,30,31010053,15,31010060,15)","","","","(31010098,10,31010059,30,31010053,15,31010060,15)","","","","","","",""
"107007005","7","20000","4","","","(31010098,20,31010059,40,31010053,20,31010060,20)","","","","(31010098,20,31010059,40,31010053,20,31010060,20)","","","","","","",""
"107007006","7","50000","5","","","(31010098,20,31010059,50,31010053,25,31010060,25)","","","","(31010098,20,31010059,50,31010053,25,31010060,25)","","","","","","",""
"107007007","7","100000","6","","","(31010098,30,31010059,60,31010053,30,31010060,30)","","","","(31010098,30,31010059,60,31010053,30,31010060,30)","","","","","","",""
"107007008","7","200000","7","","","(31010098,30,31010059,70,31010053,35,31010060,35)","","","","(31010098,30,31010059,70,31010053,35,31010060,35)","","","","","","",""
"107007009","7","500000","8","","","(31010098,50,31010059,80,31010053,40,31010060,40)","","","","(31010098,50,31010059,80,31010053,40,31010060,40)","","","","","","",""
"107007010","7","1000000","9","","","(31010098,50,31010059,90,31010053,45,31010060,45)","","","","(31010098,50,31010059,90,31010053,45,31010060,45)","","","","","","",""
"107007011","7","2000000","10","","","(31010098,100,31010059,100,31010053,50,31010060,50)","","","","(31010098,100,31010059,100,31010053,50,31010060,50)","","","","","","",""
"107005001","5","0","0","","","","","","","","","","","","","",""
"107005002","5","0","1","","","","","","","","","","","","","",""
"107005003","5","0","2","","","","","","","","","","","","","",""
"107004001","4","1","0","","","(31010025,1)","","","","(31020004,5)","","","","","","",""
"107004002","4","2","1","","","(31010025,1)","","","","(31020001,5)","","","","","","",""
"107004003","4","3","2","","","(31010025,1)","","","","(31000041,5)","","","","","","",""
