"AttributeId","SpiritNum","AttArray","AddSpiritMatirialId","AddSpiritMatirialNum","AddSpiritMoney"
"46000001","0","0","31000042","1","(2,100000)"
"46000002","0.0025","(4,8,375,0,1,4,5,28,0,1,4,6,34,0,1,4,7,38,0,1,4,9,8,0,1,4,10,8,0,1,4,25,0.001,0,1,4,26,0.001,0,1)","31000042","1","(2,100000)"
"46000003","0.005","(4,8,750,0,1,4,5,56,0,1,4,6,68,0,1,4,7,75,0,1,4,9,15,0,1,4,10,15,0,1,4,25,0.002,0,1,4,26,0.002,0,1)","31000042","1","(2,100000)"
"46000004","0.0075","(4,8,1125,0,1,4,5,84,0,1,4,6,101,0,1,4,7,113,0,1,4,9,23,0,1,4,10,23,0,1,4,25,0.003,0,1,4,26,0.003,0,1)","31000042","1","(2,100000)"
"46000005","0.01","(4,8,1500,0,1,4,5,113,0,1,4,6,135,0,1,4,7,150,0,1,4,9,30,0,1,4,10,30,0,1,4,25,0.004,0,1,4,26,0.004,0,1)","31000042","1","(2,100000)"
"46000006","0.0125","(4,8,1875,0,1,4,5,141,0,1,4,6,169,0,1,4,7,188,0,1,4,9,38,0,1,4,10,38,0,1,4,25,0.005,0,1,4,26,0.005,0,1)","31000042","1","(2,100000)"
"46000007","0.015","(4,8,2250,0,1,4,5,169,0,1,4,6,203,0,1,4,7,225,0,1,4,9,45,0,1,4,10,45,0,1,4,25,0.006,0,1,4,26,0.006,0,1)","31000042","1","(2,100000)"
"46000008","0.0175","(4,8,2625,0,1,4,5,197,0,1,4,6,236,0,1,4,7,263,0,1,4,9,53,0,1,4,10,53,0,1,4,25,0.007,0,1,4,26,0.007,0,1)","31000042","1","(2,100000)"
"46000009","0.02","(4,8,3000,0,1,4,5,225,0,1,4,6,270,0,1,4,7,300,0,1,4,9,60,0,1,4,10,60,0,1,4,25,0.008,0,1,4,26,0.008,0,1)","31000042","1","(2,100000)"
"46000010","0.0225","(4,8,3375,0,1,4,5,253,0,1,4,6,304,0,1,4,7,338,0,1,4,9,68,0,1,4,10,68,0,1,4,25,0.009,0,1,4,26,0.009,0,1)","31000042","1","(2,100000)"
"46000011","0.025","(4,8,3750,0,1,4,5,281,0,1,4,6,338,0,1,4,7,375,0,1,4,9,75,0,1,4,10,75,0,1,4,25,0.01,0,1,4,26,0.01,0,1)","31000042","1","(2,100000)"
"46000012","0.0275","(4,8,4125,0,1,4,5,309,0,1,4,6,371,0,1,4,7,413,0,1,4,9,83,0,1,4,10,83,0,1,4,25,0.011,0,1,4,26,0.011,0,1)","31000042","1","(2,100000)"
"46000013","0.03","(4,8,4500,0,1,4,5,338,0,1,4,6,405,0,1,4,7,450,0,1,4,9,90,0,1,4,10,90,0,1,4,25,0.012,0,1,4,26,0.012,0,1)","31000042","1","(2,100000)"
