"AttributeId","WingNameId","ViewOrder","WingUpgradeMax","WingAddStarMax","StarNow","UpgradeNow","StarGradeMax","StarGradeNow","AttArray","Type","IIllusionList","WingOpenNeedRoleClass","PreWingRequirement","UnlockNeedMatirial","UnlockNeedMoney","AddStarMatirialId","StarShopId","AddStarMatirialNum","AddStarMaxEXP","EachAddStarExp","AddStarCriticalRate","UpgradeMatirialId","UpgradeShopId","UpgradeMatirialNum","UpgradeMoney","EachUpgradeBless","MinUpgradeBless","MaxUpgradeBless","BasicRate","RateChange","WingMeshID","WingAnimBlueprint","WingFreeAnim","WingGlideAnim","WingCallAnim","WingDeadAnim","WingSkillAnim","WingSpecialSkillAnim","PictureNameRes","ButtonPictureNameRes","NoticeId","IllusionOriginalIdRange","buff_wing_name","buff_image_res","buff_trigger_id","wing_image_res_array","WingClickAnim","ExhibitionPos","ExhibitionScale","MaxWalkSpeed","MaxFlySpeed","FlyUpAnimRes","FlyDownAnimRes","FlyUpTime","SprintAniRes","SprintLenAndTime","StarBuffId","GradeLimit","UpgradeLimit","RegionArr","SkillPool","AddLingMaterial","AddLingMaterialNum","LengQueTime","ExcellentAttArray"
"44010001","90020193","1","5","10","0","1","","","(4,8,360,0,1,4,5,24,0,1,4,6,29,0,1,4,7,72,0,1,4,9,14,0,1)","1","","","","","","31000040","0","2","750","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010002","90020193","1","5","10","1","1","","","(4,8,720,0,1,4,5,48,0,1,4,6,58,0,1,4,7,144,0,1,4,9,28,0,1)","1","","","","","","31000040","0","2","875","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010003","90020193","1","5","10","2","1","","","(4,8,1080,0,1,4,5,72,0,1,4,6,87,0,1,4,7,216,0,1,4,9,42,0,1)","1","","","","","","31000040","0","2","1000","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010004","90020193","1","5","10","3","1","","","(4,8,1440,0,1,4,5,96,0,1,4,6,116,0,1,4,7,288,0,1,4,9,56,0,1)","1","","","","","","31000040","0","2","1125","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010005","90020193","1","5","10","4","1","","","(4,8,1800,0,1,4,5,120,0,1,4,6,145,0,1,4,7,360,0,1,4,9,70,0,1)","1","","","","","","31000040","0","2","1250","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010006","90020193","1","5","10","5","1","","","(4,8,2160,0,1,4,5,144,0,1,4,6,174,0,1,4,7,432,0,1,4,9,84,0,1)","1","","","","","","31000040","0","2","1375","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010007","90020193","1","5","10","6","1","","","(4,8,2520,0,1,4,5,168,0,1,4,6,203,0,1,4,7,504,0,1,4,9,98,0,1)","1","","","","","","31000040","0","2","1500","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010008","90020193","1","5","10","7","1","","","(4,8,2880,0,1,4,5,192,0,1,4,6,232,0,1,4,7,576,0,1,4,9,112,0,1)","1","","","","","","31000040","0","2","1625","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010009","90020193","1","5","10","8","1","","","(4,8,3240,0,1,4,5,216,0,1,4,6,261,0,1,4,7,648,0,1,4,9,126,0,1)","1","","","","","","31000040","0","2","1750","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010010","90020193","1","5","10","9","1","","","(4,8,3600,0,1,4,5,240,0,1,4,6,290,0,1,4,7,720,0,1,4,9,140,0,1)","1","","","","","","31000040","0","2","1875","100","30","0","0","0","0","0","0","0","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","","","","","","","",""
"44010011","90020193","1","5","10","10","1","","","(4,8,3960,0,1,4,5,264,0,1,4,6,319,0,1,4,7,792,0,1,4,9,154,0,1)","1","","101","","","","0","0","0","0","0","0","31000100","0","5","0","5","5","5","0","0","91031501","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","2","","","","","","",""
"44010012","90020194","2","5","10","0","2","","","(4,8,6660,0,1,4,5,444,0,1,4,6,535,0,1,4,7,1332,0,1,4,9,262,0,1,4,25,0.02,0,1)","1","","101","","","","31000040","0","4","960","100","30","0","0","0","0","0","0","0","0","0","91031518","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","0","","","","","","",""
"44010013","90020194","2","5","10","1","2","","","(4,8,7500,0,1,4,5,500,0,1,4,6,602,0,1,4,7,1500,0,1,4,9,296,0,1,4,25,0.02,0,1)","1","","101","","","","31000040","0","4","1120","100","30","0","0","0","0","0","0","0","0","0","91031518","91031502","91031503","91031525","91031504","91031505","91031506","91031507","91200030","91231229","","","","","","","91031503","(0,-40,50)","(1,1,1)","0.2","0.8","91031523","91031524","0.5","","","0","0","","","","","","",""
