"AttributeId","SensitiveTextCH","SensitiveTextKR","SensitiveTextTW","SensitiveTextEN","SensitiveTextTHA","SensitiveTextVN","SensitiveTextJP","SensitiveTextRus","SensitiveTextSG"
"94000001","毛泽东","admin","完美公司","arsehole","เ เ ม่ ง","""","ANAL","","arsehole"
"94000002","周恩来","adminster","完美時空","b17ch","เ ย็ ด","""","ＡＮＡＬ","","b17ch"
"94000003","刘少奇","adminstor","池宇峰","b1tch","เ ย็ด","’","Anal","","b1tch"
"94000004","张高丽","C.M","完美世界","bi7ch","เ สื อ ก","","Ａｎａｌ","","bi7ch"
"94000005","朱德","CM","客服","bltch","เ ห ี้ ย","\","anal","","bltch"
"94000006","彭德怀","G.M","gm","ballsac","เ!้ย","/","ａｎａｌ","","ballsac"
"94000007","林彪","gamemaster","管理員","boobjob","เ.ป.ร.ต","""","Ａ級戦犯","","boobjob"
"94000008","刘伯承","GM","官方","chink","เ.ย็.ด","/","FUCK","","chink"
"94000009","陈毅","ITEMBAY","禮箱","clit","เ.ย็.ด.แ.ม่","\","ＦＵＣＫ","","clit"
"94000010","贺龙","ITEMMANIA","禮盒","cock","เ.สื.อ.ก","","Fuck","","cock"
"94000011","聂荣臻","개발","cn","crackhead","เ+ย็+ด","","Ｆｕｃｋ","","crackhead"
"94000012","徐向前","개발사","com","crackwhore","เเคมปลิ้น","","fuck","","crackwhore"
"94000013","罗荣桓","개발자","www","crap","แ ต ด","","ｆｕｃｋ","","crap"
"94000014","叶剑英","개발진","ｃｎ","creampie","แ ตด","","Ｈしたい","","creampie"
"94000015","李大钊","개발팀","ｃｏｍ","cumshot","แ ร ด","","Hしたい","","cumshot"
"94000016","陈独秀","거래소","ｎｅｔ","cumstain","แ รด","","Ｈメール","","cumstain"
"94000017","孙中山","거래종개","ｗｗｗ","cunt","ไ อ่","","Ｈﾒｰﾙ","","cunt"
"94000018","孙文","거래종걔","毛澤東","dike","ไ อ้","","Hメール","","dike"
"94000019","孙逸仙","거래종게","蔣介石","dildo","ไ.อ้.หั.ว.ถ.อ.ก","","Hﾒｰﾙ","","dildo"
"94000020","邓小平","거래종계","周恩來","doggiestyle","ไ.อ้เ.ฮี้.ย","","H好き","","doggiestyle"
"94000021","陈云","거래중개","劉少奇","doggystyle","กระ ดอ","","Ｈ好き","","doggystyle"
"94000022","江泽民","거래중걔","鄧小平","doublepenetration","กระจู๋","","H友","","doublepenetration"
"94000023","李鹏","거래중게","華國鋒","dyke","กระเจี้ยว","","Ｈ友","","dyke"
"94000024","朱镕基","거래중계","胡耀邦","ejaculate","กระเจี๊ยว","","KILL","","ejaculate"
"94000025","李瑞环","거래증개","趙紫陽","fag","กระเจี๋ยว","","ＫＩＬＬ","","fag"
"94000026","尉健行","거래증걔","江澤民","fap","กระดอ","","kill","","fap"
"94000027","李岚清","거래증게","李鵬","fingerbang","กระเด้า","","ｋｉｌｌ","","fingerbang"
"94000028","胡锦涛","거래증계","朱鎔基","fisting","กระทวย","","Kill","","fisting"
"94000029","罗干","거럐종개","羅幹","gangbang","กระสัน","","Ｋｉｌｌ","","gangbang"
"94000030","温家宝","거럐종걔","李嵐清","gangrape","กระหรี่","","ktgi","","gangrape"
"94000031","吴邦国","거럐종게","李瑞環","gaylord","กะเจี๊ยว","","LSD","","gaylord"
"94000032","曾庆红","거럐종계","胡錦濤","goddamn","กะดอ","","ＬＳＤ","","goddamn"
"94000033","贾庆林","거럐중개","溫家寶","handjob","กะโปก","","ＭＤＭＡ","","handjob"
